"exerciseName","stableKey","proposedMovementFamily","proposedMovementSubtype","proposalStatus","reviewDebtDecision","humanReviewQuestion","reviewDebtReason","sourceReviewKind","recommendedResolution","seedPatchReadiness","safeForSeedMutation"
"B-스탠스 RDL","ex_201f6426","DEADLIFT_HINGE_VARIANTS","B_STANCE_RDL","NEEDS_ROW_REVIEW","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"EZ바 컬","ex_8633d8db","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","EZ_BAR_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"다이아몬드 푸시업","ex_debf6a8b","PUSH_UP_VARIANTS","DIAMOND_PUSH_UP","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"덤벨 래터럴 레이즈","ex_93538692","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","DUMBBELL_LATERAL_RAISE","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"덤벨 컬","ex_281347da","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DUMBBELL_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"덤벨 킥백","ex_da56a4fe","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","DUMBBELL_KICKBACK","READY_TEMPLATE_CANDIDATE","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"디클라인 푸시업","ex_fb67af37","PUSH_UP_VARIANTS","DECLINE_PUSH_UP","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"딥스","ex_6463edad","DIP_COMPOUND_PUSH_VARIANTS","COMPOUND_DIP","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"라잉 트라이셉스 익스텐션","ex_d20b7487","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","LYING_TRICEPS_EXTENSION","READY_TEMPLATE_CANDIDATE","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"로프 해머 컬","ex_c1a81cb2","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","ROPE_HAMMER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"리닝 래터럴 레이즈","ex_70f19bf","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","LEANING_LATERAL_RAISE","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"리버스 컬","ex_dd2f732e","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","REVERSE_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"리어델트 케이블 플라이","ex_7deabeba","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","REAR_DELT_CABLE_FLY","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"리어델트 플라이","ex_7176cbee","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","REAR_DELT_FLY","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"밴드 외회전","ex_e8ff8cfa","EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS","BAND_EXTERNAL_ROTATION","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"스파이더 컬","ex_516f4456","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","SPIDER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"아처 푸시업","ex_73b0b63f","PUSH_UP_VARIANTS","ARCHER_PUSH_UP","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 덤벨 RDL","ex_e0b1e364","DEADLIFT_HINGE_VARIANTS","ONE_ARM_DUMBBELL_RDL","NEEDS_ROW_REVIEW","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"원암 덤벨 벤치프레스","ex_389e0556","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","ONE_ARM_DUMBBELL_BENCH_PRESS","READY_TEMPLATE_CANDIDATE","ANATOMY_SUPPORTED_TEMPLATE","NONE","User resolved the family/subtype decision and the resulting template is anatomy-supported for app-internal use.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"원암 덤벨 컬","ex_85b2ac56","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","ONE_ARM_DUMBBELL_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 리어델트 케이블 플라이","ex_a60496be","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","ONE_ARM_REAR_DELT_CABLE_FLY","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 인클라인 덤벨 프레스","ex_9f283612","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","ONE_ARM_INCLINE_DUMBBELL_PRESS","READY_TEMPLATE_CANDIDATE","ANATOMY_SUPPORTED_TEMPLATE","NONE","User resolved the family/subtype decision and the resulting template is anatomy-supported for app-internal use.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"원암 케이블 래터럴 레이즈","ex_b076570e","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","ONE_ARM_CABLE_LATERAL_RAISE","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 케이블 컬","ex_3d5719de","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","ONE_ARM_CABLE_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"원암 케이블 트라이셉스 푸시다운","ex_5322f2d1","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","ONE_ARM_TRICEPS_PUSHDOWN","READY_TEMPLATE_CANDIDATE","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"원암 해머 컬","ex_86323ed6","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","ONE_ARM_HAMMER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"인클라인 덤벨 컬","ex_d5048362","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","INCLINE_DUMBBELL_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"컨센트레이션 컬","ex_c62c0716","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","CONCENTRATION_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"케이블 래터럴 레이즈","ex_b76d3f92","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","CABLE_LATERAL_RAISE","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"케이블 원암 트라이셉스 익스텐션","ex_eb636bac","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","CABLE_ONE_ARM_TRICEPS_EXTENSION","READY_TEMPLATE_CANDIDATE","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"케이블 컬","ex_e709eeda","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","CABLE_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"케이블 풀스루","ex_4c76dbb2","DEADLIFT_HINGE_VARIANTS","CABLE_PULL_THROUGH","NEEDS_ROW_REVIEW","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"크로스바디 해머 컬","ex_b69ab702","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","CROSS_BODY_HAMMER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"클로즈그립 벤치프레스","ex_27b3deb5","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","CLOSE_GRIP_BENCH_PRESS_TRICEPS_EMPHASIS","READY_TEMPLATE_CANDIDATE","ANATOMY_SUPPORTED_TEMPLATE","NONE","User resolved the family/subtype decision and the resulting template is anatomy-supported for app-internal use.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"킥스탠스 RDL","ex_885b629","DEADLIFT_HINGE_VARIANTS","KICKSTAND_RDL","NEEDS_ROW_REVIEW","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"트라이셉스 푸시다운","ex_fa570291","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","TRICEPS_PUSHDOWN","READY_TEMPLATE_CANDIDATE","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"파이크 푸시업","ex_3caa236b","BODYWEIGHT_VERTICAL_PUSH_VARIANTS","PIKE_PUSH_UP","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"페이스풀","face_pull","SCAPULAR_RETRACTION_EXTERNAL_ROTATION_CONTROL_VARIANTS","FACE_PULL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"푸시업","ex_28902b13","PUSH_UP_VARIANTS","PUSH_UP","NEEDS_ROW_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"프리처 컬","ex_e994008a","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","PREACHER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"해머 컬","ex_2892da5a","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","HAMMER_CURL","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","운동 family와 program slot은 통상적 분류로 안정적이며, 남은 작업은 evidence source ID 확인입니다.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"핸드스탠드 푸시업","ex_fa2e73b3","BODYWEIGHT_VERTICAL_PUSH_VARIANTS","HANDSTAND_PUSH_UP","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"고블릿 스쿼트","ex_ac7df636","SQUAT_VARIANTS","GOBLET_SQUAT","NEEDS_ROW_REVIEW","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"스캡 푸시업","ex_c4535de3","SERRATUS_SCAPULAR_PROTRACTION_CONTROL_VARIANTS","SCAPULAR_PUSH_UP","READY_TEMPLATE_CANDIDATE","ANATOMY_SUPPORTED_TEMPLATE","NONE","User resolved the family/subtype decision and the resulting template is anatomy-supported for app-internal use.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"스케이터 스쿼트","ex_ee378da7","SQUAT_VARIANTS","SKATER_SQUAT","NEEDS_ROW_REVIEW","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"싱글 레그 RDL","single_leg_rdl","DEADLIFT_HINGE_VARIANTS","SINGLE_LEG_RDL","NEEDS_ROW_REVIEW","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"싱글 레그 박스 스쿼트","ex_85f12271","SQUAT_VARIANTS","SINGLE_LEG_BOX_SQUAT","NEEDS_ROW_REVIEW","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"원암 하프 닐링 프레스","ex_8380d7fe","HALF_KNEELING_UNILATERAL_SHOULDER_PRESS_VARIANTS","HALF_KNEELING_SINGLE_ARM_PRESS","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"월 슬라이드","ex_f97a05ab","SCAPULAR_CONTROL_RECOVERY_PREHAB_VARIANTS","WALL_SLIDE","NEEDS_SOURCE_REVIEW","SOURCE_VERIFICATION_ONLY","NONE","User resolved the family/subtype decision; only evidence source verification remains.","SOURCE_ONLY","VERIFY_SOURCE_ID_ONLY","READY_AFTER_SOURCE_VERIFICATION","NO"
"코사크 스쿼트","ex_a611010d","SQUAT_VARIANTS","COSSACK_SQUAT","NEEDS_ROW_REVIEW","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
"팔로프 프레스","ex_99728d25","ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS","PALLOF_PRESS","NEEDS_ROW_REVIEW","ANATOMY_SUPPORTED_TEMPLATE","NONE","일반적인 근력/보조 운동으로 movement family, 주요 근육군, program slot이 해부학적·관행적으로 안정적입니다.","NONE","ACCEPT_AS_ANATOMY_SUPPORTED","NOT_READY","NO"
