"legacyField","filePath","symbolOrFunction","consumerType","readOrWrite","runtimeOrTest","replacementOwner","replacementStatus","removalBlockedReason"
"progressMetricType","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","calculateWorkload","ANALYSIS","READ","PRODUCTION","NON_METADATA_ANALYSIS_OR_PRESCRIPTION_PROTOCOL","NOT_IMPLEMENTED","Current consumers remain; parity, backup compatibility, rollback, and explicit approval gates have not passed"
"progressMetricType","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","from","ANALYSIS","READ_WRITE","PRODUCTION","NON_METADATA_ANALYSIS_OR_PRESCRIPTION_PROTOCOL","NOT_IMPLEMENTED","Current consumers remain; parity, backup compatibility, rollback, and explicit approval gates have not passed"
"progressMetricType","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","from","ANALYSIS","WRITE","PRODUCTION","NON_METADATA_ANALYSIS_OR_PRESCRIPTION_PROTOCOL","NOT_IMPLEMENTED","Current consumers remain; parity, backup compatibility, rollback, and explicit approval gates have not passed"
"progressMetricType","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","ResolvedFatigueMetadata","ANALYSIS","REFERENCE","PRODUCTION","NON_METADATA_ANALYSIS_OR_PRESCRIPTION_PROTOCOL","NOT_IMPLEMENTED","Current consumers remain; parity, backup compatibility, rollback, and explicit approval gates have not passed"
"progressMetricType","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","AnalysisExerciseFeatures","ANALYSIS","REFERENCE","PRODUCTION","NON_METADATA_ANALYSIS_OR_PRESCRIPTION_PROTOCOL","NOT_IMPLEMENTED","Current consumers remain; parity, backup compatibility, rollback, and explicit approval gates have not passed"
"progressMetricType","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","fromRecord","ANALYSIS","READ","PRODUCTION","NON_METADATA_ANALYSIS_OR_PRESCRIPTION_PROTOCOL","NOT_IMPLEMENTED","Current consumers remain; parity, backup compatibility, rollback, and explicit approval gates have not passed"
"progressMetricType","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","fromRecord","ANALYSIS","READ_WRITE","PRODUCTION","NON_METADATA_ANALYSIS_OR_PRESCRIPTION_PROTOCOL","NOT_IMPLEMENTED","Current consumers remain; parity, backup compatibility, rollback, and explicit approval gates have not passed"
"progressMetricType","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","fromRecord","ANALYSIS","REFERENCE","PRODUCTION","NON_METADATA_ANALYSIS_OR_PRESCRIPTION_PROTOCOL","NOT_IMPLEMENTED","Current consumers remain; parity, backup compatibility, rollback, and explicit approval gates have not passed"
"progressMetricType","app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","fromRecord","ANALYSIS","WRITE","PRODUCTION","NON_METADATA_ANALYSIS_OR_PRESCRIPTION_PROTOCOL","NOT_IMPLEMENTED","Current consumers remain; parity, backup compatibility, rollback, and explicit approval gates have not passed"
"progressMetricType","app/src/main/java/com/training/trackplanner/analysis/features/MetadataReadinessReporter.kt","Exercise","ANALYSIS","REFERENCE","PRODUCTION","NON_METADATA_ANALYSIS_OR_PRESCRIPTION_PROTOCOL","NOT_IMPLEMENTED","Current consumers remain; parity, backup compatibility, rollback, and explicit approval gates have not passed"
