"issueId","scopeType","exerciseStableKey","legacyField","affectedModule","affectedConsumer","observedCurrentBehavior","expectedOrTargetBehavior","derivationMode","severity","parityImpact","resolutionClass","status","proposedResolution","targetVersion","evidenceLocations"
"META-SEED-CSV-FALLBACK","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","multiple Exercise CSV fields","shared metadata/data","app/src/main/java/com/training/trackplanner/data/SeedData.kt#exerciseFromCsv","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 11","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SeedData.kt:147;app/src/main/java/com/training/trackplanner/data/SeedData.kt:152;app/src/main/java/com/training/trackplanner/data/SeedData.kt:154;app/src/main/java/com/training/trackplanner/data/SeedData.kt:156;app/src/main/java/com/training/trackplanner/data/SeedData.kt:159;app/src/main/java/com/training/trackplanner/data/SeedData.kt:162;app/src/main/java/com/training/trackplanner/data/SeedData.kt:186;app/src/main/java/com/training/trackplanner/data/SeedData.kt:200;app/src/main/java/com/training/trackplanner/data/SeedData.kt:204;app/src/main/java/com/training/trackplanner/data/SeedData.kt:207;app/src/main/java/com/training/trackplanner/data/SeedData.kt:211"
"META-SEED-MOVEMENT-PATTERN","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","movementPattern","movement/anatomy","app/src/main/java/com/training/trackplanner/data/SeedData.kt#movementPatternFor","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 3","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SeedData.kt:381;app/src/main/java/com/training/trackplanner/data/SeedData.kt:385;app/src/main/java/com/training/trackplanner/data/SeedData.kt:386"
"META-SEED-FAMILY","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","familyId","movement/anatomy","app/src/main/java/com/training/trackplanner/data/SeedData.kt#familyIdFor","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 7","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SeedData.kt:641;app/src/main/java/com/training/trackplanner/data/SeedData.kt:642;app/src/main/java/com/training/trackplanner/data/SeedData.kt:643;app/src/main/java/com/training/trackplanner/data/SeedData.kt:644;app/src/main/java/com/training/trackplanner/data/SeedData.kt:645;app/src/main/java/com/training/trackplanner/data/SeedData.kt:646;app/src/main/java/com/training/trackplanner/data/SeedData.kt:647"
"META-SEED-PRIMARY-MUSCLES","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","primaryMuscles","muscle/strength analysis","app/src/main/java/com/training/trackplanner/data/SeedData.kt#musclesFor","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SeedData.kt:425"
"META-SEED-SECONDARY-MUSCLES","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","secondaryMuscles","muscle/strength analysis","app/src/main/java/com/training/trackplanner/data/SeedData.kt#fallbackSecondaryMuscles","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 2","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SeedData.kt:428;app/src/main/java/com/training/trackplanner/data/SeedData.kt:431"
"META-SEED-FORCE-TYPE","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","forceType","movement/anatomy","app/src/main/java/com/training/trackplanner/data/SeedData.kt#forceTypeFor","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","MEDIUM","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SeedData.kt:473"
"META-SEED-TRAINING-ROLE","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","trainingRole","program generation","app/src/main/java/com/training/trackplanner/data/SeedData.kt#trainingRoleFor","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SeedData.kt:513"
"META-SEED-SPORT-TRANSFER","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","sportTransferDirect","badminton analysis","app/src/main/java/com/training/trackplanner/data/SeedData.kt#sportTransferDirectFor","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SeedData.kt:569"
"META-SEED-LOAD-PROFILE","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","loadProfile","shared metadata/data","app/src/main/java/com/training/trackplanner/data/SeedData.kt#loadProfileFor","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","MEDIUM","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SeedData.kt:623"
"META-OFI-BROAD-FATIGUE","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","fatigueCategories","OFI/readiness","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt#broadLegacyFatigueCategories","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 8","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","STRUCTURAL_AMBIGUITY","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:244;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:245;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:246;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:247;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:248;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:249;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:250;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataAdapter.kt:251"
