exerciseStableKey,coreDirectTarget,decision,objectiveId,transferLevel,evidenceRelationKeys,reason
band_pallof_press,ANTI_ROTATION,CREATE_EXPLICIT_OBJECTIVE,ANTI_ROTATION,SUPPORTIVE,,An explicit reviewed product-owner decision approves this badminton objective.
cable_pallof_press,ANTI_ROTATION,CREATE_EXPLICIT_OBJECTIVE,ANTI_ROTATION,SUPPORTIVE,,An explicit reviewed product-owner decision approves this badminton objective.
landmine_anti_rotation,ANTI_ROTATION,CREATE_EXPLICIT_OBJECTIVE,ANTI_ROTATION,SUPPORTIVE,BADMINTON_01690|BADMINTON_01691|BADMINTON_01692,Existing explicit canonical badminton evidence supports this objective.
plate_rotational_press_out,ANTI_ROTATION,CREATE_EXPLICIT_OBJECTIVE,ANTI_ROTATION,SUPPORTIVE,BADMINTON_01785|BADMINTON_01786|BADMINTON_01787,Existing explicit canonical badminton evidence supports this objective.
band_lift,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_00002|BADMINTON_00003,Existing explicit canonical badminton evidence supports this objective.
band_woodchop,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_00016|BADMINTON_00017,Existing explicit canonical badminton evidence supports this objective.
cable_lift,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_00066|BADMINTON_00067|BADMINTON_00069,Existing explicit canonical badminton evidence supports this objective.
cable_woodchop,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_00092|BADMINTON_00093|BADMINTON_00095,Existing explicit canonical badminton evidence supports this objective.
dumbbell_woodchop,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_00173|BADMINTON_00174|BADMINTON_00176,Existing explicit canonical badminton evidence supports this objective.
landmine_rotation,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_01697|BADMINTON_01698|BADMINTON_01700,Existing explicit canonical badminton evidence supports this objective.
med_ball_rotational_scoop_toss,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_01730|BADMINTON_01731|BADMINTON_01734,Existing explicit canonical badminton evidence supports this objective.
med_ball_rotational_slam,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_01738|BADMINTON_01740|BADMINTON_01742,Existing explicit canonical badminton evidence supports this objective.
medicine_ball_rotational_throw,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_01746|BADMINTON_01748|BADMINTON_01750,Existing explicit canonical badminton evidence supports this objective.
medicine_ball_three_step_acceleration_throw,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_01755|BADMINTON_01757|BADMINTON_01760,Existing explicit canonical badminton evidence supports this objective.
medicine_ball_three_step_deceleration_throw,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_01764|BADMINTON_01766|BADMINTON_01769,Existing explicit canonical badminton evidence supports this objective.
vipr_chop,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_01837|BADMINTON_01838|BADMINTON_01841,Existing explicit canonical badminton evidence supports this objective.
vipr_rotational_lift,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_01844|BADMINTON_01845|BADMINTON_01848,Existing explicit canonical badminton evidence supports this objective.
vipr_rotational_press_out,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_01852|BADMINTON_01854,Existing explicit canonical badminton evidence supports this objective.
vipr_step_and_rotate,ROTATION_GENERATION,CREATE_EXPLICIT_OBJECTIVE,ROTATION_GENERATION,SUPPORTIVE,BADMINTON_01860|BADMINTON_01861|BADMINTON_01863,Existing explicit canonical badminton evidence supports this objective.
