"currentConcept","sourceStorage","decisionStatus","targetConcept","logicalQuestion","decisionReason","koreanRegistryEligible","reviewStatus","notes"
"accessoryContributionGroup","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"accessoryRoles","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"activityKind","canonical asset plus Room runtime_exercise_metadata override;Room exercises","LEGACY_ONLY","NONE","Which legacy catalog kind applies?","Compatibility only pending separate catalog taxonomy","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"adaptiveBaselineGroups","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"analysisEligibility","canonical asset plus Room runtime_exercise_metadata override;Room exercises","SPLIT","ConsumerSpecificAnalysisCapability","Which analysis capability is enabled for this consumer?","Field-wide target is semantically invalid","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"antiRotationWeight","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"appCueProfile","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"archivedAt","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"axialLoadLevel","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"badmintonPhysicalQualities","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"badmintonSkillTargets","canonical asset plus Room runtime_exercise_metadata override;Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"badmintonTransferLevel","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"badmintonTransferRoles","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"badmintonTransferStrength","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"badmintonTransferType","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"balanceContributionTags","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"bodyRegion","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"category","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"cognitiveStressTags","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"compoundType","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"courtMovementTypes","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
