"priorClaimCandidateId","oldStatus","newDisposition","preservedMeasurement","changedCondition","changedDimension","bandDisposition","remainingLimitation"
"CLAIM_C_58F3A7A0619274D3","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","PRESERVED_NARROWED","0.5-0.7 BW modeled Achilles peak-force range across seated rows","15 kg is confirmed for the unilateral seated protocol; bilateral-row load application remains unresolved","UNCHANGED_PEAK_TENSILE_LOAD","REMOVED_GENERIC_LOW","Small healthy sample, fixed moment arm, and no external-load response model"
"CLAIM_C_44B1199853E615F2","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","PRESERVED_UNCHANGED","3.0 +/- 0.3 BW modeled Achilles peak force","Exact bodyweight standing single-leg protocol retained","UNCHANGED_PEAK_TENSILE_LOAD","RETAINED_MODERATE_EXACT_CONDITION","No weighted-calf modifier"
"CLAIM_C_F4E8375FB29EC165","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","PRESERVED_NARROWED","7.3 BW modeled Achilles peak force","Repeated unilateral forward/lateral hopping retained; app hop-and-stick remains close variant","UNCHANGED_PEAK_TENSILE_LOAD","RETAINED_VERY_HIGH_CLOSE_VARIANT","No transfer to maximal, stick, drop, or bilateral jumps"
"CLAIM_C_6319786B969495EC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","PRESERVED_UNCHANGED","13.1 +/- 3.4 BW/s modeled Achilles loading rate","Same standing single-leg source condition retained","UNCHANGED_LOADING_RATE","NO_BAND","Cannot be compared numerically with peak force"
"CLAIM_C_ABC6C4B0ECA22AC2","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","PRESERVED_NARROWED","3.4 +/- 0.7 BW modeled patellar tendon peak force","Bodyweight full-depth squat only","UNCHANGED_PEAK_TENSILE_LOAD","REMOVED_UNSUPPORTED_MODERATE","No weighted back/front-squat response model and no force-to-strain substitution"
"CLAIM_C_BD8915D6D39A0428","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","PRESERVED_NARROWED","3.0 +/- 0.5 BW modeled patellar tendon peak force","Source Bulgarian squat maps to canonical Bulgarian stable key, not RFESS or generic split squat","UNCHANGED_PEAK_TENSILE_LOAD","REMOVED_UNSUPPORTED_MODERATE","External load, rear-foot height, step length, trunk, and tested-limb transfer unresolved"
"CLAIM_C_8A2D37D94C1330F7","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","REMOVED_GENERIC_ANCHOR_RECLASSIFIED","2.5 +/- 0.9 BW PFJ peak plus separate 1.9 +/- 0.7 BW*s impulse and 6.3 +/- 2.9 BW/s rate","60-degree source condition retained only as research record","COMPRESSION_TO_THREE_EXPLICIT_DIMENSIONS","REMOVED_PFJ_LOW","App bodyweight squat does not encode 60-degree ROM"
"CLAIM_C_084C0B3DCC597268","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","RECLASSIFIED_METRIC_SPECIFIC","4.5 +/- 0.8 BW PFJ peak plus separate impulse and rate","Bodyweight full-depth squat only","COMPRESSION_TO_THREE_EXPLICIT_DIMENSIONS","REMOVED_PFJ_MODERATE","Weighted squat evidence uses different load, model, population, and depth"
"CLAIM_C_0777BA7A1FB88DF1","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","RECLASSIFIED_AND_REMAPPED","4.7 +/- 0.7 BW PFJ peak plus separate impulse and rate","Source Bulgarian squat maps to ex_e2efd0fe; other unilateral variants remain distinct","COMPRESSION_TO_THREE_EXPLICIT_DIMENSIONS","REMOVED_PFJ_MODERATE","Protocol and external-load transfer unresolved"
"CLAIM_C_E09E28E71A401E8D","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","RECLASSIFIED_METRIC_SPECIFIC","5.1 +/- 0.8 BW PFJ peak plus separate impulse and rate","Study-defined non-jumping lunge only","COMPRESSION_TO_THREE_EXPLICIT_DIMENSIONS","REMOVED_PFJ_MODERATE","Forward, reverse, walking, static, lateral, diagonal, weighted, and plyometric variants are not equivalent"
"CLAIM_C_E540DF218D72E603","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","RECLASSIFIED_METRIC_SPECIFIC","6.8 +/- 1.4 BW PFJ peak plus separate impulse and rate","Double-leg drop vertical jump source protocol retained","COMPRESSION_TO_THREE_EXPLICIT_DIMENSIONS","REMOVED_PFJ_MODERATE","Drop height and rebound-versus-stick transfer remain bounded"
"CLAIM_C_4D02CF35465C7511","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","RECLASSIFIED_METRIC_SPECIFIC","6.3 +/- 1.2 BW PFJ peak plus separate impulse and rate","Single-leg maximal forward hop retained; app hop-and-stick is close variant","COMPRESSION_TO_THREE_EXPLICIT_DIMENSIONS","REMOVED_PFJ_MODERATE","No transfer to every repeated, lateral, double-hop, or stick protocol"
