"항목","통합 계약"
"권위 점수 대상","M·S·C는 exerciseStableKey × loadUnitStableKey 관계에 저장한다."
"해부학 조직","tissueStableKey는 구성 조직 참조다. 복합 분석단위 점수를 각 tissue에 복제해 합산하지 않는다."
"그룹 충돌 통합","기존 개별 조직 점수 여러 개가 같은 loadUnitStableKey로 묶이는 경우 롱포맷은 원본 행을 보존하고, 와이드 표는 MAX_COMPONENT_NO_SUM 규칙으로 M·S·C 각각의 최대값을 사용한다."
"M","표준 수행조건의 상대 부하 크기(0–10). 절대 물리량 또는 손상확률이 아니다."
"S","부하 급속도(0–10). M과 별도 축으로 보존하며 직접 곱하지 않는다."
"C","관절각·그립·지지·충격·회전 등 기계적 맥락. 원점수 직접 합산 금지."
"P","HOLD / SMOOTH_CYCLE / TRANSIENT_PEAK의 힘–시간 분기이며 숫자 승수가 아니다."
"D","중량·체중계수·반복·세트·시간·거리·이벤트·RPE·ROM의 실제 수행기록."
"joint_emphasis","권위 데이터가 아니다. 새 관절복합체 매핑에서 대분류를 파생하며 최종적으로 제거한다."
"점수 보류","동작이 특정되지 않은 포괄 항목은 가짜 정밀도를 피하기 위해 숫자 점수를 부여하지 않는다."
"버전","REL-MSCP-D-INTEGRATED-0.3 / CTM-0.1 / UNSIDED state override"
"좌우 상태 정책","loadUnit 현재상태·회복부채·분석표시는 좌우를 분리하지 않는다. 상태 키는 exercise side를 포함하지 않는다."
"laterality 필드 용도","기존 laterality 값은 편측/양측/교대 운동의 수행량 해석과 ContextFlags에만 사용한다. 좌우 tissue state 생성·배분·표시는 금지한다."
