sourceSegment,번호,운동명,exerciseStableKey,bodyRegion,forceType,movementPattern,movementCategory,laterality,plane,대표연구운동,운동군,운동군_ko,연구구분,계산유형,입력단위,loadUnitStableKey,loadUnitCode,분석단위명,조직유형,jointComplexStableKey,jointComplexCode,관절복합체명,primaryTissueStableKey,componentTissueStableKeys,componentTissueCodes,componentTissueNamesKo,componentCount,mappingRoles,M,S_rapidity,C,P_load_profile,P_한국어,P_D_role,P_runtime_rule,DoseBasis,DoseUnit,DoseRule,bodyWeightCoefficient,ContextFlags,C_runtime_policy,연구코드,근거강도,근거URL,점수산정근거,상태,점수버전,metadata_updated_at,S_rapidity_basis,transferSourceExerciseKey,transferSourceExerciseName,mappingConfidence,familyImportance,scoreStatus,catalogVersion,stableKeyMappingStatus
LOWER_90,72,원레그 루마니안 데드리프트,single_leg_rdl,LOWER,HINGE,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,STRENGTH,UNILATERAL,SAGITTAL,N,HIP_HINGE,,신규 연구,외부중량 반복,kg·회,lu_a7dd63adb6,lu_gluteus_maximus_tendon,대둔근건 복합체,TENDON,jc_ae763d5994,jc_hip,고관절 복합체,tissue_7f007308a0,tissue_7f007308a0,tissue_gluteus_maximus_tendon,대둔근건,1,LEGACY_SCORE_TARGET,5.5,3,7,SMOOTH_CYCLE,완만한 상하 반복,D_PRIMARY_REPETITION,D의 반복·세트·주기 수를 사용. cumulative = M × reps/cycles × sets × load/ROM/effort modifiers. S는 부하 급속도 성분으로 별도 보존하며 P 자체는 숫자 승수가 아님.,WEIGHTED_REPETITION,유효중량·회,effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.,,UNILATERAL|SAGITTAL|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,C 원점수 직접 합산 금지. ContextFlags를 조직별 bounded modifier로 변환(권장 0.85–1.20); 근거가 약하면 1.0으로 수축.,S06; S08,중간,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10716453/
https://pmc.ncbi.nlm.nih.gov/articles/PMC8136577/",편측 또는 준편측 힌지. 절대중량은 보통 낮지만 골반 회전·중둔근 안정화·비대칭 몸통 모멘트가 C를 높인다.,S 급속도·P 유형 적용 연구 시안,REL-MSCP-D-INTEGRATED-0.2,1781278881407,controlled_strength; base=3.0; tissue=exercise_base; MT01/MT02/MT03,,,HIGH,,RESEARCH_CORRECTED_V0.2,CTM-0.1,MAPPED_EXACT
LOWER_90,72,원레그 루마니안 데드리프트,single_leg_rdl,LOWER,HINGE,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,STRENGTH,UNILATERAL,SAGITTAL,N,HIP_HINGE,,신규 연구,외부중량 반복,kg·회,lu_348ac6b7a6,lu_gluteus_med_min_tendon,중둔근·소둔근건 복합체,TENDON,jc_ae763d5994,jc_hip,고관절 복합체,,tissue_c9d3826a11|tissue_1eaf4d14d8,tissue_gluteus_medius_tendon|tissue_gluteus_minimus_tendon,중둔근건|소둔근건,2,LEGACY_SCORE_TARGET,6.9,3,8.4,SMOOTH_CYCLE,완만한 상하 반복,D_PRIMARY_REPETITION,D의 반복·세트·주기 수를 사용. cumulative = M × reps/cycles × sets × load/ROM/effort modifiers. S는 부하 급속도 성분으로 별도 보존하며 P 자체는 숫자 승수가 아님.,WEIGHTED_REPETITION,유효중량·회,effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.,,UNILATERAL|SAGITTAL|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,C 원점수 직접 합산 금지. ContextFlags를 조직별 bounded modifier로 변환(권장 0.85–1.20); 근거가 약하면 1.0으로 수축.,S06; S08; S15,중간,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10716453/
https://pmc.ncbi.nlm.nih.gov/articles/PMC8136577/
https://pmc.ncbi.nlm.nih.gov/articles/PMC3201064/",편측 또는 준편측 힌지. 절대중량은 보통 낮지만 골반 회전·중둔근 안정화·비대칭 몸통 모멘트가 C를 높인다.,S 급속도·P 유형 적용 연구 시안,REL-MSCP-D-INTEGRATED-0.2,1781278881407,controlled_strength; base=3.0; tissue=exercise_base; MT01/MT02/MT03,,,HIGH,,RESEARCH_CORRECTED_V0.2,CTM-0.1,MAPPED_EXACT
LOWER_90,72,원레그 루마니안 데드리프트,single_leg_rdl,LOWER,HINGE,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,STRENGTH,UNILATERAL,SAGITTAL,N,HIP_HINGE,,신규 연구,외부중량 반복,kg·회,lu_a9651bd8d7,lu_hip_joint,고관절,JOINT,jc_ae763d5994,jc_hip,고관절 복합체,tissue_50091b2878,tissue_50091b2878,tissue_hip_joint,고관절,1,LEGACY_SCORE_TARGET,6.4,3,8.2,SMOOTH_CYCLE,완만한 상하 반복,D_PRIMARY_REPETITION,D의 반복·세트·주기 수를 사용. cumulative = M × reps/cycles × sets × load/ROM/effort modifiers. S는 부하 급속도 성분으로 별도 보존하며 P 자체는 숫자 승수가 아님.,WEIGHTED_REPETITION,유효중량·회,effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.,,UNILATERAL|SAGITTAL|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,C 원점수 직접 합산 금지. ContextFlags를 조직별 bounded modifier로 변환(권장 0.85–1.20); 근거가 약하면 1.0으로 수축.,S06; S08,중간,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10716453/
https://pmc.ncbi.nlm.nih.gov/articles/PMC8136577/",편측 또는 준편측 힌지. 절대중량은 보통 낮지만 골반 회전·중둔근 안정화·비대칭 몸통 모멘트가 C를 높인다.,S 급속도·P 유형 적용 연구 시안,REL-MSCP-D-INTEGRATED-0.2,1781278881407,controlled_strength; base=3.0; tissue=exercise_base; MT01/MT02/MT03,,,HIGH,,RESEARCH_CORRECTED_V0.2,CTM-0.1,MAPPED_EXACT
LOWER_90,72,원레그 루마니안 데드리프트,single_leg_rdl,LOWER,HINGE,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,STRENGTH,UNILATERAL,SAGITTAL,N,HIP_HINGE,,신규 연구,외부중량 반복,kg·회,lu_d967354bce,lu_lumbar_disc_endplate,요추 추간판·종판 복합체(L4–S1),SPINAL_STRUCTURE,jc_209871f411,jc_lumbar_spine,요추 복합체,tissue_21a56b379e,tissue_21a56b379e,tissue_lumbar_disc_endplate,요추 추간판·종판,1,LEGACY_SCORE_TARGET,5.8,3,8.199999999999999,SMOOTH_CYCLE,완만한 상하 반복,D_PRIMARY_REPETITION,D의 반복·세트·주기 수를 사용. cumulative = M × reps/cycles × sets × load/ROM/effort modifiers. S는 부하 급속도 성분으로 별도 보존하며 P 자체는 숫자 승수가 아님.,WEIGHTED_REPETITION,유효중량·회,effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.,,UNILATERAL|SAGITTAL|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,C 원점수 직접 합산 금지. ContextFlags를 조직별 bounded modifier로 변환(권장 0.85–1.20); 근거가 약하면 1.0으로 수축.,S04→근접; S06; S08,낮음~중간,"https://pubmed.ncbi.nlm.nih.gov/32147242/
https://pmc.ncbi.nlm.nih.gov/articles/PMC10716453/
https://pmc.ncbi.nlm.nih.gov/articles/PMC8136577/",편측 또는 준편측 힌지. 절대중량은 보통 낮지만 골반 회전·중둔근 안정화·비대칭 몸통 모멘트가 C를 높인다.,S 급속도·P 유형 적용 연구 시안,REL-MSCP-D-INTEGRATED-0.2,1781278881407,controlled_strength; base=3.0; tissue=exercise_base; MT01/MT02/MT03,,,HIGH,,RESEARCH_CORRECTED_V0.2,CTM-0.1,MAPPED_EXACT
LOWER_90,72,원레그 루마니안 데드리프트,single_leg_rdl,LOWER,HINGE,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,STRENGTH,UNILATERAL,SAGITTAL,N,HIP_HINGE,,신규 연구,외부중량 반복,kg·회,lu_ff559f42cd,lu_lumbar_facet_joint,요추 후관절,JOINT,jc_209871f411,jc_lumbar_spine,요추 복합체,tissue_06987e1084,tissue_06987e1084,tissue_lumbar_facet_joint,요추 후관절,1,LEGACY_SCORE_TARGET,4.8,3,7.4,SMOOTH_CYCLE,완만한 상하 반복,D_PRIMARY_REPETITION,D의 반복·세트·주기 수를 사용. cumulative = M × reps/cycles × sets × load/ROM/effort modifiers. S는 부하 급속도 성분으로 별도 보존하며 P 자체는 숫자 승수가 아님.,WEIGHTED_REPETITION,유효중량·회,effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.,,UNILATERAL|SAGITTAL|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,C 원점수 직접 합산 금지. ContextFlags를 조직별 bounded modifier로 변환(권장 0.85–1.20); 근거가 약하면 1.0으로 수축.,S04→근접; S06,낮음,"https://pubmed.ncbi.nlm.nih.gov/32147242/
https://pmc.ncbi.nlm.nih.gov/articles/PMC10716453/",편측 또는 준편측 힌지. 절대중량은 보통 낮지만 골반 회전·중둔근 안정화·비대칭 몸통 모멘트가 C를 높인다.,S 급속도·P 유형 적용 연구 시안,REL-MSCP-D-INTEGRATED-0.2,1781278881407,controlled_strength; base=3.0; tissue=exercise_base; MT01/MT02/MT03,,,HIGH,,RESEARCH_CORRECTED_V0.2,CTM-0.1,MAPPED_EXACT
LOWER_90,72,원레그 루마니안 데드리프트,single_leg_rdl,LOWER,HINGE,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,STRENGTH,UNILATERAL,SAGITTAL,N,HIP_HINGE,,신규 연구,외부중량 반복,kg·회,lu_a18a644473,lu_lumbar_posterior_ligament,요추 후방 인대 복합체,LIGAMENT,jc_209871f411,jc_lumbar_spine,요추 복합체,tissue_f41bde5976,tissue_f41bde5976,tissue_lumbar_posterior_ligament,요추 후방 인대 복합체,1,LEGACY_SCORE_TARGET,4.6,3,7.6,SMOOTH_CYCLE,완만한 상하 반복,D_PRIMARY_REPETITION,D의 반복·세트·주기 수를 사용. cumulative = M × reps/cycles × sets × load/ROM/effort modifiers. S는 부하 급속도 성분으로 별도 보존하며 P 자체는 숫자 승수가 아님.,WEIGHTED_REPETITION,유효중량·회,effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.,,UNILATERAL|SAGITTAL|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,C 원점수 직접 합산 금지. ContextFlags를 조직별 bounded modifier로 변환(권장 0.85–1.20); 근거가 약하면 1.0으로 수축.,S04→근접,낮음,https://pubmed.ncbi.nlm.nih.gov/32147242/,편측 또는 준편측 힌지. 절대중량은 보통 낮지만 골반 회전·중둔근 안정화·비대칭 몸통 모멘트가 C를 높인다.,S 급속도·P 유형 적용 연구 시안,REL-MSCP-D-INTEGRATED-0.2,1781278881407,controlled_strength; base=3.0; tissue=exercise_base; MT01/MT02/MT03,,,HIGH,,RESEARCH_CORRECTED_V0.2,CTM-0.1,MAPPED_EXACT
LOWER_90,72,원레그 루마니안 데드리프트,single_leg_rdl,LOWER,HINGE,HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,STRENGTH,UNILATERAL,SAGITTAL,N,HIP_HINGE,,신규 연구,외부중량 반복,kg·회,lu_27b4a0df1d,lu_proximal_hamstring_tendon,근위 햄스트링건 복합체,TENDON,jc_ae763d5994,jc_hip,고관절 복합체,,tissue_e4bd028575|tissue_bacab6a4b8|tissue_ea550bfa51,tissue_biceps_femoris_long_head_prox_tendon|tissue_semitendinosus_prox_tendon|tissue_semimembranosus_prox_tendon,대퇴이두근 장두 근위건|반건양근 근위건|반막양근 근위건,3,LEGACY_SCORE_TARGET,7,3,8.5,SMOOTH_CYCLE,완만한 상하 반복,D_PRIMARY_REPETITION,D의 반복·세트·주기 수를 사용. cumulative = M × reps/cycles × sets × load/ROM/effort modifiers. S는 부하 급속도 성분으로 별도 보존하며 P 자체는 숫자 승수가 아님.,WEIGHTED_REPETITION,유효중량·회,effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.,,UNILATERAL|SAGITTAL|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT,C 원점수 직접 합산 금지. ContextFlags를 조직별 bounded modifier로 변환(권장 0.85–1.20); 근거가 약하면 1.0으로 수축.,S05→근접; S08; S13,중간,"https://pmc.ncbi.nlm.nih.gov/articles/PMC8835508/
https://pmc.ncbi.nlm.nih.gov/articles/PMC8136577/
https://pmc.ncbi.nlm.nih.gov/articles/PMC9314024/",편측 또는 준편측 힌지. 절대중량은 보통 낮지만 골반 회전·중둔근 안정화·비대칭 몸통 모멘트가 C를 높인다.,S 급속도·P 유형 적용 연구 시안,REL-MSCP-D-INTEGRATED-0.2,1781278881407,controlled_strength; base=3.0; tissue=exercise_base; MT01/MT02/MT03,,,HIGH,,RESEARCH_CORRECTED_V0.2,CTM-0.1,MAPPED_EXACT
UPPER_95,1,EZ바 컬,ex_8633d8db,UPPER,ISOLATION,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,ACCESSORY,BILATERAL,SAGITTAL,N,CURL_SUPINATED,회외·중립 이두 컬,STRUCTURAL_TRANSFER,외부중량 반복,kg·회,lu_e11d5f58a5,lu_annular_ligament,요골 환상인대,LIGAMENT,jc_7ac0533b9d,jc_forearm_radioulnar,요척 회전 복합체,tissue_21f8300cc1,tissue_21f8300cc1,tissue_annular_ligament,요골 환상인대,1,STABILIZATION,2.4,2.7,5.5,SMOOTH_CYCLE,완만한 상하 반복,D_PRIMARY_REPETITION,D의 반복·세트·주기 수를 사용. cumulative = M × reps/cycles × sets × load/ROM/effort modifiers. S는 급속도 성분으로 별도 보존하며 P 자체는 숫자 승수가 아님.,WEIGHTED_REPETITION,유효중량·회,effectiveLoad × reps × sets × ROM × effortModifier,,BILATERAL|SAGITTAL|ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,C 원점수 직접 합산 금지. ContextFlags를 조직별 bounded modifier로 변환(권장 0.85–1.20); 근거가 약하면 1.0으로 수축.,U19; U26; U27,낮음~중간,"https://pubmed.ncbi.nlm.nih.gov/7775488/
https://pubmed.ncbi.nlm.nih.gov/30822679/
https://pubmed.ncbi.nlm.nih.gov/17948164/","회외·중립 이두 컬 기준강도와 STABILIZATION 역할, lu_annular_ligament의 운동군 민감도(0.45)를 결합해 M=2.4로 정규화했다. S=2.7는 운동의 대표 부하 상승 속도이며, C=5.5는 가동범위·관절위치·지지형태를 반영한다. 전이 기준 운동: 덤벨 컬.",상체 MSC 연구·전이 시안,REL-MSCP-D-UPPER-0.1,1781278881407,controlled_strength; base=2.7; tissue=exercise_base; MT01/MT02/MT03,ex_281347da,덤벨 컬,MEDIUM,0.45,SCORED_RESEARCH_DRAFT,CTM-0.1,MAPPED_EXACT
UPPER_95,1,EZ바 컬,ex_8633d8db,UPPER,ISOLATION,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,ACCESSORY,BILATERAL,SAGITTAL,N,CURL_SUPINATED,회외·중립 이두 컬,FAMILY_TRANSFER,외부중량 반복,kg·회,lu_b929d8ffe5,lu_common_extensor_supinator_tendon,공통 신전·회외건 복합체,TENDON,jc_eadfb381fa,jc_elbow_flexion_extension,팔꿈치 굴신 복합체,,tissue_45c03145ee|tissue_bda5f6c880,tissue_common_extensor_tendon|tissue_supinator_tendon,공통신전건|회외근건,2,STABILIZATION,2.9,2.7,5.2,SMOOTH_CYCLE,완만한 상하 반복,D_PRIMARY_REPETITION,D의 반복·세트·주기 수를 사용. cumulative = M × reps/cycles × sets × load/ROM/effort modifiers. S는 급속도 성분으로 별도 보존하며 P 자체는 숫자 승수가 아님.,WEIGHTED_REPETITION,유효중량·회,effectiveLoad × reps × sets × ROM × effortModifier,,BILATERAL|SAGITTAL|ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,C 원점수 직접 합산 금지. ContextFlags를 조직별 bounded modifier로 변환(권장 0.85–1.20); 근거가 약하면 1.0으로 수축.,U19; U26; U27,중간,"https://pubmed.ncbi.nlm.nih.gov/7775488/
https://pubmed.ncbi.nlm.nih.gov/30822679/
https://pubmed.ncbi.nlm.nih.gov/17948164/","회외·중립 이두 컬 기준강도와 STABILIZATION 역할, lu_common_extensor_supinator_tendon의 운동군 민감도(0.55)를 결합해 M=2.9로 정규화했다. S=2.7는 운동의 대표 부하 상승 속도이며, C=5.2는 가동범위·관절위치·지지형태를 반영한다. 전이 기준 운동: 덤벨 컬.",상체 MSC 연구·전이 시안,REL-MSCP-D-UPPER-0.1,1781278881407,controlled_strength; base=2.7; tissue=exercise_base; MT01/MT02/MT03,ex_281347da,덤벨 컬,HIGH,0.55,SCORED_RESEARCH_DRAFT,CTM-0.1,MAPPED_EXACT
UPPER_95,1,EZ바 컬,ex_8633d8db,UPPER,ISOLATION,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,ACCESSORY,BILATERAL,SAGITTAL,N,CURL_SUPINATED,회외·중립 이두 컬,FAMILY_TRANSFER,외부중량 반복,kg·회,lu_52a0b0ba44,lu_common_flexor_pronator_tendon,공통 굴곡·회내건 복합체,TENDON,jc_eadfb381fa,jc_elbow_flexion_extension,팔꿈치 굴신 복합체,,tissue_6ab8c8af59|tissue_a5051659e6,tissue_common_flexor_tendon|tissue_pronator_teres_tendon,공통굴곡건|원회내근건,2,STABILIZATION,2.9,2.7,5.2,SMOOTH_CYCLE,완만한 상하 반복,D_PRIMARY_REPETITION,D의 반복·세트·주기 수를 사용. cumulative = M × reps/cycles × sets × load/ROM/effort modifiers. S는 급속도 성분으로 별도 보존하며 P 자체는 숫자 승수가 아님.,WEIGHTED_REPETITION,유효중량·회,effectiveLoad × reps × sets × ROM × effortModifier,,BILATERAL|SAGITTAL|ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT,C 원점수 직접 합산 금지. ContextFlags를 조직별 bounded modifier로 변환(권장 0.85–1.20); 근거가 약하면 1.0으로 수축.,U19; U26; U27,중간,"https://pubmed.ncbi.nlm.nih.gov/7775488/
https://pubmed.ncbi.nlm.nih.gov/30822679/
https://pubmed.ncbi.nlm.nih.gov/17948164/","회외·중립 이두 컬 기준강도와 STABILIZATION 역할, lu_common_flexor_pronator_tendon의 운동군 민감도(0.55)를 결합해 M=2.9로 정규화했다. S=2.7는 운동의 대표 부하 상승 속도이며, C=5.2는 가동범위·관절위치·지지형태를 반영한다. 전이 기준 운동: 덤벨 컬.",상체 MSC 연구·전이 시안,REL-MSCP-D-UPPER-0.1,1781278881407,controlled_strength; base=2.7; tissue=exercise_base; MT01/MT02/MT03,ex_281347da,덤벨 컬,HIGH,0.55,SCORED_RESEARCH_DRAFT,CTM-0.1,MAPPED_EXACT
