exerciseStableKey,exerciseName,planningEligibility,primarySemanticLayer,hasGeneralQuality,hasCoreRelation,hasSportTaskRelation,hasRecoveryPrehabRelation,candidateQuality,candidateRelationLevel,reason,runtimeEvidence,conflict,reviewDecision,status
band_lift,밴드 리프트,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,YES,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,ROTATIONAL_KINETIC_CHAIN|ROTATIONAL_KINETIC_CHAIN|FATIGUE|BADMINTON_TRANSFER|BALANCE|ROTATIONAL_CORE_STABILITY_STRESS|QUALITY_BASED,,CORE_OWNER,CORE_OWNED
band_pallof_press,밴드 팔로프 프레스,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,YES,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS|CORE_STABILITY|FATIGUE|BADMINTON_SUPPORTIVE|BALANCE|ISOMETRIC_CORE_BRACING_STRESS|QUALITY_BASED,,CORE_OWNER,CORE_OWNED
band_woodchop,밴드 우드찹,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,YES,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,ROTATIONAL_KINETIC_CHAIN|ROTATIONAL_KINETIC_CHAIN|FATIGUE|BADMINTON_TRANSFER|BALANCE|ROTATIONAL_CORE_STABILITY_STRESS|QUALITY_BASED,,CORE_OWNER,CORE_OWNED
barbell_back_squat,스쿼트,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,SQUAT_VARIANTS|MAIN_LOWER_STRENGTH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HEAVY_AXIAL_LOWER_STRESS|ESTIMATED_1RM,,PASS,MANUALLY_REVIEWED
barbell_bench_press,벤치프레스,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS|UPPER_PUSH_STRENGTH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HORIZONTAL_PUSH_STRESS|ESTIMATED_1RM,,PASS,MANUALLY_REVIEWED
barbell_deadlift,데드리프트,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,DEADLIFT_HINGE_VARIANTS|MAIN_HINGE_STRENGTH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HINGE_POSTERIOR_CHAIN_STRESS|ESTIMATED_1RM,,PASS,MANUALLY_REVIEWED
barbell_reverse_curl,바벨 리버스 컬,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS|BRACHIALIS_FOREARM_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|ISOLATION_ACCESSORY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,NO,NO,NO,MUSCULAR_ENDURANCE|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,FOREARM_GRIP_ACCESSORY|FOREARM_GRIP_ACCESSORY|ACCESSORY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE|ISOLATION_ACCESSORY_STRESS|LOAD_REPS_OR_TIME,,PASS,MANUALLY_REVIEWED
barbell_romanian_deadlift,루마니안 바벨 데드리프트,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,DEADLIFT_HINGE_VARIANTS|MAIN_HINGE_STRENGTH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HINGE_POSTERIOR_CHAIN_STRESS|ESTIMATED_1RM,,PASS,MANUALLY_REVIEWED
cable_hip_adduction,케이블 힙 어덕션,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,YES,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,HIP_ADDUCTION_ACCESSORY|HIP_ADDUCTOR_ACCESSORY|HYPERTROPHY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE|ISOLATION_ACCESSORY_STRESS|LOAD_REPS,Bootstrap PLYOMETRIC/BOUND conflicts with runtime HIP_ADDUCTION_ACCESSORY.,PASS,AUTO_APPROVED
