"measurementMetric","measurementFamily","metricOrigin","compatibleMechanicalLoadModes","compatibleTemporalMetrics","requiredModelAssumptions","createdBy","createdByType","createdAt"
"MODELED_TENDON_FORCE","INTERNAL_TENDON_FORCE","SOURCE_OBSERVED","TENSION|COMPRESSION","PEAK|ECCENTRIC_PHASE_PEAK|ISOMETRIC_HOLD_EXPOSURE","Tendon-force model and moment-arm assumptions required","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"MEASURED_TENDON_STRAIN","TENDON_STRAIN","SOURCE_OBSERVED","TENSION","PEAK|ECCENTRIC_PHASE_PEAK|ISOMETRIC_HOLD_EXPOSURE","Direct imaging or validated strain measurement required","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"MODELED_JOINT_CONTACT_FORCE","INTERNAL_JOINT_FORCE","SOURCE_OBSERVED","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|MEDIAL_LATERAL_SHEAR|TORSION|ROTATIONAL_STRESS","PEAK|ECCENTRIC_PHASE_PEAK","Joint-contact model assumptions required","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"MODELED_LIGAMENT_FORCE","INTERNAL_LIGAMENT_FORCE","SOURCE_OBSERVED","ANTERIOR_POSTERIOR_SHEAR|MEDIAL_LATERAL_SHEAR|TORSION|ROTATIONAL_STRESS|INTERNAL_ROTATION_STRESS|EXTERNAL_ROTATION_STRESS|VALGUS_STRESS|VARUS_STRESS|ANTERIOR_TRANSLATION_STRESS|POSTERIOR_TRANSLATION_STRESS|INVERSION_STRESS|EVERSION_STRESS|IMPACT_STABILIZATION|END_RANGE_STRESS","PEAK|ECCENTRIC_PHASE_PEAK","Ligament-force model assumptions required","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"MEASURED_LIGAMENT_STRAIN","LIGAMENT_STRAIN","SOURCE_OBSERVED","ANTERIOR_POSTERIOR_SHEAR|MEDIAL_LATERAL_SHEAR|TORSION|ROTATIONAL_STRESS|INTERNAL_ROTATION_STRESS|EXTERNAL_ROTATION_STRESS|VALGUS_STRESS|VARUS_STRESS|ANTERIOR_TRANSLATION_STRESS|POSTERIOR_TRANSLATION_STRESS|INVERSION_STRESS|EVERSION_STRESS|IMPACT_STABILIZATION|END_RANGE_STRESS","PEAK|ECCENTRIC_PHASE_PEAK","Direct or validated strain measurement required","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"EXTERNAL_JOINT_MOMENT","EXTERNAL_KINETIC_PROXY","SOURCE_OBSERVED","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|MEDIAL_LATERAL_SHEAR|TORSION|ROTATIONAL_STRESS|INTERNAL_ROTATION_STRESS|EXTERNAL_ROTATION_STRESS|VALGUS_STRESS|VARUS_STRESS|ANTERIOR_TRANSLATION_STRESS|POSTERIOR_TRANSLATION_STRESS|INVERSION_STRESS|EVERSION_STRESS|IMPACT_STABILIZATION|END_RANGE_STRESS","PEAK|IMPULSE_PER_EVENT|LOADING_RATE","Explicit approved proxy mapping required","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"GROUND_REACTION_FORCE","EXTERNAL_FORCE_PROXY","SOURCE_OBSERVED","COMPRESSION|IMPACT_STABILIZATION","PEAK|IMPULSE_PER_EVENT","Explicit approved proxy mapping required","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"JOINT_CONTACT_FORCE_TIME_INTEGRAL","INTERNAL_JOINT_IMPULSE","SOURCE_OBSERVED","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|ROTATIONAL_STRESS","IMPULSE_PER_EVENT|CUMULATIVE_SESSION_IMPULSE|CUMULATIVE_WEEKLY_EXPOSURE","Joint-contact force-time model required","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"TENDON_FORCE_TIME_INTEGRAL","INTERNAL_TENDON_IMPULSE","SOURCE_OBSERVED","TENSION|COMPRESSION","IMPULSE_PER_EVENT|ECCENTRIC_PHASE_IMPULSE|CUMULATIVE_SESSION_IMPULSE|CUMULATIVE_WEEKLY_EXPOSURE","Tendon force-time model required","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"MODELED_TENDON_FORCE_LOADING_RATE","INTERNAL_TENDON_LOADING_RATE","SOURCE_OBSERVED","TENSION|COMPRESSION","LOADING_RATE","Tendon force-time model and rate definition required","Codex","AI_AGENT","2026-07-14T01:00:01Z"
