decision_id,source_name,source_stable_key,requested_action,requested_canonical_name,requested_canonical_stable_key,source_active_in_catalog,source_present_in_legacy_map,target_active_in_catalog,target_name_correct,target_stable_key_correct,description_correct,equipment_correct,primary_muscles_correct,secondary_muscles_correct,movement_pattern_correct,movement_category_correct,force_type_correct,body_region_correct,laterality_correct,plane_correct,training_role_correct,sport_transfer_correct,load_profile_correct,default_rest_correct,tissue_action_correct,tissue_profile_correct,image_mapping_correct,program_seed_references_correct,runtime_program_rules_correct,backup_export_correct,legacy_import_mapping_correct,migration_mapping_correct,protocol_documentation_correct,implementation_status,discrepancy,required_correction,evidence_file,evidence_symbol_or_row
D01,B-스탠스 RDL | 킥스탠스 RDL | 싱글 레그 RDL | 원레그 RDL,ex_201f6426 | ex_885b629 | imported_싱글_레그_rdl | single_leg_rdl,MERGE,원레그 루마니안 데드리프트,single_leg_rdl,YES: no obsolete source identity active,YES: 3 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D01; target=single_leg_rdl; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D02,6코너 섀도우 풋워크 | 6코너 풋워크,imported_6코너_섀도우_풋워크 | ex_33841b88,MERGE,6코너 풋워크,ex_33841b88,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D02; target=ex_33841b88; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D03,싱글 레그 홉 앤 스틱 | 홉 투 스틱,imported_싱글_레그_홉_앤_스틱 | ex_314df428,MERGE_RENAME,원레그 홉 투 스틱,ex_314df428,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D03; target=ex_314df428; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D04,리어풋 엘리베이티드 스플릿 스쿼트 | 불가리안 스플릿 스쿼트,ex_bb728af2 | ex_e2efd0fe,MERGE,불가리안 스플릿 스쿼트,ex_e2efd0fe,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D04; target=ex_e2efd0fe; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D05,카프 레이즈 | 스탠딩 카프 레이즈,ex_f892893e | ex_bd072cd,MERGE,스탠딩 카프 레이즈,ex_bd072cd,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D05; target=ex_bd072cd; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D06,바이퍼 찹 | 바이퍼 트위스트(아래로),vipr_chop | ex_8354acd,MERGE_RENAME,바이퍼 회전 아래로,vipr_chop,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D06; target=vipr_chop; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D07,바이퍼 로테이셔널 리프트 | 바이퍼 셔블 / 스쿱,vipr_rotational_lift | vipr_shovel_scoop,MERGE_RENAME,바이퍼 회전 위로,vipr_rotational_lift,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D07; target=vipr_rotational_lift; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D08,메디신볼 슬램 | 메디신볼 오버헤드 슬램,ex_26ac0c19 | med_ball_overhead_slam,MERGE_RENAME,메디신볼 위에서 아래로 슬램,med_ball_overhead_slam,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D08; target=med_ball_overhead_slam; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D09,A스킵 | 하이니 스킵,ex_a12de111 | ex_c821775c,MERGE,A스킵,ex_a12de111,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D09; target=ex_a12de111; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D10,랜드마인 로테이션 | 랜드마인 레인보우,landmine_rotation | landmine_rainbow,MERGE_RENAME,랜드마인 좌우 회전,landmine_rotation,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D10; target=landmine_rotation; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D11,싱글 레그 글루트 브릿지 | 싱글 레그 힙 쓰러스트,ex_5715d6ca | ex_d634055c,MERGE_RENAME,원레그 힙 브릿지,single_leg_hip_bridge,YES: no obsolete source identity active,YES: 2 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D11; target=single_leg_hip_bridge; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
