"exerciseName","stableKey","reviewDebtDecision","safeForSeedMutation","missingFields","placeholderFields","placeholderValues","reason","recommendedNextPass"
"B-스탠스 RDL","ex_201f6426","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|recoveryDecayProfile|stressMagnitudeHint|badmintonTransferLevel","","","A meaning-bearing production field is blank or placeholder; seed candidate generation is blocked for this row.","FIELD_SPECIFIC_NORMALIZATION_PASSES"
"EZ바 컬","ex_8633d8db","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|recoveryDecayProfile|stressMagnitudeHint|badmintonTransferLevel","","","A meaning-bearing production field is blank or placeholder; seed candidate generation is blocked for this row.","FIELD_SPECIFIC_NORMALIZATION_PASSES"
"V업","ex_644e0f9d","ACCEPTED_HEURISTIC","NO","primaryStressProfile|recoveryDecayProfile|stressMagnitudeHint|badmintonTransferLevel","","","A meaning-bearing production field is blank or placeholder; seed candidate generation is blocked for this row.","FIELD_SPECIFIC_NORMALIZATION_PASSES"
"Yates Row","ex_8e4bf08e","ACCEPTED_HEURISTIC","NO","badmintonTransferLevel","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","A meaning-bearing production field is blank or placeholder; seed candidate generation is blocked for this row.","FIELD_SPECIFIC_NORMALIZATION_PASSES"
"글루트 브릿지","ex_389920ab","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","A meaning-bearing production field is blank or placeholder; seed candidate generation is blocked for this row.","FIELD_SPECIFIC_NORMALIZATION_PASSES"
"네거티브 풀업","ex_e4f911bb","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel","movementSubtype","movementSubtype=NEEDS_SUBTYPE_REVIEW","A meaning-bearing production field is blank or placeholder; seed candidate generation is blocked for this row.","FIELD_SPECIFIC_NORMALIZATION_PASSES"
"다이아몬드 푸시업","ex_debf6a8b","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|recoveryDecayProfile|stressMagnitudeHint|badmintonTransferLevel","","","A meaning-bearing production field is blank or placeholder; seed candidate generation is blocked for this row.","FIELD_SPECIFIC_NORMALIZATION_PASSES"
"덤벨 래터럴 레이즈","ex_93538692","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|recoveryDecayProfile|stressMagnitudeHint|badmintonTransferLevel","","","A meaning-bearing production field is blank or placeholder; seed candidate generation is blocked for this row.","FIELD_SPECIFIC_NORMALIZATION_PASSES"
"덤벨 루마니안 데드리프트","ex_9523db82","ACCEPTED_HEURISTIC","NO","badmintonTransferLevel","","","A meaning-bearing production field is blank or placeholder; seed candidate generation is blocked for this row.","FIELD_SPECIFIC_NORMALIZATION_PASSES"
"덤벨 리스트 익스텐션","ex_72f11dc5","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|recoveryDecayProfile|stressMagnitudeHint|badmintonTransferLevel","","","A meaning-bearing production field is blank or placeholder; seed candidate generation is blocked for this row.","FIELD_SPECIFIC_NORMALIZATION_PASSES"
