"measurementMetric","measurementFamily","metricOrigin","compatibleMechanicalLoadModes","compatibleTemporalMetrics","allowedEvidenceRelations","requiredModelAssumptions","createdBy","createdByType","createdAt"
"MODELED_TENDON_FORCE","INTERNAL_TENDON_FORCE","SOURCE_OBSERVED","COMPRESSION|TENSION","PEAK|ECCENTRIC_PHASE_PEAK|ISOMETRIC_HOLD_EXPOSURE","VALIDATED_INTERNAL_MODEL","Tendon-force model and moment-arm assumptions required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MODELED_TENDON_STRESS","INTERNAL_TENDON_STRESS","SOURCE_OBSERVED","TENSION","PEAK|ECCENTRIC_PHASE_PEAK","VALIDATED_INTERNAL_MODEL","Cross-sectional area and tendon-force model assumptions required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MEASURED_TENDON_STRAIN","TENDON_STRAIN","SOURCE_OBSERVED","TENSION","PEAK|ECCENTRIC_PHASE_PEAK|ISOMETRIC_HOLD_EXPOSURE","DIRECT_INTERNAL_MEASUREMENT","Direct imaging or validated strain measurement required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MODELED_JOINT_CONTACT_FORCE","INTERNAL_JOINT_FORCE","SOURCE_OBSERVED","ANTERIOR_POSTERIOR_SHEAR|COMPRESSION|MEDIAL_LATERAL_SHEAR|ROTATIONAL_STRESS|TORSION","PEAK|ECCENTRIC_PHASE_PEAK","VALIDATED_INTERNAL_MODEL","Joint-contact model assumptions required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MODELED_LIGAMENT_FORCE","INTERNAL_LIGAMENT_FORCE","SOURCE_OBSERVED","ANTERIOR_POSTERIOR_SHEAR|ANTERIOR_TRANSLATION_STRESS|EVERSION_STRESS|EXTERNAL_ROTATION_STRESS|INTERNAL_ROTATION_STRESS|INVERSION_STRESS|MEDIAL_LATERAL_SHEAR|POSTERIOR_TRANSLATION_STRESS|ROTATIONAL_STRESS|TENSION|TORSION|VALGUS_STRESS|VARUS_STRESS","PEAK|ECCENTRIC_PHASE_PEAK","VALIDATED_INTERNAL_MODEL","Ligament-force model assumptions required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MEASURED_LIGAMENT_STRAIN","LIGAMENT_STRAIN","SOURCE_OBSERVED","TENSION","PEAK|ECCENTRIC_PHASE_PEAK","DIRECT_INTERNAL_MEASUREMENT","Direct or validated strain measurement required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"EXTERNAL_JOINT_MOMENT","EXTERNAL_KINETIC_PROXY","SOURCE_OBSERVED","ANTERIOR_POSTERIOR_SHEAR|ANTERIOR_TRANSLATION_STRESS|COMPRESSION|EVERSION_STRESS|EXTERNAL_ROTATION_STRESS|INTERNAL_ROTATION_STRESS|INVERSION_STRESS|MEDIAL_LATERAL_SHEAR|POSTERIOR_TRANSLATION_STRESS|ROTATIONAL_STRESS|TORSION|VALGUS_STRESS|VARUS_STRESS","PEAK|IMPULSE_PER_EVENT|LOADING_RATE","VALIDATED_PROXY|UNVALIDATED_PROXY","Explicit approved proxy mapping required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"GROUND_REACTION_FORCE","EXTERNAL_FORCE_PROXY","SOURCE_OBSERVED","COMPRESSION","PEAK|IMPULSE_PER_EVENT","VALIDATED_PROXY|UNVALIDATED_PROXY","Explicit approved proxy mapping required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"JOINT_CONTACT_FORCE_TIME_INTEGRAL","INTERNAL_JOINT_IMPULSE","SOURCE_OBSERVED","ANTERIOR_POSTERIOR_SHEAR|COMPRESSION|ROTATIONAL_STRESS","IMPULSE_PER_EVENT|CUMULATIVE_SESSION_IMPULSE|CUMULATIVE_WEEKLY_EXPOSURE","VALIDATED_INTERNAL_MODEL","Joint-contact force-time model required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TENDON_FORCE_TIME_INTEGRAL","INTERNAL_TENDON_IMPULSE","SOURCE_OBSERVED","COMPRESSION|TENSION","IMPULSE_PER_EVENT|ECCENTRIC_PHASE_IMPULSE|CUMULATIVE_SESSION_IMPULSE|CUMULATIVE_WEEKLY_EXPOSURE","VALIDATED_INTERNAL_MODEL","Tendon force-time model required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
