"gapId","complexId","axis","seedCount","bibliographicallyVerifiedOrHigherCount","metricExtractedSeedCount","existingExtractionCount","gapStatus","limitations","nextAction"
"MTC_GAP_KNEE_EXTENSOR_CONTACT_COMPLEX_M","KNEE_EXTENSOR_CONTACT_COMPLEX","M","30","24","1","29","PARTIAL_EVIDENCE_REQUIRES_AXIS_REVIEW","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_KNEE_EXTENSOR_CONTACT_COMPLEX_T","KNEE_EXTENSOR_CONTACT_COMPLEX","T","30","24","1","29","PARTIAL_EVIDENCE_REQUIRES_AXIS_REVIEW","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_KNEE_EXTENSOR_CONTACT_COMPLEX_C","KNEE_EXTENSOR_CONTACT_COMPLEX","C","30","24","1","29","PARTIAL_EVIDENCE_REQUIRES_AXIS_REVIEW","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_KNEE_MENISCAL_CARTILAGE_COMPLEX_M","KNEE_MENISCAL_CARTILAGE_COMPLEX","M","5","1","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_KNEE_MENISCAL_CARTILAGE_COMPLEX_T","KNEE_MENISCAL_CARTILAGE_COMPLEX","T","5","1","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_KNEE_MENISCAL_CARTILAGE_COMPLEX_C","KNEE_MENISCAL_CARTILAGE_COMPLEX","C","5","1","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_CRUCIATE_LIGAMENT_COMPLEX_M","CRUCIATE_LIGAMENT_COMPLEX","M","20","20","1","3","PARTIAL_EVIDENCE_REQUIRES_AXIS_REVIEW","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_CRUCIATE_LIGAMENT_COMPLEX_T","CRUCIATE_LIGAMENT_COMPLEX","T","20","20","1","3","PARTIAL_EVIDENCE_REQUIRES_AXIS_REVIEW","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_CRUCIATE_LIGAMENT_COMPLEX_C","CRUCIATE_LIGAMENT_COMPLEX","C","20","20","1","3","PARTIAL_EVIDENCE_REQUIRES_AXIS_REVIEW","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_CORONAL_ROTATIONAL_KNEE_COMPLEX_M","CORONAL_ROTATIONAL_KNEE_COMPLEX","M","9","9","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_CORONAL_ROTATIONAL_KNEE_COMPLEX_T","CORONAL_ROTATIONAL_KNEE_COMPLEX","T","9","9","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_CORONAL_ROTATIONAL_KNEE_COMPLEX_C","CORONAL_ROTATIONAL_KNEE_COMPLEX","C","9","9","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_POSTERIOR_KNEE_HAMSTRING_COMPLEX_M","POSTERIOR_KNEE_HAMSTRING_COMPLEX","M","11","10","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_POSTERIOR_KNEE_HAMSTRING_COMPLEX_T","POSTERIOR_KNEE_HAMSTRING_COMPLEX","T","11","10","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_POSTERIOR_KNEE_HAMSTRING_COMPLEX_C","POSTERIOR_KNEE_HAMSTRING_COMPLEX","C","11","10","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_ANKLE_PROPULSION_IMPACT_COMPLEX_M","ANKLE_PROPULSION_IMPACT_COMPLEX","M","18","15","1","13","PARTIAL_EVIDENCE_REQUIRES_AXIS_REVIEW","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_ANKLE_PROPULSION_IMPACT_COMPLEX_T","ANKLE_PROPULSION_IMPACT_COMPLEX","T","18","15","1","13","PARTIAL_EVIDENCE_REQUIRES_AXIS_REVIEW","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_ANKLE_PROPULSION_IMPACT_COMPLEX_C","ANKLE_PROPULSION_IMPACT_COMPLEX","C","18","15","1","13","PARTIAL_EVIDENCE_REQUIRES_AXIS_REVIEW","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_LATERAL_ANKLE_STABILITY_COMPLEX_M","LATERAL_ANKLE_STABILITY_COMPLEX","M","11","10","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_LATERAL_ANKLE_STABILITY_COMPLEX_T","LATERAL_ANKLE_STABILITY_COMPLEX","T","11","10","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_LATERAL_ANKLE_STABILITY_COMPLEX_C","LATERAL_ANKLE_STABILITY_COMPLEX","C","11","10","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_SYNDESMOTIC_ROTATIONAL_COMPLEX_M","SYNDESMOTIC_ROTATIONAL_COMPLEX","M","7","6","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_SYNDESMOTIC_ROTATIONAL_COMPLEX_T","SYNDESMOTIC_ROTATIONAL_COMPLEX","T","7","6","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_SYNDESMOTIC_ROTATIONAL_COMPLEX_C","SYNDESMOTIC_ROTATIONAL_COMPLEX","C","7","6","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_MEDIAL_ANKLE_ARCH_COMPLEX_M","MEDIAL_ANKLE_ARCH_COMPLEX","M","7","5","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_MEDIAL_ANKLE_ARCH_COMPLEX_T","MEDIAL_ANKLE_ARCH_COMPLEX","T","7","5","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
"MTC_GAP_MEDIAL_ANKLE_ARCH_COMPLEX_C","MEDIAL_ANKLE_ARCH_COMPLEX","C","7","5","0","0","RESEARCH_GAP","Seed identity or extraction presence does not establish a calibrated M/T/C rubric.","Independently verify protocols, split exact source conditions, classify evidence relation, and extract compatible axis metrics."
