"exerciseName","stableKey","proposedMovementFamily","proposedMovementSubtype","proposalStatus","reviewDebtDecision","humanReviewQuestion","reviewDebtReason","sourceReviewKind","recommendedResolution","seedPatchReadiness","safeForSeedMutation"
"Yates Row","ex_8e4bf08e","ROW_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_ROW_REVIEW","STRESS_REVIEW_REQUIRED","NONE","SSC, 감속, 편심, 고축부하 또는 신경계 피로 해석이 남아 있어 일반 템플릿으로 확정하기 어렵습니다.","SOURCE_PLUS_STRESS_REVIEW","KEEP_DRAFT_ONLY_UNTIL_STRESS_MODEL_READY","READY_AFTER_STRESS_REVIEW","NO"
"글루트 브릿지","ex_389920ab","HIP_THRUST_GLUTE_BRIDGE_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_SOURCE_REVIEW","STRESS_REVIEW_REQUIRED","NONE","SSC, 감속, 편심, 고축부하 또는 신경계 피로 해석이 남아 있어 일반 템플릿으로 확정하기 어렵습니다.","SOURCE_PLUS_STRESS_REVIEW","KEEP_DRAFT_ONLY_UNTIL_STRESS_MODEL_READY","READY_AFTER_STRESS_REVIEW","NO"
"네거티브 풀업","ex_e4f911bb","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_SOURCE_REVIEW","STRESS_REVIEW_REQUIRED","NONE","SSC, 감속, 편심, 고축부하 또는 신경계 피로 해석이 남아 있어 일반 템플릿으로 확정하기 어렵습니다.","SOURCE_PLUS_STRESS_REVIEW","KEEP_DRAFT_ONLY_UNTIL_STRESS_MODEL_READY","READY_AFTER_STRESS_REVIEW","NO"
"덤벨 루마니안 데드리프트","ex_9523db82","DEADLIFT_HINGE_VARIANTS","DUMBBELL_ROMANIAN_DEADLIFT","NEEDS_STRESS_REVIEW","STRESS_REVIEW_REQUIRED","NONE","SSC, 감속, 편심, 고축부하 또는 신경계 피로 해석이 남아 있어 일반 템플릿으로 확정하기 어렵습니다.","NONE","KEEP_DRAFT_ONLY_UNTIL_STRESS_MODEL_READY","READY_AFTER_STRESS_REVIEW","NO"
"덤벨 풀오버","ex_708e64ce","PULLOVER_LAT_CHEST_ACCESSORY_REVIEW","NEEDS_SUBTYPE_REVIEW","NEEDS_TEMPLATE_DEFINITION","STRESS_REVIEW_REQUIRED","NONE","SSC, 감속, 편심, 고축부하 또는 신경계 피로 해석이 남아 있어 일반 템플릿으로 확정하기 어렵습니다.","SOURCE_PLUS_STRESS_REVIEW","KEEP_DRAFT_ONLY_UNTIL_STRESS_MODEL_READY","READY_AFTER_STRESS_REVIEW","NO"
"데드리프트","barbell_deadlift","DEADLIFT_HINGE_VARIANTS","CONVENTIONAL_DEADLIFT","NEEDS_STRESS_REVIEW","STRESS_REVIEW_REQUIRED","NONE","SSC, 감속, 편심, 고축부하 또는 신경계 피로 해석이 남아 있어 일반 템플릿으로 확정하기 어렵습니다.","NONE","KEEP_DRAFT_ONLY_UNTIL_STRESS_MODEL_READY","READY_AFTER_STRESS_REVIEW","NO"
"래터럴 런지","ex_b4b198de","LUNGE_SPLIT_SQUAT_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_SOURCE_REVIEW","STRESS_REVIEW_REQUIRED","NONE","SSC, 감속, 편심, 고축부하 또는 신경계 피로 해석이 남아 있어 일반 템플릿으로 확정하기 어렵습니다.","SOURCE_PLUS_STRESS_REVIEW","KEEP_DRAFT_ONLY_UNTIL_STRESS_MODEL_READY","READY_AFTER_STRESS_REVIEW","NO"
"랫풀다운","ex_dc9e5953","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","LAT_PULLDOWN","NEEDS_SOURCE_REVIEW","STRESS_REVIEW_REQUIRED","NONE","SSC, 감속, 편심, 고축부하 또는 신경계 피로 해석이 남아 있어 일반 템플릿으로 확정하기 어렵습니다.","SOURCE_PLUS_STRESS_REVIEW","KEEP_DRAFT_ONLY_UNTIL_STRESS_MODEL_READY","READY_AFTER_STRESS_REVIEW","NO"
"런지","ex_64644b5e","LUNGE_SPLIT_SQUAT_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_SOURCE_REVIEW","STRESS_REVIEW_REQUIRED","NONE","SSC, 감속, 편심, 고축부하 또는 신경계 피로 해석이 남아 있어 일반 템플릿으로 확정하기 어렵습니다.","SOURCE_PLUS_STRESS_REVIEW","KEEP_DRAFT_ONLY_UNTIL_STRESS_MODEL_READY","READY_AFTER_STRESS_REVIEW","NO"
"루마니안 데드리프트","ex_d2bb7946","DEADLIFT_HINGE_VARIANTS","ROMANIAN_DEADLIFT","NEEDS_STRESS_REVIEW","STRESS_REVIEW_REQUIRED","NONE","SSC, 감속, 편심, 고축부하 또는 신경계 피로 해석이 남아 있어 일반 템플릿으로 확정하기 어렵습니다.","NONE","KEEP_DRAFT_ONLY_UNTIL_STRESS_MODEL_READY","READY_AFTER_STRESS_REVIEW","NO"
