"dimensionId","c3DimensionId","tissueClass","tissueId","mechanicalLoadMode","temporalMetric","allowedMeasurementMetrics","allowedNormalizationBases","allowedEvidenceRelations","allowedTissueResponseMetrics","sourceObservedOrDerived","derivedFormulaId","biomechanicalMeaning","clinicalInterpretationBoundary","minimumEvidenceLevel","rubricEligible","profileEligible","correctionStatus","migrationNotes","createdBy","createdByType","createdAt"
"ACH_TENSION_PEAK","ACH_TENSION_PEAK","TENDON","ACHILLES_TENDON","TENSION","PEAK","MODELED_TENDON_FORCE|MODELED_TENDON_STRESS|MEASURED_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT|UNNORMALIZED_SOURCE_VALUE","DIRECT_INTERNAL_MEASUREMENT|VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as PEAK for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACH_TENSION_IMPULSE_EVENT","ACH_TENSION_IMPULSE_EVENT","TENDON","ACHILLES_TENDON","TENSION","IMPULSE_PER_EVENT","TENDON_FORCE_TIME_INTEGRAL|MODELED_TENDON_STRESS_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as IMPULSE_PER_EVENT for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACH_TENSION_LOADING_RATE","ACH_TENSION_LOADING_RATE","TENDON","ACHILLES_TENDON","TENSION","LOADING_RATE","MODELED_TENDON_FORCE_LOADING_RATE|MODELED_TENDON_STRESS_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as LOADING_RATE for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACH_TENSION_CYCLIC","ACH_TENSION_CYCLIC","TENDON","ACHILLES_TENDON","TENSION","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","CONTEXT_ONLY","","SOURCE_OBSERVED","","TENSION measured as CYCLIC_EXPOSURE for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACH_TENSION_ENERGY_RESPONSE_PEAK","ACH_ENERGY_PEAK","TENDON","ACHILLES_TENDON","TENSION","PEAK","MEASURED_TENDON_ENERGY_STORAGE|MODELED_TENDON_ENERGY_STORAGE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","DIRECT_INTERNAL_MEASUREMENT|VALIDATED_INTERNAL_MODEL","ELASTIC_ENERGY_STORAGE|ELASTIC_ENERGY_RETURN","SOURCE_OBSERVED","","Tensile loading with an explicitly measured or modeled energy response for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","RECLASSIFIED","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACH_TENSION_ENERGY_RESPONSE_CYCLIC","ACH_ENERGY_CYCLIC","TENDON","ACHILLES_TENDON","TENSION","CYCLIC_EXPOSURE","MEASURED_TENDON_ENERGY_STORAGE|MODELED_TENDON_ENERGY_STORAGE|SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","CONTEXT_ONLY|DIRECT_INTERNAL_MEASUREMENT|VALIDATED_INTERNAL_MODEL","ELASTIC_ENERGY_STORAGE|ELASTIC_ENERGY_RETURN","SOURCE_OBSERVED","","Tensile loading with an explicitly measured or modeled energy response for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","RECLASSIFIED","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_TENSION_PEAK","PAT_TENSION_PEAK","TENDON","PATELLAR_TENDON","TENSION","PEAK","MODELED_TENDON_FORCE|MODELED_TENDON_STRESS|MEASURED_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT|UNNORMALIZED_SOURCE_VALUE","DIRECT_INTERNAL_MEASUREMENT|VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as PEAK for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_TENSION_IMPULSE_EVENT","PAT_TENSION_IMPULSE_EVENT","TENDON","PATELLAR_TENDON","TENSION","IMPULSE_PER_EVENT","TENDON_FORCE_TIME_INTEGRAL|MODELED_TENDON_STRESS_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as IMPULSE_PER_EVENT for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_TENSION_LOADING_RATE","PAT_TENSION_LOADING_RATE","TENDON","PATELLAR_TENDON","TENSION","LOADING_RATE","MODELED_TENDON_FORCE_LOADING_RATE|MODELED_TENDON_STRESS_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as LOADING_RATE for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_TENSION_CYCLIC","PAT_TENSION_CYCLIC","TENDON","PATELLAR_TENDON","TENSION","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","CONTEXT_ONLY","","SOURCE_OBSERVED","","TENSION measured as CYCLIC_EXPOSURE for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
