"exerciseName","stableKey","proposedMovementFamily","proposedMovementSubtype","proposalStatus","reviewDebtDecision","humanReviewQuestion","reviewDebtReason","sourceReviewKind","recommendedResolution","seedPatchReadiness","safeForSeedMutation"
"30초 반복 스매시 테스트","ex_91d8430b","BADMINTON_OVERHEAD_POWER_TEST_REVIEW","BADMINTON_OVERHEAD_POWER_TEST","NEEDS_TEMPLATE_DEFINITION","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
"6방향 랜덤 콕줍기","ex_bc84eb7f","FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_STRESS_REVIEW","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
"6코너 섀도우 풋워크","ex_33841b88","FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS","SIX_CORNER_FOOTWORK","NEEDS_STRESS_REVIEW","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
"6코너 풋워크 최대반복 테스트","ex_c7977dfd","FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_STRESS_REVIEW","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
"A스킵","ex_a12de111","RUNNING_MECHANICS_SUPPORT_REVIEW","NEEDS_SUBTYPE_REVIEW","NEEDS_TEMPLATE_DEFINITION","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
"B스킵","ex_a12de4d2","RUNNING_MECHANICS_SUPPORT_REVIEW","NEEDS_SUBTYPE_REVIEW","NEEDS_TEMPLATE_DEFINITION","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
"가벼운 콕줍기","ex_216351a1","FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_STRESS_REVIEW","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
"랜덤 방향전환 드릴","ex_64422511","FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_STRESS_REVIEW","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
"랜덤 비프 풋워크","ex_c5f4c242","FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS","RANDOM_BEEP_FOOTWORK","NEEDS_STRESS_REVIEW","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
"랜덤 풋워크","ex_1c7f2342","FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_STRESS_REVIEW","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
"린단 참고 페이스 체인지 풋워크","ex_5004ca76","FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_STRESS_REVIEW","SPORT_TRANSFER_REVIEW_REQUIRED","NONE","스포츠 세션/드릴의 direct transfer, 코트 풋워크, 프로그램 선택 경계가 앱 동작에 영향을 줍니다.","SOURCE_PLUS_SPORT_TRANSFER_REVIEW","ASK_USER_TO_CONFIRM_SPORT_TRANSFER","READY_AFTER_HUMAN_APPROVAL","NO"
