"Group","SidecarField","CandidateField","CurrentAppTarget","IncludeInCandidate","IncludeInRuntimeSeed","Normalization","RecommendedVersion","Notes"
"SEED_CANDIDATE","stableKey","stableKey","Exercise.stableKey","YES","YES","NONE","v0.3.5.0 seed patch candidate","Canonical identity; preserve exactly."
"SEED_CANDIDATE","exerciseName","name","Exercise.name","YES","YES","NONE","v0.3.5.0 seed patch candidate","Display name; must not be the primary resolver."
"SEED_CANDIDATE","aliases","aliases","MISSING","YES","LATER","FIELD_NOT_PRESENT","v0.3.5.0 metadata integration / recommendation mapping","Add only if alias lookup is required."
"SEED_CANDIDATE","currentActivityKind","activityKind","Exercise.activityKind","YES","YES","RENAME_AND_ENUM_VALIDATE","v0.3.5.0 seed patch candidate","Six planning conflicts require explicit normalization."
"SEED_CANDIDATE","currentPlanningEligibility","planningEligibility","Exercise.planningEligibility","YES","YES","CONFLICT_TOKEN_NORMALIZATION","v0.3.5.0 seed patch candidate","Do not emit PROGRAM_SELECTABLE_CONFLICT_REVIEW."
"SEED_CANDIDATE","movementFamily","movementFamily","Exercise.familyId or new field","YES","AFTER_MAPPING","REVIEW_ENUM_NORMALIZATION","v0.3.5.0 metadata integration / recommendation mapping","Current schema has movementPattern/familyId, not this taxonomy directly."
"SEED_CANDIDATE","movementSubtype","movementSubtype","MISSING","YES","AFTER_SCHEMA_DECISION","67 NEEDS_SUBTYPE_REVIEW + 27 blanks","v0.3.5.0 metadata integration / recommendation mapping","Nullable subtype or explicit production enum required."
"SEED_CANDIDATE","programSlot","programSlot","Exercise.trainingRole (partial)","YES","AFTER_MAPPING","REVIEW_ENUM_NORMALIZATION","v0.3.5.0 metadata integration / recommendation mapping","Do not overload trainingRole without a mapping table."
"SEED_CANDIDATE","redundancyGroup","redundancyGroup","MISSING","YES","AFTER_SCHEMA_DECISION","REVIEW_ENUM_NORMALIZATION","v0.3.5.0 metadata integration / recommendation mapping","Needed to replace movementPattern-only redundancy penalties."
"SEED_CANDIDATE","progressMetricType","progressMetricType","Exercise.progressMetricType","YES","YES","5 REVIEW/TEST_REVIEW values","v0.3.5.0 seed patch candidate","Map to current ProgressMetricType enum."
"SEED_CANDIDATE","strengthProgressionGroup","strengthProgressionGroup","Exercise.strengthProgressionGroup","YES","YES","158 blanks require nullable/default policy","v0.3.5.0 seed patch candidate","Blank is acceptable only for non-strength rows after explicit policy."
"SEED_CANDIDATE","analysisEligibility","analysisEligibility","Exercise.analysisEligibility","YES","YES","19 REVIEW tokens","v0.3.5.0 seed patch candidate","Canonical token list required."
"SEED_CANDIDATE","primaryStressProfile","primaryStressProfile","Exercise.fatigueCategories/weights (partial)","YES","AFTER_MAPPING","146 blanks","v0.3.5.0 metadata integration / recommendation mapping","Define fallback for rows outside stress decision scope."
"SEED_CANDIDATE","secondaryStressTags","secondaryStressTags","Exercise.fatigueCategories (partial)","YES","AFTER_MAPPING","146 blanks","v0.3.5.0 metadata integration / recommendation mapping","Map tags to current fatigue categories or add storage."
"SEED_CANDIDATE","tendonStressTags","tendonStressTags","Exercise.jointStressTags (partial)","YES","AFTER_SCHEMA_DECISION","146 blanks","v0.3.5.0 metadata integration / recommendation mapping","Separate tendon from joint stability semantics."
"SEED_CANDIDATE","ligamentJointStabilityStressTags","ligamentJointStabilityStressTags","Exercise.jointStressTags (partial)","YES","AFTER_SCHEMA_DECISION","146 blanks","v0.3.5.0 metadata integration / recommendation mapping","Schema or deterministic compression required."
"SEED_CANDIDATE","jointImpactStressTags","jointImpactStressTags","Exercise.jointStressTags (partial)","YES","AFTER_SCHEMA_DECISION","146 blanks","v0.3.5.0 metadata integration / recommendation mapping","Keep impact distinct from tendon stress."
"SEED_CANDIDATE","recoveryDecayProfile","recoveryDecayProfile","Exercise.recoveryDecayProfile","YES","YES","146 blanks require current mapper fallback","v0.3.5.0 seed patch candidate","Current readiness already consumes this field."
"SEED_CANDIDATE","stressMagnitudeHint","stressMagnitudeHint","Exercise load weights (partial)","YES","AFTER_MAPPING","146 blanks","v0.3.5.0 metadata integration / recommendation mapping","Map to numeric weights in one audited adapter."
