"diProfileId","Dose basis","필수 입력","선택 입력","D_raw 공식","I 우선순위","I 규칙","P 역할"
"DI_WEIGHTED_REP","WEIGHTED_REPETITION","effectiveLoadKg|reps|sets","romFactor|tempoEccentricSeconds","effectiveLoadKg * reps * sets * romFactor","velocityLossPct|RIR|setRPE","VL preferred; else RIR; else RPE. Never apply more than one effort scale.","SMOOTH_CYCLE"
"DI_BODYWEIGHT_REP","BODYWEIGHT_REPETITION","bodyWeightKg|bodyWeightCoefficient|reps|sets","addedLoadKg|assistLoadKg|romFactor","effectiveBodyweightLoadKg * reps * sets * romFactor","velocityLossPct|RIR|setRPE","Use same resistance effort hierarchy after effective-load resolution.","SMOOTH_CYCLE"
"DI_HOLD","HOLD_TIME","totalHoldSeconds|setRPE","effectiveLoadKg|jointAngle","totalHoldSeconds * loadFactor","timeToFailureFraction|RIRSeconds|setRPE","Near-failure hold or severe tremor escalates functional curve one tier.","HOLD"
"DI_CONTACT","CONTACT_EVENT","contacts|sessionRPE","unilateralContacts|dropHeightCm|surface|hardLandingCount","contacts * contactSeverity","dropHeightCm|contactSeverity|sessionRPE","Drop height, landing quality and hard-contact density modify I/context; all contacts accumulate into the same unsided tissue state.","TRANSIENT_PEAK"
"DI_COD","COD_DECEL_EVENT","activeMinutes|sessionRPE","hardDecelerationCount|CODCount|maxEffortBoutCount","activeMinutes * densityFactor; replace with event count when reliable sensor/manual count exists","maxEffortBoutCount|hardDecelerationDensity|sessionRPE","Maximum repeat test, RPE>=9 or dense hard decelerations select max-COD curve. Direction is context only; no left/right state.","TRANSIENT_PEAK"
"DI_RUNNING","DISTANCE_TIME","distanceKm|activeMinutes|sessionRPE","pace|elevationGainM|sprintMinutes|surface","distanceKm * terrainFactor; if distance absent use activeMinutes * paceClassFactor","sprintMinutes|paceOrHRZone|sessionRPE","Intervals/sprints and single-session spike increase I/timeScale; do not duplicate duration and distance.","SMOOTH_CYCLE"
"DI_CARDIO_TIME","ACTIVE_TIME","activeMinutes|sessionRPE","distance|averagePower|heartRateZoneMinutes|strokeCount","activeMinutes * modalityDensityFactor","averagePowerOrPace|heartRateZone|sessionRPE","Objective intensity preferred; otherwise session-RPE.","SMOOTH_CYCLE"
"DI_SPORT_SESSION","SPORT_ACTIVE_TIME_EVENTS","activeMinutes|sessionRPE","rallies|strokes|jumps|hardDecelerations|sprints|matchGames","activeMinutes * externalDensityFactor; use event densities to distribute dose by tissue channel","competitionOrMaxTest|hardEventDensity|sessionRPE","sRPE provides global I; strokes/jumps/decelerations route local dose rather than being blindly summed.","MIXED_EVENT_CYCLE"
"DI_OVERHEAD_STROKE","OVERHEAD_STRIKE_EVENT","overheadStrokeCount|sessionRPE","maxSmashCount|activeMinutes|racketMassG","overheadStrokeCount + maxSmashCount * highPowerWeight","maxSmashFraction|strokeVelocity|sessionRPE","Maximal repeated smash invokes the longer overhead curve; racket-side is not a tissue-state dimension.","TRANSIENT_PEAK"
"DI_THROW_POWER","THROW_EVENT","throws|ballMassKg|sessionRPE","maxIntentThrows|approachSteps","throws * ballMassKg * intentFactor","maxIntentFraction|ballMassKg|sessionRPE","Max-intent fraction controls power/shoulder curve; throwing side is not a tissue-state dimension.","TRANSIENT_PEAK"
"DI_CARRY","LOAD_DISTANCE_TIME","loadKg|distanceM","activeSeconds|gripRPE","loadKg * distanceM","gripRPE|postureBreakdown|sessionRPE","Grip and trunk effort are separate routing modifiers. Unilateral execution may change bounded context, but no left/right tissue state is created.","HOLD_CYCLE"
"DI_MOBILITY_SPECIFIC","POSITION_TIME","activeMinutes|mobilityRPE","jointPositions|endRangeHoldSeconds","endRangeHoldSeconds or activeMinutes; no load-dose when only gentle motion is recorded","endRangeDiscomfort|mobilityRPE","Gentle range work normally creates no fatigue debt; forceful end-range stretching routes to named tissue only.","HOLD_OR_SMOOTH"
"DI_UNRESOLVED_GENERIC","UNRESOLVED","activeMinutes|sessionRPE","specificExerciseName","not computed until movement is specified","sessionRPE","Keep UNRESOLVED_GENERIC; never substitute zero or arbitrary tissue map.","UNRESOLVED"
