"dimensionId","tissueClass","tissueId","mechanicalLoadMode","temporalMetric","allowedMeasurementMetrics","allowedNormalizationBases","sourceObservedOrDerived","derivedFormulaId","biomechanicalMeaning","clinicalInterpretationBoundary","minimumEvidenceLevel","rubricEligible","profileEligible","deprecatedLegacyDimensions","migrationNotes","createdBy","createdByType","createdAt"
"ACH_TENSION_PEAK","TENDON","ACHILLES_TENDON","TENSION","PEAK","MODELED_TENDON_FORCE|MEASURED_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT","SOURCE_OBSERVED","","TENSION measured as PEAK for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","PEAK_TENSILE_LOAD|TENDON_STRAIN","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ACH_TENSION_IMPULSE_EVENT","TENDON","ACHILLES_TENDON","TENSION","IMPULSE_PER_EVENT","TENDON_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","SOURCE_OBSERVED","","TENSION measured as IMPULSE_PER_EVENT for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ACH_TENSION_LOADING_RATE","TENDON","ACHILLES_TENDON","TENSION","LOADING_RATE","MODELED_TENDON_FORCE_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","TENSION measured as LOADING_RATE for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","LOADING_RATE","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ACH_TENSION_CYCLIC","TENDON","ACHILLES_TENDON","TENSION","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","TENSION measured as CYCLIC_EXPOSURE for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","CYCLIC_TENSILE_LOAD","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ACH_ENERGY_PEAK","TENDON","ACHILLES_TENDON","ENERGY_STORAGE_RELEASE","PEAK","MEASURED_TENDON_ENERGY_STORAGE|MODELED_TENDON_ENERGY_STORAGE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","ENERGY_STORAGE_RELEASE measured as PEAK for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","ENERGY_STORAGE_RELEASE","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ACH_ENERGY_CYCLIC","TENDON","ACHILLES_TENDON","ENERGY_STORAGE_RELEASE","CYCLIC_EXPOSURE","MEASURED_TENDON_ENERGY_STORAGE|MODELED_TENDON_ENERGY_STORAGE|SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","ENERGY_STORAGE_RELEASE measured as CYCLIC_EXPOSURE for ACHILLES_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PAT_TENSION_PEAK","TENDON","PATELLAR_TENDON","TENSION","PEAK","MODELED_TENDON_FORCE|MEASURED_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT","SOURCE_OBSERVED","","TENSION measured as PEAK for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","PEAK_TENSILE_LOAD|TENDON_STRAIN","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PAT_TENSION_IMPULSE_EVENT","TENDON","PATELLAR_TENDON","TENSION","IMPULSE_PER_EVENT","TENDON_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","SOURCE_OBSERVED","","TENSION measured as IMPULSE_PER_EVENT for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PAT_TENSION_LOADING_RATE","TENDON","PATELLAR_TENDON","TENSION","LOADING_RATE","MODELED_TENDON_FORCE_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","TENSION measured as LOADING_RATE for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","LOADING_RATE","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PAT_TENSION_CYCLIC","TENDON","PATELLAR_TENDON","TENSION","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","TENSION measured as CYCLIC_EXPOSURE for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","CYCLIC_TENSILE_LOAD","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PAT_ECCENTRIC_PEAK","TENDON","PATELLAR_TENDON","TENSION","ECCENTRIC_PHASE_PEAK","MODELED_TENDON_FORCE|MEASURED_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT","SOURCE_OBSERVED","","TENSION measured as ECCENTRIC_PHASE_PEAK for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","ECCENTRIC_LOAD","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PAT_ECCENTRIC_IMPULSE","TENDON","PATELLAR_TENDON","TENSION","ECCENTRIC_PHASE_IMPULSE","TENDON_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","SOURCE_OBSERVED","","TENSION measured as ECCENTRIC_PHASE_IMPULSE for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
