"exerciseName","stableKey","movementFamily","movementSubtype","programSlot","backfillDecision","decisionBasis","decisionReason","missingStressFieldsBefore","changedStressFields","missingStressFieldsAfter","primaryStressProfile","recoveryDecayProfile","stressMagnitudeHint","safeForSeedMutation"
"B-스탠스 RDL","ex_201f6426","DEADLIFT_HINGE_VARIANTS","B_STANCE_RDL","UNILATERAL_HINGE_ACCESSORY","DERIVED_FROM_PROGRAM_SLOT","programSlot+movementSubtype","Unilateral/accessory hinge prioritizes stability rather than heavy-hinge recovery.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","UNILATERAL_LOWER_STABILITY_STRESS","MEDIUM","MODERATE","NO"
"EZ바 컬","ex_8633d8db","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","EZ_BAR_CURL","BICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"V업","ex_644e0f9d","CORE_FLEXION_ANTERIOR_CORE","V_UP","CORE_FLEXION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Dynamic anterior-core/conditioning pattern.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","DYNAMIC_CORE_FLEXION_STRESS","SHORT","MODERATE","NO"
"다이아몬드 푸시업","ex_debf6a8b","PUSH_UP_VARIANTS","DIAMOND_PUSH_UP","UPPER_PUSH_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily","Bodyweight horizontal-push family.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","BODYWEIGHT_PUSH_STRESS","SHORT","LOW","NO"
"덤벨 래터럴 레이즈","ex_93538692","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","DUMBBELL_LATERAL_RAISE","SHOULDER_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"덤벨 리스트 익스텐션","ex_72f11dc5","FOREARM_GRIP_ACCESSORY","WRIST_EXTENSION","FOREARM_GRIP_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"덤벨 리스트 컬","ex_95028bfe","FOREARM_GRIP_ACCESSORY","WRIST_CURL","FOREARM_GRIP_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"덤벨 벤치프레스","ex_3a7d3eda","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","DUMBBELL_BENCH_PRESS","HORIZONTAL_PUSH_STRENGTH_OR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Horizontal press family with conservative upper-push stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","HORIZONTAL_PUSH_STRESS","MEDIUM","MODERATE","NO"
"덤벨 숄더프레스","ex_79f3bdbe","OVERHEAD_PRESS_VARIANTS","DUMBBELL_OVERHEAD_PRESS","OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+movementSubtype","Overhead push family; stability detail stays in secondary tags.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","OVERHEAD_PUSH_STRESS","MEDIUM","MODERATE","NO"
"덤벨 스텝업","ex_704cbf1a","STEP_UP_VARIANTS","","UNILATERAL_LOWER_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Step-up family is unilateral lower stability work.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","UNILATERAL_LOWER_STABILITY_STRESS","MEDIUM","MODERATE","NO"
