"temporalMetric","metricOrigin","biomechanicalMeaning","aggregationBoundary","createdBy","createdByType","createdAt"
"PEAK","SOURCE_OBSERVED","Maximum value within one defined event or phase","No session dose implied","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"IMPULSE_PER_EVENT","SOURCE_OBSERVED","Force-time integral for one defined event","Event boundaries must match the source protocol","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"LOADING_RATE","SOURCE_OBSERVED","Rate of load increase under the source definition","Not interchangeable with peak or impulse","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"TIME_ABOVE_THRESHOLD","SOURCE_OBSERVED","Time spent above a declared threshold","Threshold and event window must be explicit","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"CYCLIC_EVENT_COUNT","SOURCE_OBSERVED","Count of defined mechanical events","Count alone is not tissue force or impulse","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"CYCLIC_EXPOSURE","SOURCE_OBSERVED","Source-defined repeated-event exposure","Protocol, cadence, and event definition must be preserved","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"CUMULATIVE_SESSION_IMPULSE","APPLICATION_DERIVED","Per-event impulse aggregated across a valid session event count","Requires formula, valid count, laterality, and no double counting","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"CUMULATIVE_WEEKLY_EXPOSURE","APPLICATION_DERIVED","Compatible session exposure aggregated across a week","Requires compatible session metrics and explicit missing-input policy","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ECCENTRIC_PHASE_PEAK","SOURCE_OBSERVED","Peak restricted to a defined eccentric phase","A lowering phase alone does not establish this metric","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ECCENTRIC_PHASE_IMPULSE","SOURCE_OBSERVED","Force-time integral restricted to a defined eccentric phase","Phase segmentation must be source defined","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ISOMETRIC_HOLD_EXPOSURE","SOURCE_OBSERVED","Load exposure during a defined isometric hold","Duration and load must both be known","Codex","AI_AGENT","2026-07-14T01:00:01Z"
