relationId,targetKey,targetAnchorStableKey,exerciseStableKey,displayNameKo,relationRole,observationPath,relationStatus,priorParameterStatus,alphaPopulationStatus,alphaPersonalizationStatus,futureAlphaWeeklyStateRequired,futureNoSessionWeekPolicy,evidenceTier,evidenceNote,provenance
SPR-V1-001,BENCH_PRESS,barbell_bench_press,barbell_bench_press,벤치프레스,DIRECT_ANCHOR,TARGET_SPECIFIC_ALLOWED,CANONICAL_ACTIVE,DEFERRED_TO_FUTURE_PRIOR_PHASE,DEFERRED,DEFERRED,YES,INTERPOLATE_LATENT_STATE_WITH_UNCERTAINTY,DIRECT_PRODUCT_ANCHOR,Canonical direct target exercise.,PRODUCT_OWNER_RELATION_DECISION_2026-08-04
SPR-V1-002,BENCH_PRESS,barbell_bench_press,ex_27b3deb5,클로즈그립 벤치프레스,SHARED_FACTOR_PROXY,SHARED_FACTOR_ONLY,CANONICAL_ACTIVE,DEFERRED_TO_FUTURE_PRIOR_PHASE,DEFERRED,DEFERRED,YES,INTERPOLATE_LATENT_STATE_WITH_UNCERTAINTY,DIRECT_VARIANT_RESEARCH,Traditional and close-grip bench press 1RM/mechanics directly compared in resistance-trained participants.,PRODUCT_OWNER_RELATION_DECISION_2026-08-04
SPR-V1-003,BENCH_PRESS,barbell_bench_press,ex_3a7d3eda,덤벨 벤치프레스,SHARED_FACTOR_PROXY,SHARED_FACTOR_ONLY,CANONICAL_ACTIVE,DEFERRED_TO_FUTURE_PRIOR_PHASE,DEFERRED,DEFERRED,YES,INTERPOLATE_LATENT_STATE_WITH_UNCERTAINTY,BIOMECHANICAL_AND_TASK_SIMILARITY,Horizontal press with the same prime movement pattern; exact transfer magnitude deferred.,PRODUCT_OWNER_RELATION_DECISION_2026-08-04
SPR-V1-004,BENCH_PRESS,barbell_bench_press,ex_a61f1e96,인클라인 덤벨 프레스,SHARED_FACTOR_PROXY,SHARED_FACTOR_ONLY,CANONICAL_ACTIVE,DEFERRED_TO_FUTURE_PRIOR_PHASE,DEFERRED,DEFERRED,YES,INTERPOLATE_LATENT_STATE_WITH_UNCERTAINTY,BIOMECHANICAL_AND_TASK_SIMILARITY,Pressing pattern and elbow-extension/press shared factors overlap; exact transfer magnitude deferred.,PRODUCT_OWNER_RELATION_DECISION_2026-08-04
SPR-V1-005,BENCH_PRESS,barbell_bench_press,ex_1dbee10e,머신 체스트프레스,SHARED_FACTOR_PROXY,SHARED_FACTOR_ONLY,CANONICAL_ACTIVE,DEFERRED_TO_FUTURE_PRIOR_PHASE,DEFERRED,DEFERRED,YES,INTERPOLATE_LATENT_STATE_WITH_UNCERTAINTY,BIOMECHANICAL_AND_TASK_SIMILARITY,Horizontal machine press shares press factors; machine-specific transfer magnitude deferred.,PRODUCT_OWNER_RELATION_DECISION_2026-08-04
SPR-V1-006,BACK_SQUAT,barbell_back_squat,barbell_back_squat,스쿼트,DIRECT_ANCHOR,TARGET_SPECIFIC_ALLOWED,CANONICAL_ACTIVE,DEFERRED_TO_FUTURE_PRIOR_PHASE,DEFERRED,DEFERRED,YES,INTERPOLATE_LATENT_STATE_WITH_UNCERTAINTY,DIRECT_PRODUCT_ANCHOR,Canonical direct target exercise.,PRODUCT_OWNER_RELATION_DECISION_2026-08-04
SPR-V1-007,BACK_SQUAT,barbell_back_squat,ex_c5043892,프론트 스쿼트,SHARED_FACTOR_PROXY,SHARED_FACTOR_ONLY,CANONICAL_ACTIVE,DEFERRED_TO_FUTURE_PRIOR_PHASE,DEFERRED,DEFERRED,YES,INTERPOLATE_LATENT_STATE_WITH_UNCERTAINTY,DIRECT_VARIANT_RESEARCH,Front and back squat are directly compared variants with substantial shared lower-body strength demands.,PRODUCT_OWNER_RELATION_DECISION_2026-08-04
SPR-V1-008,BACK_SQUAT,barbell_back_squat,ex_fa3416f6,스미스 머신 스쿼트,SHARED_FACTOR_PROXY,SHARED_FACTOR_ONLY,CANONICAL_ACTIVE,DEFERRED_TO_FUTURE_PRIOR_PHASE,DEFERRED,DEFERRED,YES,INTERPOLATE_LATENT_STATE_WITH_UNCERTAINTY,TASK_SIMILARITY_WITH_APPARATUS_DIFFERENCE,"Squat pattern is shared, but guided-bar apparatus changes stabilization and transfer magnitude.",PRODUCT_OWNER_RELATION_DECISION_2026-08-04
SPR-V1-009,DEADLIFT,barbell_deadlift,barbell_deadlift,데드리프트,DIRECT_ANCHOR,TARGET_SPECIFIC_ALLOWED,CANONICAL_ACTIVE,DEFERRED_TO_FUTURE_PRIOR_PHASE,DEFERRED,DEFERRED,YES,INTERPOLATE_LATENT_STATE_WITH_UNCERTAINTY,DIRECT_PRODUCT_ANCHOR,Canonical direct target exercise.,PRODUCT_OWNER_RELATION_DECISION_2026-08-04
SPR-V1-010,DEADLIFT,barbell_deadlift,barbell_romanian_deadlift,루마니안 바벨 데드리프트,SHARED_FACTOR_PROXY,SHARED_FACTOR_ONLY,CANONICAL_ACTIVE,DEFERRED_TO_FUTURE_PRIOR_PHASE,DEFERRED,DEFERRED,YES,INTERPOLATE_LATENT_STATE_WITH_UNCERTAINTY,DIRECT_BIOMECHANICAL_COMPARISON,Conventional and Romanian deadlifts share hip-extension/posterior-chain demands but differ in knee/ankle kinetics.,PRODUCT_OWNER_RELATION_DECISION_2026-08-04
