stableKey,exerciseName,sourceRowOrder,classOrder,coreClass,directTarget,taxonomyFlag,inventorySnapshotMovementPattern,inventorySnapshotStabilityDemand,sourceEquipment,sourceCommit,classificationReason,evidenceGroup,evidenceApplicability,evidenceUrl,confidence,reviewStatus
band_pallof_press,밴드 팔로프 프레스,2,1,DIRECT,ANTI_ROTATION,,TRUNK_BRACE,HIGH,BAND,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 외부 회전 토크에 저항하는 것,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,HIGH,APPROVED_DRAFT
cable_pallof_press,케이블 팔로프 프레스,13,1,DIRECT,ANTI_ROTATION,,TRUNK_BRACE,HIGH,CABLE,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 외부 회전 토크에 저항하는 것,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,HIGH,APPROVED_DRAFT
landmine_anti_rotation,랜드마인 안티로테이션,219,1,DIRECT,ANTI_ROTATION,,TRUNK_BRACE,HIGH,LANDMINE,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 외부 회전 토크에 저항하는 것,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,HIGH,APPROVED_DRAFT
plate_rotational_press_out,플레이트 로테이셔널 프레스아웃,231,1,DIRECT,ANTI_ROTATION,,TRUNK_BRACE,HIGH,WEIGHT_PLATE,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 외부 회전 토크에 저항하는 것,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,HIGH,APPROVED_DRAFT
dumbbell_farmer_carry,덤벨 파머스 캐리,18,1,DIRECT,BRACING,,CARRY|GAIT,HIGH,DUMBBELL,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 강성/정렬 유지 훈련,CARRY,DIRECT_EXERCISE_STUDY,https://pubmed.ncbi.nlm.nih.gov/38665162/,MEDIUM,REVIEW_RECOMMENDED
ex_28347c1f,버드독,43,1,DIRECT,BRACING,,TRUNK_BRACE,HIGH,,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 강성/정렬 유지 훈련,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,HIGH,APPROVED_DRAFT
ex_2a826c82,할로우 바디 홀드,47,1,DIRECT,BRACING,,TRUNK_BRACE,HIGH,,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 강성/정렬 유지 훈련,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,HIGH,APPROVED_DRAFT
ex_a44ae2ca,플랭크,127,1,DIRECT,BRACING,,TRUNK_BRACE,HIGH,,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 강성/정렬 유지 훈련,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,HIGH,APPROVED_DRAFT
ex_a9b52886,마운틴 클라이머,134,1,DIRECT,BRACING,,TRUNK_BRACE,HIGH,,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 강성/정렬 유지 훈련,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,HIGH,APPROVED_DRAFT
ex_d5bdffe1,데드버그,165,1,DIRECT,BRACING,,TRUNK_BRACE,HIGH,,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 강성/정렬 유지 훈련,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,HIGH,APPROVED_DRAFT
ex_f6d43398,사이드 플랭크,196,1,DIRECT,BRACING,,TRUNK_BRACE,HIGH,,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 강성/정렬 유지 훈련,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,HIGH,APPROVED_DRAFT
kettlebell_farmer_carry,케틀벨 파머스 캐리,215,1,DIRECT,BRACING,,CARRY|GAIT,HIGH,KETTLEBELL,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 강성/정렬 유지 훈련,CARRY,DIRECT_EXERCISE_STUDY,https://pubmed.ncbi.nlm.nih.gov/38665162/,MEDIUM,REVIEW_RECOMMENDED
band_lift,밴드 리프트,1,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION,HIGH,BAND,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
band_woodchop,밴드 우드찹,3,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION,HIGH,BAND,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
cable_lift,케이블 리프트,11,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION,HIGH,CABLE,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
cable_woodchop,케이블 우드찹,15,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION,HIGH,CABLE,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
