"stableKey","sourceField","sourceToken","sourceSemanticFacts","existingCanonicalFactsBefore","canonicalFactsAfter","lostFacts","unsupportedNewFacts","duplicatedFacts","informationStatus"
"band_lift","legacy derived badminton transfer inference","forceType=ROTATE;plane=TRANSVERSE;laterality=UNILATERAL;fatigue=CORE_BRACING_LOAD|GRIP_FOREARM|HIP_ROTATIONAL_CONTROL_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|OVERHEAD_REPETITION|ROTATIONAL_CORE_STABILITY_STRESS|ROTATION_POWER|ROTATION_POWER_LOAD|SHOULDER_JOINT_STABILITY_STRESS|STABILITY_COORDINATION_LOAD|SYSTEMIC;muscles=CORE|DEEP_CORE|FOREARM|GLUTE|OBLIQUE|SHOULDER;roles=GRIP_FOREARM|ROTATION_POWER|ROTATION_POWER_SUPPORTIVE|SHOULDER_CARE;skills=ROTATION_SEQUENCING;qualities=CORE_BRACING|ROTATIONAL_CONTROL","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL|UNILATERAL_STABILITY;objectives=ROTATION_POWER;fatigueCost=MEDIUM","level=SUPPORTIVE;types=ROTATION_POWER_SUPPORTIVE;skills=ROTATION_SEQUENCING;qualities=CORE_BRACING|ROTATIONAL_CONTROL","axes=ROTATION_CONTROL;objectives=ROTATION_POWER;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"band_pallof_press","legacy derived badminton transfer inference","forceType=BRACE;plane=TRANSVERSE;laterality=BILATERAL;fatigue=ANTI_ROTATION|ANTI_ROTATION_LOAD|CORE_BRACING_LOAD|ISOMETRIC_CORE_BRACING_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|SYSTEMIC;muscles=CHEST|CORE|DEEP_CORE|OBLIQUE;roles=CORE_STABILITY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE;qualities=CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY","axes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL;objectives=;fatigueCost=MEDIUM","level=SUPPORTIVE;types=CORE_STABILITY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE;qualities=CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY","axes=LOW_FATIGUE_CONTROL;objectives=;fatigueCost=MEDIUM","removedAxes=ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"band_pallof_press","movementPattern","TRUNK_BRACE","Explicit rotational-torque resistance","MOVEMENT_PATTERN:TRUNK_BRACE","MOVEMENT_PATTERN:ANTI_ROTATION","NONE","NONE","NONE","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"band_woodchop","legacy derived badminton transfer inference","forceType=ROTATE;plane=TRANSVERSE;laterality=UNILATERAL;fatigue=CORE_BRACING_LOAD|GRIP_FOREARM|HIP_ROTATIONAL_CONTROL_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|OVERHEAD_REPETITION|ROTATIONAL_CORE_STABILITY_STRESS|ROTATION_POWER|ROTATION_POWER_LOAD|SHOULDER_JOINT_STABILITY_STRESS|STABILITY_COORDINATION_LOAD|SYSTEMIC;muscles=CORE|DEEP_CORE|FOREARM|GLUTE|OBLIQUE|SHOULDER;roles=GRIP_FOREARM|ROTATION_POWER|ROTATION_POWER_SUPPORTIVE|SHOULDER_CARE;skills=ROTATION_SEQUENCING;qualities=CORE_BRACING|ROTATIONAL_CONTROL","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL|UNILATERAL_STABILITY;objectives=ROTATION_POWER;fatigueCost=MEDIUM","level=SUPPORTIVE;types=ROTATION_POWER_SUPPORTIVE;skills=ROTATION_SEQUENCING;qualities=CORE_BRACING|ROTATIONAL_CONTROL","axes=ROTATION_CONTROL;objectives=ROTATION_POWER;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"barbell_back_squat","legacy derived badminton transfer inference","forceType=SQUAT;plane=SAGITTAL;laterality=BILATERAL;fatigue=BARBELL_LOAD|CORE_BRACING_LOAD|GLUTE_LOAD|HAMSTRING_LOAD|HEAVY_AXIAL_LOWER_STRESS|HEAVY_LOAD|KNEE_ROTATIONAL_STABILITY_STRESS|KNEE_VALGUS_CONTROL_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|NEURAL_LOAD|PATELLAR_TENDON_STRESS|QUAD_LOAD|SYSTEMIC;muscles=CORE|DEEP_CORE|GLUTE|HAMSTRING|QUADRICEPS;roles=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE","axes=UNILATERAL_STABILITY;objectives=;fatigueCost=VERY_HIGH","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE","axes=;objectives=;fatigueCost=VERY_HIGH","removedAxes=UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"barbell_back_squat","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","High-force trunk load transfer under axial load","Intrinsic movement/load relations without explicit axial-bracing label","MOVEMENT_PATTERN:AXIAL_BRACING","NONE","NONE","NONE","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"barbell_bench_press","legacy derived badminton transfer inference","forceType=PUSH;plane=TRANSVERSE;laterality=BILATERAL;fatigue=ANTERIOR_DELTOID_LOAD|HORIZONTAL_PUSH_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|PECTORAL_LOAD|PECTORAL_TENDON_STRESS|SHOULDER_SCAPULAR_STABILITY_STRESS|SYSTEMIC|TRICEPS_LOAD|TRICEPS_TENDON_STRESS;muscles=ANTERIOR_DELTOID|CHEST|CORE|TRICEPS;roles=;skills=;qualities=","axes=;objectives=;fatigueCost=VERY_HIGH","level=NONE;types=;skills=;qualities=","axes=;objectives=;fatigueCost=VERY_HIGH","removedAxes=;removedObjectives=","NONE","NONE","LOSSLESS"
"barbell_deadlift","legacy derived badminton transfer inference","forceType=HINGE;plane=SAGITTAL;laterality=BILATERAL;fatigue=CORE_BRACING_LOAD|FOREARM_FLEXOR_TENDON_STRESS|GLUTE_LOAD|GRIP_FOREARM|GRIP_LOAD|HAMSTRING_LOAD|HAMSTRING_TENDON_STRESS|HEAVY_LOAD|HINGE_POSTERIOR_CHAIN_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|SYSTEMIC;muscles=CORE|DEEP_CORE|ERECTOR_SPINAE|GLUTE|HAMSTRING|LAT;roles=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE","axes=RACKET_SUPPORT|UNILATERAL_STABILITY;objectives=;fatigueCost=VERY_HIGH","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE","axes=;objectives=;fatigueCost=VERY_HIGH","removedAxes=RACKET_SUPPORT|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"barbell_deadlift","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","High-force trunk load transfer under external load","Intrinsic movement/load relations without explicit axial-bracing label","MOVEMENT_PATTERN:AXIAL_BRACING","NONE","NONE","NONE","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"barbell_reverse_curl","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=BILATERAL;fatigue=BRACHIALIS_BRACHIORADIALIS_LOAD|ELBOW_FLEXION_LOAD|FOREARM_EXTENSOR_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS|GRIP_FOREARM|GRIP_FOREARM_LOAD|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|SYSTEMIC;muscles=BACK|BICEPS|CORE|FOREARM;roles=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=GRIP_ENDURANCE","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;objectives=;fatigueCost=VERY_HIGH","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=GRIP_ENDURANCE","axes=;objectives=;fatigueCost=VERY_HIGH","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
