"mechanicalLoadMode","tissueClasses","biomechanicalMeaning","clinicalInterpretationBoundary","createdBy","createdByType","createdAt"
"COMPRESSION","JOINT|TENDON|FASCIA","Force pressing tissue surfaces together","Does not encode peak, rate, impulse, or cumulative dose","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TENSION","TENDON|LIGAMENT|FASCIA","Longitudinal tensile loading of collagenous tissue, including ligament force or strain","Force and strain remain distinct measurement families","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ANTERIOR_POSTERIOR_SHEAR","JOINT","Shear directed along the anterior-posterior axis","External moment is not internal shear without a validated mapping","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MEDIAL_LATERAL_SHEAR","JOINT","Shear directed along the medial-lateral axis","Direction and coordinate system must be reported","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TORSION","JOINT|LIGAMENT","Twisting load about a tissue or joint axis","Not interchangeable with a directional rotation stress","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ROTATIONAL_STRESS","JOINT|LIGAMENT","Rotation-related mechanical stress when direction is unresolved","Prefer internal or external rotation when the source resolves direction","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"INTERNAL_ROTATION_STRESS","LIGAMENT","Stress associated with internal rotation","Requires tissue-specific force, strain, or validated proxy","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"EXTERNAL_ROTATION_STRESS","LIGAMENT","Stress associated with external rotation","Requires tissue-specific force, strain, or validated proxy","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"VALGUS_STRESS","LIGAMENT","Stress associated with valgus loading","Joint moment alone is not ligament strain","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"VARUS_STRESS","LIGAMENT","Stress associated with varus loading","Joint moment alone is not ligament strain","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ANTERIOR_TRANSLATION_STRESS","LIGAMENT","Stress associated with anterior translation","Requires a tissue-specific or validated translation proxy","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"POSTERIOR_TRANSLATION_STRESS","LIGAMENT","Stress associated with posterior translation","Requires a tissue-specific or validated translation proxy","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"INVERSION_STRESS","LIGAMENT","Stress associated with inversion","Do not generalize across talocrural, subtalar, and ligament structures","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"EVERSION_STRESS","LIGAMENT","Stress associated with eversion","Do not generalize across talocrural, subtalar, and ligament structures","Codex","AI_AGENT","2026-07-15T00:00:01Z"
