taxonomy,canonicalCode,displayNameKo,displayNameEn,definitionKo,logicalQuestionKo,status,deprecatedAliases,reviewStatus
MovementPatternRef,KNEE_DOMINANT_SQUAT,무릎 우세 스쿼트,Knee-dominant squat,무릎 폄을 중심으로 앉았다 일어나는 전신 동작 패턴,이 운동의 전신 또는 몸통 수준 동작 패턴은 무엇인가?,DRAFT,SQUAT,REVIEW_REQUIRED
MovementPatternRef,HIP_HINGE,엉덩관절 힌지,Hip hinge,엉덩관절 굽힘과 폄을 중심으로 몸통과 골반을 움직이는 패턴,이 운동의 전신 또는 몸통 수준 동작 패턴은 무엇인가?,DRAFT,HINGE,REVIEW_REQUIRED
MovementPatternRef,SPLIT_STANCE_LUNGE,분할자세 런지,Split-stance lunge,앞뒤로 발을 나눈 자세에서 한쪽 다리에 부하를 싣는 패턴,이 운동의 전신 또는 몸통 수준 동작 패턴은 무엇인가?,DRAFT,LUNGE,REVIEW_REQUIRED
MovementPatternRef,HORIZONTAL_PUSH,수평 밀기,Horizontal push,몸통에서 앞쪽 수평 방향으로 저항을 미는 패턴,이 운동의 전신 또는 몸통 수준 동작 패턴은 무엇인가?,DRAFT,PUSH_HORIZONTAL,REVIEW_REQUIRED
MovementPatternRef,VERTICAL_PUSH,수직 밀기,Vertical push,몸통에서 위쪽으로 저항을 미는 패턴,이 운동의 전신 또는 몸통 수준 동작 패턴은 무엇인가?,DRAFT,PUSH_VERTICAL,REVIEW_REQUIRED
MovementPatternRef,HORIZONTAL_PULL,수평 당기기,Horizontal pull,앞쪽의 저항을 몸통 쪽 수평 방향으로 당기는 패턴,이 운동의 전신 또는 몸통 수준 동작 패턴은 무엇인가?,DRAFT,PULL_HORIZONTAL,REVIEW_REQUIRED
MovementPatternRef,VERTICAL_PULL,수직 당기기,Vertical pull,위쪽의 저항 또는 몸을 수직 방향으로 당기는 패턴,이 운동의 전신 또는 몸통 수준 동작 패턴은 무엇인가?,DRAFT,PULL_VERTICAL,REVIEW_REQUIRED
MovementPatternRef,CARRY,운반,Carry,외부 하중을 지지한 채 자세를 유지하며 이동하는 패턴,이 운동의 전신 또는 몸통 수준 동작 패턴은 무엇인가?,DRAFT,,REVIEW_REQUIRED
MovementPatternRef,LOCOMOTION,이동,Locomotion,걷기 달리기 또는 반복 보행으로 위치를 바꾸는 패턴,이 운동의 전신 또는 몸통 수준 동작 패턴은 무엇인가?,DRAFT,,REVIEW_REQUIRED
MovementPatternRef,JUMP,점프,Jump,지면을 밀어 신체가 공중에 뜨는 동작 패턴,이 운동의 전신 또는 몸통 수준 동작 패턴은 무엇인가?,DRAFT,HOP|BOUND,REVIEW_REQUIRED
