"migrationId","legacyDimension","targetMechanicalLoadMode","targetTemporalMetric","targetMeasurementMetric","migrationDecision","affectedClaimIds","affectedRubricIds","ambiguityReason","requiredManualReview","preparedBy","preparedByType","preparedAt","migrationNotes"
"MIG_C3_COMPRESSION","COMPRESSION","COMPRESSION","","SOURCE_DEFINED_COMPOSITE_INDEX","SOURCE_SPECIFIC_ONLY","CLAIM_C_0777BA7A1FB88DF1|CLAIM_C_084C0B3DCC597268|CLAIM_C_4D02CF35465C7511|CLAIM_C_8A2D37D94C1330F7|CLAIM_C_E09E28E71A401E8D|CLAIM_C_E540DF218D72E603","RUBRIC_PFJ_COMP_LOW|RUBRIC_PFJ_COMP_MODERATE","Legacy value does not encode an unambiguous mechanical mode, temporal metric, and measurement family.","true","Codex","AI_AGENT","2026-07-14T01:00:01Z","Historical rows remain parseable and immutable; C3 candidates require explicit remapping."
"MIG_C3_PEAK_COMPRESSION","PEAK_COMPRESSION","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","EXACT_MIGRATION","R1C_07A_PFJ_60_SQUAT_PEAK|R1C_08A_PFJ_FULL_SQUAT_PEAK|R1C_09A_PFJ_BULGARIAN_PEAK|R1C_10A_PFJ_LUNGE_PEAK|R1C_11A_PFJ_DROP_JUMP_PEAK|R1C_12A_PFJ_MAX_HOP_PEAK","","","false","Codex","AI_AGENT","2026-07-14T01:00:01Z","Historical rows remain parseable and immutable; C3 candidates require explicit remapping."
"MIG_C3_COMPRESSION_IMPULSE","COMPRESSION_IMPULSE","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","EXACT_MIGRATION","R1C_07B_PFJ_60_SQUAT_IMPULSE|R1C_08B_PFJ_FULL_SQUAT_IMPULSE|R1C_09B_PFJ_BULGARIAN_IMPULSE|R1C_10B_PFJ_LUNGE_IMPULSE|R1C_11B_PFJ_DROP_JUMP_IMPULSE|R1C_12B_PFJ_MAX_HOP_IMPULSE","","","false","Codex","AI_AGENT","2026-07-14T01:00:01Z","Historical rows remain parseable and immutable; C3 candidates require explicit remapping."
"MIG_C3_COMPRESSION_LOADING_RATE","COMPRESSION_LOADING_RATE","COMPRESSION","LOADING_RATE","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","EXACT_MIGRATION","R1C_07C_PFJ_60_SQUAT_RATE|R1C_08C_PFJ_FULL_SQUAT_RATE|R1C_09C_PFJ_BULGARIAN_RATE|R1C_10C_PFJ_LUNGE_RATE|R1C_11C_PFJ_DROP_JUMP_RATE|R1C_12C_PFJ_MAX_HOP_RATE","","","false","Codex","AI_AGENT","2026-07-14T01:00:01Z","Historical rows remain parseable and immutable; C3 candidates require explicit remapping."
"MIG_C3_ANTERIOR_POSTERIOR_SHEAR","ANTERIOR_POSTERIOR_SHEAR","","","","DEPRECATED_AMBIGUOUS","","","Legacy value does not encode an unambiguous mechanical mode, temporal metric, and measurement family.","true","Codex","AI_AGENT","2026-07-14T01:00:01Z","Historical rows remain parseable and immutable; C3 candidates require explicit remapping."
"MIG_C3_ROTATIONAL_SHEAR","ROTATIONAL_SHEAR","","","","DEPRECATED_AMBIGUOUS","","","Legacy value does not encode an unambiguous mechanical mode, temporal metric, and measurement family.","true","Codex","AI_AGENT","2026-07-14T01:00:01Z","Historical rows remain parseable and immutable; C3 candidates require explicit remapping."
"MIG_C3_IMPACT_IMPULSE","IMPACT_IMPULSE","","","","SPLIT_INTO_MULTIPLE_DIMENSIONS","","","Legacy value does not encode an unambiguous mechanical mode, temporal metric, and measurement family.","true","Codex","AI_AGENT","2026-07-14T01:00:01Z","Historical rows remain parseable and immutable; C3 candidates require explicit remapping."
"MIG_C3_STABILITY_DEMAND","STABILITY_DEMAND","","","","DEPRECATED_AMBIGUOUS","","","Legacy value does not encode an unambiguous mechanical mode, temporal metric, and measurement family.","true","Codex","AI_AGENT","2026-07-14T01:00:01Z","Historical rows remain parseable and immutable; C3 candidates require explicit remapping."
"MIG_C3_END_RANGE_STRESS","END_RANGE_STRESS","","","","DEPRECATED_AMBIGUOUS","","","Legacy value does not encode an unambiguous mechanical mode, temporal metric, and measurement family.","true","Codex","AI_AGENT","2026-07-14T01:00:01Z","Historical rows remain parseable and immutable; C3 candidates require explicit remapping."
"MIG_C3_CYCLIC_MECHANICAL_EXPOSURE","CYCLIC_MECHANICAL_EXPOSURE","","","","DEPRECATED_AMBIGUOUS","","","Legacy value does not encode an unambiguous mechanical mode, temporal metric, and measurement family.","true","Codex","AI_AGENT","2026-07-14T01:00:01Z","Historical rows remain parseable and immutable; C3 candidates require explicit remapping."
