"gapId","targetId","axis","status","reviewedSourceIds","resolvedRubricIds","remainingGap","nextAction","runtimeFallbackPreserved"
"C4B1_GAP_01","ACHILLES_TENDON","M","CALIBRATED_FULL_TEXT","SRC_PMID_28145739","C4B1_RUBRIC_ACHILLES_M_STRESS|C4B1_RUBRIC_ACHILLES_M_FORCE|C4B1_RUBRIC_ACHILLES_M_STRAIN","Cross-study corroboration and BW-normalized force calibration remain open.","Review PMID 32658037 and direct in-vivo sources without mixing methods.","true"
"C4B1_GAP_02","ACHILLES_TENDON","T","DEFERRED_PRIORITY_SOURCE","PREFLIGHT_32658037","","Impulse and loading-rate anchors were not fully re-extracted in this bounded batch.","Extract the full source table and calibrate temporal metrics separately.","true"
"C4B1_GAP_03","ACHILLES_TENDON","C","ORDERING_ONLY","SRC_PMID_28145739","","Typed laterality and phase context exists but no scalar context rubric is defensible.","Add an explicit context-component policy before scoring C.","true"
"C4B1_GAP_04","ANKLE_TALOCRURAL","M","DEFERRED_NO_COMPATIBLE_BATCH_SOURCE","SRC_PMID_38183761","","No healthy default talocrural contact-force rubric was completed.","Review full text and model validation for ankle contact-force sources.","true"
"C4B1_GAP_05","ANKLE_TALOCRURAL","T","DEFERRED_NO_COMPATIBLE_BATCH_SOURCE","","","No event impulse or rate rubric completed.","Prioritize contact-force time-series sources.","true"
"C4B1_GAP_06","ANKLE_TALOCRURAL","C","DEFERRED_NO_COMPATIBLE_BATCH_SOURCE","","","No target-specific direction or phase calibration completed.","Extract propulsion and landing context sources.","true"
"C4B1_GAP_07","KNEE_PATELLOFEMORAL","M","CALIBRATED_FULL_TEXT","SRC_PMID_37272685","C4B1_RUBRIC_PFJ_M_PEAK","Independent model corroboration remains open.","Keep exact protocol boundaries and review compatible PFJ studies.","true"
"C4B1_GAP_08","KNEE_PATELLOFEMORAL","T","CALIBRATED_FULL_TEXT","SRC_PMID_37272685","C4B1_RUBRIC_PFJ_T_IMPULSE|C4B1_RUBRIC_PFJ_T_RATE","Independent cohort corroboration remains open.","Add compatible full force-time sources without vector averaging.","true"
"C4B1_GAP_09","KNEE_PATELLOFEMORAL","C","ORDERING_ONLY","SRC_PMID_37272685","","Typed ROM, direction, and event context exists but no scalar C rubric is defensible.","Define context components before scalar scoring.","true"
"C4B1_GAP_10","KNEE_TIBIOFEMORAL","M","DEFERRED_NO_DIRECT_HEALTHY_RUBRIC","","","PFJ values cannot be copied to TFJ.","Review healthy TFJ contact-force studies separately.","true"
"C4B1_GAP_11","KNEE_TIBIOFEMORAL","T","DEFERRED_NO_DIRECT_HEALTHY_RUBRIC","","","No TFJ impulse or loading-rate rubric completed.","Extract target-specific TFJ force-time evidence.","true"
"C4B1_GAP_12","KNEE_TIBIOFEMORAL","C","DEFERRED_NO_DIRECT_HEALTHY_RUBRIC","","","No target-specific context calibration completed.","Preserve C4A fallback pending evidence.","true"
"C4B1_GAP_13","PATELLAR_TENDON","M","CALIBRATED_FULL_TEXT","SRC_PMID_37847102|SRC_PMID_31193251","C4B1_RUBRIC_PATELLAR_M_PEAK","Stress MPa lunge observations are not mixed with BW force.","Add independent compatible peak-force sources.","true"
"C4B1_GAP_14","PATELLAR_TENDON","T","CALIBRATED_FULL_TEXT","SRC_PMID_37847102|SRC_PMID_31193251","C4B1_RUBRIC_PATELLAR_T_IMPULSE|C4B1_RUBRIC_PATELLAR_T_RATE","Stress-based lunge metrics remain uncalibrated within their own scale.","Add enough compatible stress conditions for a separate rubric.","true"
"C4B1_GAP_15","PATELLAR_TENDON","C","ORDERING_ONLY","SRC_PMID_37847102|SRC_PMID_31193251","","Typed knee-travel, ROM, speed, and event context exists but no scalar C rubric is defensible.","Define context components before scalar scoring.","true"
"C4B1_GAP_16","QUADRICEPS_TENDON","M","DEFERRED_NO_DIRECT_EVIDENCE","","","Patellar tendon values cannot be copied to quadriceps tendon.","Prioritize direct quadriceps tendon evidence.","true"
"C4B1_GAP_17","QUADRICEPS_TENDON","T","DEFERRED_NO_DIRECT_EVIDENCE","","","No direct quadriceps tendon temporal evidence.","Keep C4A fallback.","true"
"C4B1_GAP_18","QUADRICEPS_TENDON","C","DEFERRED_NO_DIRECT_EVIDENCE","","","No direct quadriceps tendon context calibration.","Keep C4A fallback.","true"
