resourceKey,korean,english,provenance
planning_summary_title,기록 기반 계획,Record-based plan,CODEX_GENERATED_ENGLISH
planning_summary_details,자세히,Details,CODEX_GENERATED_ENGLISH
planning_summary_collapse,접기,Collapse,CODEX_GENERATED_ENGLISH
planning_summary_observed,최근 기록에서 본 상태,Observed in recent records,CODEX_GENERATED_ENGLISH
planning_summary_needs,보완이 필요하다고 본 부분,Needs identified,CODEX_GENERATED_ENGLISH
planning_summary_response,이번 계획에 반영한 내용,Plan response,CODEX_GENERATED_ENGLISH
planning_summary_allocation,최종 배정량,Final allocation,CODEX_GENERATED_ENGLISH
planning_summary_limitations,제한·주의 요인,Limitations and cautions,CODEX_GENERATED_ENGLISH
planning_summary_empty,추가로 표시할 항목 없음,No additional items to show,CODEX_GENERATED_ENGLISH
planning_summary_no_limits,추가로 확인된 제한 없음,No additional limitations identified,CODEX_GENERATED_ENGLISH
planning_summary_unknown,판단 보류,Undetermined,CODEX_GENERATED_ENGLISH
planning_summary_confidence,신뢰도 %1$s,Confidence: %1$s,CODEX_GENERATED_ENGLISH
planning_summary_response_preserve,기존 운동 구성 유지,Existing exercise structure retained,CODEX_GENERATED_ENGLISH
planning_summary_response_adjust,운동별 구성·용량 조정,Exercise-specific structure and volume adjustments,CODEX_GENERATED_ENGLISH
planning_summary_response_review,배정 결과를 확인해 주세요,Review the allocation,CODEX_GENERATED_ENGLISH
planning_summary_response_capacity,주간 배정 용량 조정,Weekly allocation capacity adjusted,CODEX_GENERATED_ENGLISH
planning_summary_capacity_note,우선순위 보완 운동을 위해 배정 용량을 제한적으로 확장했습니다.,Allocation capacity was expanded modestly for priority needs.,CODEX_GENERATED_ENGLISH
planning_summary_exercise,운동,Exercise,CODEX_GENERATED_ENGLISH
planning_summary_transition,%1$s — %2$s · %3$s,%1$s — %2$s · %3$s,CODEX_GENERATED_ENGLISH
planning_summary_need,%1$s — %2$s,%1$s — %2$s,CODEX_GENERATED_ENGLISH
planning_summary_duration,%1$d주 · 주 %2$d일,%1$d weeks · %2$d days per week,CODEX_GENERATED_ENGLISH
planning_summary_resistance,저항 세트: 기준 %1$s · 목표 %2$d · 배정 %3$d,Resistance sets: baseline %1$s · target %2$d · allocated %3$d,CODEX_GENERATED_ENGLISH
planning_summary_badminton,구조화 배드민턴: 목표 %1$d · 배정 %2$d회,Structured badminton bouts: target %1$d · allocated %2$d,CODEX_GENERATED_ENGLISH
planning_summary_athletic,운동 수행 드릴: 목표 %1$d · 배정 %2$d회,Athletic-performance bouts: target %1$d · allocated %2$d,CODEX_GENERATED_ENGLISH
planning_summary_expansion,사용자 빈도 확장분: %1$d 실행 단위,User-frequency expansion: %1$d execution units,CODEX_GENERATED_ENGLISH
