"stableKey","exerciseName","sourceField","sourceToken","normalizedRelations","existingOtherMovementRelations","multiLabel","badmintonAntiRotationImplied","reason","informationStatus"
"band_pallof_press","밴드 팔로프 프레스","movementPattern","TRUNK_BRACE","ANTI_ROTATION","","NO","NO","Explicit rotational-torque resistance","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"cable_pallof_press","케이블 팔로프 프레스","movementPattern","TRUNK_BRACE","ANTI_ROTATION","","NO","NO","Explicit rotational-torque resistance","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_28347c1f","버드독","movementPattern","TRUNK_BRACE","DYNAMIC_TRUNK_STABILIZATION|ANTI_ROTATION","","YES","NO","Bird-dog dynamic contralateral stabilization","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_2a826c82","할로우 바디 홀드","movementPattern","TRUNK_BRACE","ANTI_EXTENSION","","NO","NO","Hollow hold resists extension","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_a44ae2ca","플랭크","movementPattern","TRUNK_BRACE","ANTI_EXTENSION","","NO","NO","Plank resists extension","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_a8385c4a","코펜하겐 플랭크","movementPattern","TRUNK_BRACE","ANTI_LATERAL_FLEXION","","NO","NO","Copenhagen plank resists lateral flexion","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_a9b52886","마운틴 클라이머","movementPattern","TRUNK_BRACE","DYNAMIC_TRUNK_STABILIZATION|ANTI_EXTENSION","","YES","NO","Mountain climber stabilizes the trunk dynamically against extension","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_d5bdffe1","데드버그","movementPattern","TRUNK_BRACE","DYNAMIC_TRUNK_STABILIZATION|ANTI_EXTENSION","","YES","NO","Dead bug combines dynamic control and anti-extension","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_f6d43398","사이드 플랭크","movementPattern","TRUNK_BRACE","ANTI_LATERAL_FLEXION","","NO","NO","Side plank resists lateral flexion","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"landmine_anti_rotation","랜드마인 안티로테이션","movementPattern","TRUNK_BRACE","ANTI_ROTATION","","NO","NO","Explicit anti-rotation task","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"plate_rotational_press_out","플레이트 로테이셔널 프레스아웃","movementPattern","TRUNK_BRACE","ANTI_ROTATION","","NO","NO","Explicit anti-rotation press-out task","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"barbell_back_squat","스쿼트","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","AXIAL_BRACING","SQUAT","NO","NO","High-force trunk load transfer under axial load","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"barbell_deadlift","데드리프트","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","AXIAL_BRACING","HINGE","NO","NO","High-force trunk load transfer under external load","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"barbell_romanian_deadlift","루마니안 바벨 데드리프트","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","AXIAL_BRACING","HINGE","NO","NO","Loaded hinge requires axial bracing","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"dumbbell_romanian_deadlift","루마니안 덤벨 데드리프트","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","AXIAL_BRACING","HINGE","NO","NO","Loaded hinge requires axial bracing","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_32219f7a","오버헤드 프레스","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","AXIAL_BRACING","VERTICAL_PUSH","NO","NO","Standing strict overhead press transfers load through a braced trunk","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_8e4bf08e","Yates Row","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","AXIAL_BRACING","HORIZONTAL_PULL","NO","NO","Unsupported loaded row requires axial trunk bracing","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_c5043892","프론트 스쿼트","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","AXIAL_BRACING","SQUAT","NO","NO","Front squat requires high-force axial bracing","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"ex_de46b7f6","바벨 로우","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","AXIAL_BRACING","HORIZONTAL_PULL","NO","NO","Unsupported barbell row requires axial trunk bracing","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"dumbbell_farmer_carry","덤벨 파머스 캐리","reviewed intrinsic load and movement relations","LOADED_CARRY_BRACING","AXIAL_BRACING","CARRY|GAIT","NO","NO","Bilateral loaded carry requires axial trunk stiffness","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"kettlebell_farmer_carry","케틀벨 파머스 캐리","reviewed intrinsic load and movement relations","LOADED_CARRY_BRACING","AXIAL_BRACING","CARRY|GAIT","NO","NO","Bilateral loaded carry requires axial trunk stiffness","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
