exerciseStableKey,trainingRoleCode,provenance,reviewStatus,notes
barbell_romanian_deadlift,STRENGTH,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of MAIN_STRENGTH
dumbbell_romanian_deadlift,STRENGTH,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of MAIN_STRENGTH
ex_314df428,PLYOMETRIC,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of PLYOMETRIC
ex_34e7d21,PLYOMETRIC,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of PLYOMETRIC
ex_462c760e,STRENGTH,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of SECONDARY_STRENGTH
ex_85f12271,STABILITY,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of STABILITY
ex_8824026f,PLYOMETRIC,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of PLYOMETRIC
ex_e2efd0fe,STRENGTH,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of MAIN_STRENGTH
half_kneeling_single_arm_dumbbell_press,STABILITY,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of STABILITY
half_kneeling_single_arm_kettlebell_press,STABILITY,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of STABILITY
landmine_rotation,POWER,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
lateral_bound_continuous,PLYOMETRIC,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of PLYOMETRIC
med_ball_overhead_slam,POWER,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
med_ball_rotational_slam,POWER,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
medicine_ball_rotational_throw,POWER,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
single_leg_hip_bridge,STABILITY,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of STABILITY
single_leg_rdl,STRENGTH,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of MAIN_STRENGTH
vipr_chop,POWER,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
vipr_rotational_lift,POWER,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
