keyPattern,authority,purpose
*,LOCAL_INFRASTRUCTURE_STATE,Conservative default for unknown future keys
data_transfer_report_*,LOCAL_INFRASTRUCTURE_STATE,Local restore diagnostic retention
exercise_seed_version,LOCAL_INFRASTRUCTURE_STATE,Local exercise seed lifecycle marker
metadata_override_reconciliation_completed,LOCAL_INFRASTRUCTURE_STATE,Local semantic reconciliation completion marker
metadata_override_reconciliation_required,LOCAL_INFRASTRUCTURE_STATE,Local semantic reconciliation requirement marker
personalized_planning_decision_v1_*,PORTABLE_USER_STATE,Record based planner decision provenance
personalized_planning_preferences_v1,PORTABLE_USER_STATE,Record based planner explicit user intent
program_seed_version,LOCAL_INFRASTRUCTURE_STATE,Local program seed lifecycle marker
program_stable_key_repair_version,LOCAL_INFRASTRUCTURE_STATE,Local program identity repair marker
source_database_lineage_id,LOCAL_INFRASTRUCTURE_STATE,Local immutable workout source lineage
strength_derived_reset_rebuild_0_5_0_6_complete,LOCAL_INFRASTRUCTURE_STATE,Local current strength rebuild completion marker
strength_derived_reset_rebuild_required,LOCAL_INFRASTRUCTURE_STATE,Local strength rebuild requirement marker
strength_model_correction_rebuild_0_5_0_3,LOCAL_INFRASTRUCTURE_STATE,Obsolete local strength rebuild marker
strength_posterior_bootstrap_v2,LOCAL_INFRASTRUCTURE_STATE,Local strength bootstrap provenance
strength_posterior_restore_provenance_v1,LOCAL_INFRASTRUCTURE_STATE,Local strength restore provenance
