"exerciseName","stableKey","reviewDebtDecision","safeForSeedMutation","missingFields","placeholderFields","placeholderValues","reason","recommendedNextPass"
"B-스탠스 RDL","ex_201f6426","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"EZ바 컬","ex_8633d8db","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"V업","ex_644e0f9d","ACCEPTED_HEURISTIC","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"Yates Row","ex_8e4bf08e","ACCEPTED_HEURISTIC","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"글루트 브릿지","ex_389920ab","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"네거티브 풀업","ex_e4f911bb","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"다이아몬드 푸시업","ex_debf6a8b","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 래터럴 레이즈","ex_93538692","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 루마니안 데드리프트","ex_9523db82","ACCEPTED_HEURISTIC","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 리스트 익스텐션","ex_72f11dc5","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 리스트 컬","ex_95028bfe","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 벤치프레스","ex_3a7d3eda","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 숄더프레스","ex_79f3bdbe","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 스텝업","ex_704cbf1a","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 컬","ex_281347da","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 킥백","ex_da56a4fe","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 풀오버","ex_708e64ce","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"덤벨 프로네이션/수피네이션","ex_f6703b06","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"데드리프트","barbell_deadlift","ACCEPTED_HEURISTIC","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"등받이 없는 덤벨 시티드 숄더프레스","ex_bb4b4276","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"디클라인 푸시업","ex_fb67af37","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"딥스","ex_6463edad","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"라잉 트라이셉스 익스텐션","ex_d20b7487","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"래터럴 런지","ex_b4b198de","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"랫풀다운","ex_dc9e5953","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"런지","ex_64644b5e","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"레그 익스텐션","ex_b78a8f95","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
"레그 컬","ex_2822ec2e","ANATOMY_SUPPORTED_TEMPLATE","NO","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","","","One or more badminton-transfer fields are blank; no transfer claim was inferred in Pass 1.","BADMINTON_TRANSFER_COVERAGE_PASS"
