"directiveId","reviewBatchId","claimCandidateId","directiveActions","researchRequirements","prohibitedGeneralizations","directedBy","directedByType","directedAt","directiveNotes"
"DIRECTIVE_C2A_R1_01","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_58F3A7A0619274D3","PRESERVE_EXACT_CONDITION_MEASUREMENT|REMOVE_GENERIC_BAND_GENERALIZATION|RESEARCH_EXTERNAL_LOAD_RESPONSE","Verify the 15 kg thigh-load protocol and research external-load response for seated calf raise.","Do not treat bodyweight-normalized internal tendon force as external resistance or map the fixed condition to all seated calf raises.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","Generic seated-calf LOW must be removed or blocked."
"DIRECTIVE_C2A_R1_02","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_44B1199853E615F2","PRESERVE_SOURCE_CLAIM|RETAIN_FOR_REVISED_PACKAGE","Retain the tested standing single-leg heel-raise peak-force claim and disclosed limitations.","Do not widen the bodyweight protocol to weighted standing calf raises without a supported modifier.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","Source-specific peak-load claim only."
"DIRECTIVE_C2A_R1_03","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_F4E8375FB29EC165","PRESERVE_CLOSE_VARIANT_CLAIM|RETAIN_TRANSFER_LIMITATIONS|RESEARCH_HOP_PROTOCOL_DIFFERENCES","Research repeated, maximal, forward, lateral, and stick-landing hop protocols.","Do not generalize repeated unilateral hopping to all jumps and hops.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","App hop-and-stick remains a close variant."
"DIRECTIVE_C2A_R1_04","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_6319786B969495EC","PRESERVE_SOURCE_CLAIM|KEEP_AS_SEPARATE_LOAD_DIMENSION|NO_BAND_WITHOUT_RUBRIC","Preserve source condition, BW/s unit, and same-condition provenance with the peak-load claim.","Do not compare, combine, or substitute loading rate and peak tensile load.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","Future aggregation requires a separately approved model."
"DIRECTIVE_C2A_R1_05","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_ABC6C4B0ECA22AC2","PRESERVE_BODYWEIGHT_SOURCE_CLAIM|DO_NOT_GENERALIZE_TO_WEIGHTED_SQUAT|RESEARCH_WEIGHTED_SQUAT","Research back squat, front squat, load level, depth, velocity, tendon force, and tendon strain.","Do not assume linear scaling from bodyweight full-depth squat to loaded squat.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","Force and strain must remain separate dimensions."
"DIRECTIVE_C2A_R1_06","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_BD8915D6D39A0428","PRESERVE_SOURCE_PROTOCOL_CLAIM|CORRECT_CANONICAL_VARIANT_MAPPING|RESEARCH_EXTERNAL_LOAD","Audit split squat, Bulgarian split squat, and RFESS stable keys and protocol modifiers; research loaded conditions.","Do not transfer a bodyweight Bulgarian-squat value to weighted RFESS or every split-squat variant.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","Rear-foot height, step length, trunk, knee travel, load position, tested limb, and ROM remain material."
"DIRECTIVE_C2A_R1_07","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_8A2D37D94C1330F7","PRESERVE_AS_SOURCE_RESEARCH_RECORD|REMOVE_AS_GENERIC_APP_ANCHOR|REMOVE_FROM_LOW_RUBRIC","Retain the study-specific 60-degree squat record for source interpretation.","Do not map an ordinary app squat to this ROM or use it as a generic LOW anchor.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","The app does not encode the tested 60-degree ROM in this stable key."
"DIRECTIVE_C2A_R1_08","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_084C0B3DCC597268","PRESERVE_BODYWEIGHT_FULL_DEPTH_SOURCE_CLAIM|RESEARCH_WEIGHTED_SQUAT|RECLASSIFY_LOAD_DIMENSIONS","Research weighted squat PFJ peak compression, compression impulse, and compression loading rate.","Do not use the study-specific composite index as a generic COMPRESSION rubric or infer weighted conditions.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","Full-depth bodyweight source condition remains narrower than loaded squats."
"DIRECTIVE_C2A_R1_09","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_0777BA7A1FB88DF1","PRESERVE_SOURCE_PROTOCOL_CLAIM|CORRECT_VARIANT_MAPPING|RESEARCH_EXTERNAL_LOAD|RECLASSIFY_LOAD_DIMENSIONS","Audit canonical unilateral squat variants and research load placement and external-load response.","Do not copy the study Bulgarian-squat value to all split-squat or RFESS variants.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","PFJ metrics must be separated by dimension."
"DIRECTIVE_C2A_R1_10","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_E09E28E71A401E8D","PRESERVE_SOURCE_CLAIM|USE_AS_NON_JUMP_LUNGE_REFERENCE|RESEARCH_VARIANTS_AND_EXTERNAL_LOAD","Research forward, reverse, walking, static, lateral, diagonal, loaded, and unloaded lunge conditions and load placement.","Do not apply the non-jumping lunge value to jumping lunges, plyometric lunges, or RFESS automatically.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","Canonical lunge variants require independent audit decisions."
"DIRECTIVE_C2A_R1_11","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_E540DF218D72E603","PRESERVE_SOURCE_MEASUREMENTS|REJECT_CURRENT_MODERATE_COMPRESSION_BAND|SPLIT_PEAK_IMPULSE_AND_LOADING_RATE","Research drop height, rebound versus stick, bilateral versus unilateral landing, peak PFJ force, impulse, loading rate, and impact.","Do not rank drop-jump PFJ load through a generic composite COMPRESSION band or compare unlike metrics.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","Peak, duration-sensitive impulse, and loading rate remain separate."
"DIRECTIVE_C2A_R1_12","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","CLAIM_C_4D02CF35465C7511","PRESERVE_SOURCE_MEASUREMENTS|REJECT_CURRENT_MODERATE_COMPRESSION_BAND|SPLIT_PEAK_IMPULSE_AND_LOADING_RATE|RETAIN_CLOSE_VARIANT_LIMITATION","Research maximal forward hop versus repeated, lateral, and stick-landing protocols with metric separation.","Do not treat one maximal forward hop as equivalent to every hop-and-stick protocol or use the composite as generic COMPRESSION.","Repository human reviewer","HUMAN_USER","2026-07-14T00:00:01Z","Exact tested task remains a single-leg maximal forward hop."
