exerciseStableKey,trainingRoleCode,relationScope,provenance,reviewStatus,notes
barbell_romanian_deadlift,STRENGTH,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of MAIN_STRENGTH
dumbbell_romanian_deadlift,STRENGTH,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of MAIN_STRENGTH
ex_314df428,PLYOMETRIC,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of PLYOMETRIC
ex_34e7d21,PLYOMETRIC,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of PLYOMETRIC
ex_462c760e,STRENGTH,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of SECONDARY_STRENGTH
ex_85f12271,STABILITY,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of STABILITY
ex_8824026f,STRENGTH,PRODUCTION_ACTIVE,USER_APPROVED_RECLASSIFICATION_2026_08_05,APPROVED,"One-leg leg curl is intrinsic strength, not plyometric training."
ex_e2efd0fe,STRENGTH,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of MAIN_STRENGTH
half_kneeling_single_arm_dumbbell_press,STABILITY,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of STABILITY
half_kneeling_single_arm_kettlebell_press,STABILITY,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of STABILITY
landmine_rotation,POWER,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
lateral_bound_continuous,PLYOMETRIC,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of PLYOMETRIC
med_ball_overhead_slam,POWER,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
med_ball_rotational_slam,POWER,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
medicine_ball_rotational_throw,POWER,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
single_leg_hip_bridge,STABILITY,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of STABILITY
vipr_chop,POWER,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
vipr_rotational_lift,POWER,PRODUCTION_ACTIVE,LEGACY-TRAINING-ROLE-SEED-V1,APPROVED,Explicit decomposition of POWER
