"exerciseName","stableKey","reviewDebtDecision","safeForSeedMutation","missingFields","placeholderFields","placeholderValues","reason","recommendedNextPass"
"B-스탠스 RDL","ex_201f6426","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"EZ바 컬","ex_8633d8db","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"V업","ex_644e0f9d","ACCEPTED_HEURISTIC","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"다이아몬드 푸시업","ex_debf6a8b","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"덤벨 래터럴 레이즈","ex_93538692","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"덤벨 리스트 익스텐션","ex_72f11dc5","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"덤벨 리스트 컬","ex_95028bfe","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"덤벨 벤치프레스","ex_3a7d3eda","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"덤벨 숄더프레스","ex_79f3bdbe","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"덤벨 스텝업","ex_704cbf1a","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"덤벨 컬","ex_281347da","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"덤벨 킥백","ex_da56a4fe","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"덤벨 프로네이션/수피네이션","ex_f6703b06","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"등받이 없는 덤벨 시티드 숄더프레스","ex_bb4b4276","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"디클라인 푸시업","ex_fb67af37","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"딥스","ex_6463edad","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"라잉 트라이셉스 익스텐션","ex_d20b7487","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"레그 익스텐션","ex_b78a8f95","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"레그 컬","ex_2822ec2e","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"레그 프레스","ex_ab468462","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"로프 해머 컬","ex_c1a81cb2","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"리닝 래터럴 레이즈","ex_70f19bf","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"리버스 리스트 컬","ex_8e18b02a","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"리버스 컬","ex_dd2f732e","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"리어델트 케이블 플라이","ex_7deabeba","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"리어델트 플라이","ex_7176cbee","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"마운틴 클라이머","ex_a9b52886","ACCEPTED_HEURISTIC","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"맨몸 스쿼트","ex_cb3c4dc2","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"머신 숄더프레스","ex_4aa3725a","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"머신 체스트프레스","ex_1dbee10e","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"밴드 외회전","ex_e8ff8cfa","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"버드독","ex_28347c1f","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"벤치프레스","barbell_bench_press","READY_AFTER_HUMAN_APPROVAL","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"슈퍼맨","ex_284ecca6","ACCEPTED_HEURISTIC","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"스탠딩 레그 컬","ex_b59bed7d","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"스트레이트암 풀다운","ex_ca5cce66","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"스파이더 컬","ex_516f4456","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"싱글 레그 레그 익스텐션","ex_d60745b4","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"싱글 레그 레그 컬","ex_8824026f","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"아놀드 프레스","ex_767e188e","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"아처 푸시업","ex_73b0b63f","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"오버헤드 프레스","ex_32219f7a","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원레그 레그 프레스","ex_a091b9fe","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 덤벨 RDL","ex_e0b1e364","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 덤벨 벤치프레스","ex_389e0556","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 덤벨 숄더프레스","ex_7814843a","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 덤벨 컬","ex_85b2ac56","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 리어델트 케이블 플라이","ex_a60496be","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 스트레이트암 풀다운","ex_c365e5e2","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 인클라인 덤벨 프레스","ex_9f283612","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 케이블 래터럴 레이즈","ex_b076570e","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 케이블 숄더프레스","ex_c536edc2","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 케이블 컬","ex_3d5719de","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 케이블 트라이셉스 푸시다운","ex_5322f2d1","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 케이블 플라이","ex_442617f6","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"원암 해머 컬","ex_86323ed6","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"월싯","ex_64661229","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"인클라인 덤벨 컬","ex_d5048362","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"인클라인 덤벨 프레스","ex_a61f1e96","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"인클라인 덤벨 플라이","ex_a61f307a","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"캡틴체어 레그 레이즈","ex_a345e30b","ACCEPTED_HEURISTIC","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"컨센트레이션 컬","ex_c62c0716","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"케이블 래터럴 레이즈","ex_b76d3f92","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"케이블 원암 트라이셉스 익스텐션","ex_eb636bac","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"케이블 컬","ex_e709eeda","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"케이블 킥백","ex_fa34ddfe","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"케이블 풀스루","ex_4c76dbb2","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"케이블 플라이","ex_4c779df2","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"크로스바디 해머 컬","ex_b69ab702","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"클로즈그립 벤치프레스","ex_27b3deb5","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
"킥스탠스 RDL","ex_885b629","ANATOMY_SUPPORTED_TEMPLATE","NO","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","","One or more stress fields are blank; no stress value was inferred in Pass 1.","STRESS_COVERAGE_PASS"
