"revisedClaimCandidateId","priorClaimCandidateId","reviewBatchId","sourceId","stableKey","tissueId","loadDimension","metricRole","testedExercise","appExerciseCorrespondence","externalLoadCondition","relativeLoadCondition","romCondition","velocityCondition","bilateralOrUnilateral","surfaceCondition","landingCondition","measurementMethod","metric","value","lowerBound","upperBound","unit","normalizationBasis","claimDirection","claimLimitations","maximumDefensibleBand","evidenceLocator","sourceVerificationStatus","publicationIntegrityStatus","disposition","technicalStatus","productionEligibility","notes"
"R1C_01_ACH_SEATED_PEAK","CLAIM_C_58F3A7A0619274D3","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","PREFLIGHT_32658037","ex_5c8751d2","ACHILLES_TENDON","PEAK_TENSILE_LOAD","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Seated heel-raise rows","CONDITION_MISMATCH","15 kg placed on the thigh is explicitly confirmed for the unilateral seated heel raise; application to the bilateral seated row was not confirmed from the accessible protocol","FIXED_15_KG_NOT_A_DOSE_RESPONSE","Study seated protocol","Study-defined","Bilateral and unilateral rows","Laboratory force plate","Not applicable","3D motion analysis and ground reaction force; plantarflexion moment divided by fixed 5 cm moment arm","Modeled peak Achilles tendon force","","0.5","0.7","BW","BODY_WEIGHT_NORMALIZED_INTERNAL_TENDON_FORCE","CONDITION_SPECIFIC_MAGNITUDE","Range spans two group means; exact external-load application differs or is unresolved across rows; no arbitrary load scaling","","Baxter et al. 2021 Table 1 seated heel-raise rows and protocol","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","PRESERVED_NARROWED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","BW normalizes modeled internal force and is not the external exercise resistance."
"R1C_02_ACH_SINGLE_CALF_PEAK","CLAIM_C_44B1199853E615F2","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","PREFLIGHT_32658037","ex_5ca7133f","ACHILLES_TENDON","PEAK_TENSILE_LOAD","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Standing single-leg heel raise","EXACT_PROTOCOL_MATCH","Bodyweight protocol; no added resistance reported","BODYWEIGHT_TASK_CONDITION","Study full heel-raise ROM","Study cadence","Unilateral","Laboratory force plate","Not applicable","3D motion analysis and ground reaction force; plantarflexion moment divided by fixed 5 cm moment arm","Modeled peak Achilles tendon force","3.0","2.7","3.3","BW","BODY_WEIGHT_NORMALIZED_INTERNAL_TENDON_FORCE","CONDITION_SPECIFIC_MAGNITUDE","Healthy sample of eight; no weighted standing-calf modifier","MODERATE","Baxter et al. 2021 Table 1 standing heel raise 1-leg row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","PRESERVED_UNCHANGED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Band is limited to the same-study bodyweight task ordering."
"R1C_03_ACH_REPEATED_HOP_PEAK","CLAIM_C_F4E8375FB29EC165","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","PREFLIGHT_32658037","ex_314df428","ACHILLES_TENDON","PEAK_TENSILE_LOAD","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Repeated single-leg forward and lateral hopping","CLOSE_VARIANT","Bodyweight","BODYWEIGHT_TASK_CONDITION","Task-defined","Repeated hopping","Unilateral","Laboratory force plate","Repeated landing without app-specific stick protocol","3D motion analysis and ground reaction force; plantarflexion moment divided by fixed 5 cm moment arm","Modeled peak Achilles tendon force","7.3","","","BW","BODY_WEIGHT_NORMALIZED_INTERNAL_TENDON_FORCE","CONDITION_SPECIFIC_MAGNITUDE","Not an exact hop-and-stick, maximal hop, or bilateral jump protocol","VERY_HIGH","Baxter et al. 2021 Table 1 repeated unilateral forward and lateral hopping rows","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","PRESERVED_NARROWED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Close-variant band only; no all-hop generalization."
"R1C_04_ACH_SINGLE_CALF_RATE","CLAIM_C_6319786B969495EC","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","PREFLIGHT_32658037","ex_5ca7133f","ACHILLES_TENDON","LOADING_RATE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Standing single-leg heel raise","EXACT_PROTOCOL_MATCH","Bodyweight protocol; no added resistance reported","BODYWEIGHT_TASK_CONDITION","Study full heel-raise ROM","Study cadence","Unilateral","Laboratory force plate","Not applicable","Same modeled Achilles force-time curve as the linked peak-force row","Modeled Achilles tendon loading rate","13.1","9.7","16.5","BW/s","BODY_WEIGHT_NORMALIZED_LOADING_RATE","CONDITION_SPECIFIC_RATE","Rate and peak have different units and cannot replace or be aggregated with one another","","Baxter et al. 2021 Table 1 standing heel raise 1-leg row and loading-rate method","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","PRESERVED_UNCHANGED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Same-condition provenance is linked to R1C_02; no loading-rate rubric exists."
"R1C_05_PAT_BW_SQUAT_PEAK","CLAIM_C_ABC6C4B0ECA22AC2","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37847102","ex_cb3c4dc2","PATELLAR_TENDON","PEAK_TENSILE_LOAD","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Double-leg full-depth squat","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Full depth","Study-defined","Bilateral","Laboratory force plates","Not applicable","3D motion analysis, force plates, and musculoskeletal patellar tendon model","Modeled peak patellar tendon force","3.4","2.7","4.1","BW","BODY_WEIGHT_NORMALIZED_INTERNAL_TENDON_FORCE","CONDITION_SPECIFIC_MAGNITUDE","Bodyweight result cannot populate weighted back/front-squat profiles; force cannot substitute for strain","","Scattone Silva et al. 2024 Table 1 2-leg squat full row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","PRESERVED_NARROWED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","No generic patellar-tendon band is retained from two bodyweight anchors."
"R1C_06_PAT_BULGARIAN_PEAK","CLAIM_C_BD8915D6D39A0428","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37847102","ex_e2efd0fe","PATELLAR_TENDON","PEAK_TENSILE_LOAD","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Study-defined Bulgarian squat","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Study-defined","Study-defined","Unilateral lead limb task","Laboratory force plates","Not applicable","3D motion analysis, force plates, and musculoskeletal patellar tendon model","Modeled peak patellar tendon force","3.0","2.5","3.5","BW","BODY_WEIGHT_NORMALIZED_INTERNAL_TENDON_FORCE","CONDITION_SPECIFIC_MAGNITUDE","Canonical Bulgarian, RFESS, and split-squat identities are distinct; protocol modifiers and loaded response remain unresolved","","Scattone Silva et al. 2024 Table 1 Bulgarian squat row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","PRESERVED_NARROWED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Remapped from RFESS stable key to the canonical Bulgarian split-squat key."
"R1C_07A_PFJ_60_SQUAT_PEAK","CLAIM_C_8A2D37D94C1330F7","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","PEAK_COMPRESSION","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Double-leg squat to 60 degrees","CONDITION_MISMATCH","No external load","BODYWEIGHT_TASK_CONDITION","60 degrees knee flexion","Study-defined","Bilateral","Laboratory force plates","Not applicable","3D motion analysis, force plates, and PFJ model","PFJ loading peak","2.5","1.6","3.4","BW","BODY_WEIGHT_NORMALIZED_FORCE","CONDITION_SPECIFIC_MAGNITUDE","App stable key does not encode 60-degree ROM; research record only","","Song et al. 2023 Table 1 double-leg squat 60-degree row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","REMOVED_GENERIC_ANCHOR_RECLASSIFIED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Not a generic app squat anchor."
"R1C_07B_PFJ_60_SQUAT_IMPULSE","CLAIM_C_8A2D37D94C1330F7","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","COMPRESSION_IMPULSE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Double-leg squat to 60 degrees","CONDITION_MISMATCH","No external load","BODYWEIGHT_TASK_CONDITION","60 degrees knee flexion","Study-defined","Bilateral","Laboratory force plates","Not applicable","Same PFJ force-time model as linked peak row","PFJ loading impulse","1.9","1.2","2.6","BW*s","BODY_WEIGHT_NORMALIZED_IMPULSE","CONDITION_SPECIFIC_CUMULATIVE_EXPOSURE","Cannot substitute for peak or loading rate; app ROM mismatch","","Song et al. 2023 Table 1 double-leg squat 60-degree row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","REMOVED_GENERIC_ANCHOR_RECLASSIFIED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Source-specific duration-sensitive measure."
"R1C_07C_PFJ_60_SQUAT_RATE","CLAIM_C_8A2D37D94C1330F7","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","COMPRESSION_LOADING_RATE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Double-leg squat to 60 degrees","CONDITION_MISMATCH","No external load","BODYWEIGHT_TASK_CONDITION","60 degrees knee flexion","Study-defined","Bilateral","Laboratory force plates","Not applicable","Same PFJ force-time model as linked peak row","PFJ loading rate","6.3","3.4","9.2","BW/s","BODY_WEIGHT_NORMALIZED_LOADING_RATE","CONDITION_SPECIFIC_RATE","Cannot substitute for peak or impulse; app ROM mismatch","","Song et al. 2023 Table 1 double-leg squat 60-degree row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","REMOVED_GENERIC_ANCHOR_RECLASSIFIED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","No generic rate band."
"R1C_08A_PFJ_FULL_SQUAT_PEAK","CLAIM_C_084C0B3DCC597268","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","PEAK_COMPRESSION","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Double-leg full-depth squat","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Full depth","Study-defined","Bilateral","Laboratory force plates","Not applicable","3D motion analysis, force plates, and PFJ model","PFJ loading peak","4.5","3.7","5.3","BW","BODY_WEIGHT_NORMALIZED_FORCE","CONDITION_SPECIFIC_MAGNITUDE","Bodyweight full-depth result cannot populate weighted squat profiles","","Song et al. 2023 Table 1 double-leg squat full-depth row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Composite tier removed."
