manualRowNo,exerciseName,stableKey,estimatedMovementFamily,estimatedFamilyConfidence,manualReviewReasons,sourceIdIssue,highAxialPlyometricDecelerationConflict,automaticFixPossible,myRowReviewJudgement,myFamilyJudgement,mySuggestedFamilyOrActionFamily,mySourceIssueJudgement,myPriority,myRecommendedAction,myComment
1,EZ바 컬,ex_8633d8db,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
2,V업,ex_644e0f9d,ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE,NO,NO,PARTIAL,수동검토 적절,세부분리 필요,CORE_FLEXION_ANTERIOR_CORE_REVIEW,해당 없음,P1,자동 template 반영 금지. sidecar에서 별도 review family로 둬라.,복부 굴곡/고관절 굴곡 성격이 강하므로 anti-rotation/anti-extension 템플릿으로 자동 반영하지 말아야 한다.
3,Yates Row,ex_8e4bf08e,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
4,글루트 브릿지,ex_389920ab,HIP_THRUST_GLUTE_BRIDGE_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,HIP_THRUST_GLUTE_BRIDGE_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
5,네거티브 풀업,ex_e4f911bb,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
6,덤벨 래터럴 레이즈,ex_93538692,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
7,덤벨 리스트 익스텐션,ex_72f11dc5,FOREARM_GRIP_ACCESSORY_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,FOREARM_GRIP_ACCESSORY_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
8,덤벨 리스트 컬,ex_95028bfe,FOREARM_GRIP_ACCESSORY_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,FOREARM_GRIP_ACCESSORY_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
9,덤벨 숄더프레스,ex_79f3bdbe,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다.
10,덤벨 스텝업,ex_704cbf1a,STEP_UP_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_MED_MIN_META_PMC7727410|C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,STEP_UP_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
