"correctionId","seedId","reportedMetrics","exerciseConditions","evidenceRelation","evidenceRelationReviewStatus","publicationIdentityStatus","publicationIntegrityStatus","rationale","version"
"C4B1_SEM_001","TISSUE_MTC_SEED_001","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled Achilles tendon force, impulse, and loading rate; model validation must pass before research-score use.","1.0.0"
"C4B1_SEM_002","TISSUE_MTC_SEED_002","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled patellar tendon force metrics; model validation must pass before research-score use.","1.0.0"
"C4B1_SEM_003","TISSUE_MTC_SEED_003","","","VALIDATED_INTERNAL_MODEL","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports model-estimated PFJ contact force using a declared validated mathematical model and external loading comparisons.","1.0.0"
"C4B1_SEM_004","TISSUE_MTC_SEED_004","Achilles free-tendon strain","Walking|running 3 m/s|running 5 m/s|single-leg heel rise|loaded single-leg heel rise|maximum single-leg hop landing","DIRECT_INTERNAL_MEASUREMENT","CONFIRMED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Existing abstract-reported strain extractions are condition-specific; full-text method review remains a confidence limitation rather than an unextracted status.","1.0.0"
"C4B1_SEM_009","TISSUE_MTC_SEED_009","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled PFJ kinetics rather than context alone; validation details require review.","1.0.0"
"C4B1_SEM_011","TISSUE_MTC_SEED_011","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled PFJ and TFJ loading; postsurgical population remains excluded from healthy-default aggregation.","1.0.0"
"C4B1_SEM_012","TISSUE_MTC_SEED_012","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled PFJ force and stress; model validation requires full-text review.","1.0.0"
"C4B1_SEM_013","TISSUE_MTC_SEED_013","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled PFJ compressive force and stress; model validation requires full-text review.","1.0.0"
"C4B1_SEM_014","TISSUE_MTC_SEED_014","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled PFJ stress; model validation requires full-text review.","1.0.0"
"C4B1_SEM_017","TISSUE_MTC_SEED_017","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled patellar tendon stress from inverse dynamics and geometry; validation requires review.","1.0.0"
"C4B1_SEM_020","TISSUE_MTC_SEED_020","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled patellar tendon loading during landing rather than context alone.","1.0.0"
"C4B1_SEM_021","TISSUE_MTC_SEED_021","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled patellar tendon force; model validation requires review.","1.0.0"
"C4B1_SEM_026","TISSUE_MTC_SEED_026","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled TFJ and PFJ forces; validation details require full-text review.","1.0.0"
"C4B1_SEM_029","TISSUE_MTC_SEED_029","Intersegmental tibiofemoral joint-force resultant","Power squat|front squat|forward lunge","UNVALIDATED_PROXY","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Existing extraction is an intersegmental resultant, not direct joint contact force; it remains ineligible for a contact-force research score.","1.0.0"
"C4B1_SEM_041","TISSUE_MTC_SEED_041","","","DIRECT_INTERNAL_MEASUREMENT","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","In vivo ACL deformation was measured with MRI and biplanar radiography.","1.0.0"
"C4B1_SEM_042","TISSUE_MTC_SEED_042","","","DIRECT_INTERNAL_MEASUREMENT","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports in vivo ACL strain associated with measured knee geometry.","1.0.0"
"C4B1_SEM_043","TISSUE_MTC_SEED_043","","","DIRECT_INTERNAL_MEASUREMENT","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports in vivo ACL length and relative strain rather than context alone.","1.0.0"
"C4B1_SEM_044","TISSUE_MTC_SEED_044","","","DIRECT_INTERNAL_MEASUREMENT","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports ACL strain behavior during defined exercise conditions.","1.0.0"
"C4B1_SEM_046","TISSUE_MTC_SEED_046","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports modeled ACL load magnitude and timing; validation gate remains pending.","1.0.0"
"C4B1_SEM_047","TISSUE_MTC_SEED_047","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Computational ACL strain is internal-model evidence pending validation review.","1.0.0"
"C4B1_SEM_048","TISSUE_MTC_SEED_048","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Simulation-derived ACL strain is internal-model evidence pending validation review.","1.0.0"
"C4B1_SEM_049","TISSUE_MTC_SEED_049","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Modeled ACL loading is internal-model evidence pending validation review.","1.0.0"
"C4B1_SEM_050","TISSUE_MTC_SEED_050","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","In vitro simulated pivot landing is cadaveric mechanism evidence.","1.0.0"
"C4B1_SEM_052","TISSUE_MTC_SEED_052","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Modeled cruciate-ligament force requires validation review.","1.0.0"
"C4B1_SEM_053","TISSUE_MTC_SEED_053","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Modeled cruciate-ligament force requires validation review.","1.0.0"
"C4B1_SEM_054","TISSUE_MTC_SEED_054","Modeled PCL force","Squat and rehabilitation exercises","VALIDATED_INTERNAL_MODEL","CONFIRMED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Existing condition-bounded PCL force extraction is complete; model limitations remain provenance rather than unextracted status.","1.0.0"
"C4B1_SEM_060","TISSUE_MTC_SEED_060","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Simulated landing and cutting strain is cadaveric mechanism evidence.","1.0.0"
"C4B1_SEM_061","TISSUE_MTC_SEED_061","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Matched in vitro ACL and MCL strain is cadaveric mechanism evidence.","1.0.0"
"C4B1_SEM_063","TISSUE_MTC_SEED_063","","","DIRECT_INTERNAL_MEASUREMENT","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Reports measured human MCL strain under valgus loading.","1.0.0"
"C4B1_SEM_069","TISSUE_MTC_SEED_069","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Modeled hamstring muscle-tendon mechanics require validation review.","1.0.0"
"C4B1_SEM_070","TISSUE_MTC_SEED_070","","","VALIDATED_PROXY","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Hamstring kinematics support mechanical context but do not directly measure tendon force.","1.0.0"
"C4B1_SEM_072","TISSUE_MTC_SEED_072","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Modeled hamstring force and stretch require validation review.","1.0.0"
