stableKey,korean,english,provenance,source
band_lift,밴드 장력을 유지하며 대각선 위 방향으로 몸통 회전을 제어한다.,Maintain band tension and control torso rotation in a diagonal upward direction.,CODEX_GENERATED_ENGLISH,exercise_bootstrap.csv
band_pallof_press,몸 옆에서 당기는 밴드나 케이블을 가슴 앞에서 밀어낸다. 몸통이 돌아가지 않게 버티며 코어 안정성을 익힌다.,Push a band or cable pulled from the side of your body in front of your chest. Prevent your torso from rotating and learn core stability.,CODEX_GENERATED_ENGLISH,exercise_bootstrap.csv
band_woodchop,밴드 장력을 유지하며 대각선 아래 방향으로 몸통 회전을 제어한다.,Maintain band tension and control torso rotation in a diagonal downward direction.,CODEX_GENERATED_ENGLISH,exercise_bootstrap.csv
barbell_back_squat,"스쿼트: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 대퇴사두근/둔근이고, 햄스트링/코어이 흔들리지 않게 보조한다.","Squat: Repeat while maintaining posture and joint alignment. The main activating muscles are the quadriceps/gluteus, and the hamstrings/core assist to keep it steady.",CODEX_GENERATED_ENGLISH,exercise_bootstrap.csv
barbell_bench_press,"벤치프레스: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 대흉근이고, 삼두근/전면삼각근이 흔들리지 않게 보조한다.","Bench press: Repeat while maintaining posture and joint alignment. The prime mover is the pectoralis major, and the triceps/front deltoids assist to keep it steady.",CODEX_GENERATED_ENGLISH,exercise_bootstrap.csv
barbell_deadlift,"데드리프트: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 햄스트링/둔근/척추기립근이고, 광배근/코어이 흔들리지 않게 보조한다.","Deadlift: Repeat while maintaining posture and joint alignment. The main activating muscles are the hamstrings/gluteus/erector spine, and the lats/core assist to keep them steady.",CODEX_GENERATED_ENGLISH,exercise_bootstrap.csv
barbell_reverse_curl,손등이 위를 향하게 잡고 컬을 수행한다. 라켓 스포츠에 필요한 전완 버티는 힘을 보강한다.,Hold the back of your hand facing upward and perform the curl. Reinforces the forearm holding strength required for racket sports.,CODEX_GENERATED_ENGLISH,exercise_bootstrap.csv
barbell_reverse_wrist_curl,손등이 위를 향한 상태에서 손목을 들어 올린다. 손목 굴곡 운동과 균형을 맞춰 전완을 보강한다.,Raise your wrist with the back of your hand facing upward. Strengthens the forearm in balance with wrist flexion exercises.,CODEX_GENERATED_ENGLISH,exercise_bootstrap.csv
barbell_romanian_deadlift,바벨을 허벅지 가까이에 유지하고 엉덩이를 뒤로 보내며 내려간다. 햄스트링이 늘어나는 범위에서 척추 정렬과 바벨 경로를 유지한다.,Keep the barbell close to your thighs and lower your hips back. Maintain spinal alignment and barbell path throughout the hamstring stretch.,CODEX_GENERATED_ENGLISH,exercise_bootstrap.csv
cable_hip_adduction,다리를 안쪽으로 모아 내전근을 훈련한다. 사이드 런지와 코트 감속에서 필요한 안쪽 허벅지 힘을 보강한다.,Bring your legs inward and train your adductors. Reinforces inner thigh strength needed for side lunges and court deceleration.,CODEX_GENERATED_ENGLISH,exercise_bootstrap.csv
