"claimCandidateId","reviewBatchId","draftClaimId","reauditId","sourceId","stableKey","tissueId","loadDimension","candidateClaimType","candidateClaimParaphrase","candidateClaimDirection","candidateValue","candidateLowerBound","candidateUpperBound","candidateUnit","normalizationBasis","supportedCondition","measurementMethod","evidenceLocatorType","evidenceLocator","evidenceAccessLevel","exerciseCorrespondence","tissueCorrespondence","dimensionCorrespondence","crossStudyComparability","maximumDefensibleBand","bandBasis","claimSupportStatus","confidenceLevel","userAdjudicationIds","reviewMode","independenceStatus","technicalVerificationStatus","productionEligibility","preparedBy","preparedByType","preparedAt","reviewedBy","reviewedByType","reviewedAt","humanApprovedBy","humanApprovedAt","candidateNotes"
"CLAIM_C_58F3A7A0619274D3","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_ACH_PEAK_SEATED_CALF","REAUDIT_C_728FEEBDBAF1C8F2","PREFLIGHT_32658037","ex_5c8751d2","ACHILLES_TENDON","PEAK_TENSILE_LOAD","MODELED_ACHILLES_TENDON_PEAK_FORCE_RANGE","Across the tested bilateral and unilateral seated heel raises with 15 kg on the thigh, modeled peak Achilles tendon force group means ranged from 0.5 to 0.7 BW.","CONDITION_SPECIFIC_MAGNITUDE","","0.5","0.7","BW","Normalized to participant bodyweight","Tested bilateral and unilateral seated heel raises with 15 kg placed on the thigh; laboratory footwear and force plates; non-fatigued cohort.","3D motion capture and ground reaction force; plantarflexion moment divided by a fixed 5 cm moment arm; modeled Achilles tendon force normalized to participant bodyweight.","TABLE","Baxter et al. 2021, Table 1, seated heel raise (2-leg and 1-leg) rows","TABLE","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","NOT_CROSS_STUDY_COMPARABLE","LOW","WITHIN_STUDY_RELATIVE_ORDER","PARTIALLY_SUPPORTED","LOW","","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Codex","AI_AGENT","2026-07-14T00:00:00Z","Codex","AI_AGENT","2026-07-14T00:00:00Z","","","Technically re-audited claim candidate only; explicit human batch approval and formal final-claim promotion remain required. The 0.5 to 0.7 BW result is a range across two reported group means, not one 0.6 BW group mean; the source used 15 kg thigh loading and a modeled fixed moment arm."
"CLAIM_C_44B1199853E615F2","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_ACH_PEAK_SINGLE_CALF","REAUDIT_C_1968A74233DD9CBC","PREFLIGHT_32658037","ex_5ca7133f","ACHILLES_TENDON","PEAK_TENSILE_LOAD","MODELED_ACHILLES_TENDON_PEAK_FORCE","During the tested standing single-leg heel raise, modeled peak Achilles tendon force was 3.0 plus or minus 0.3 BW.","CONDITION_SPECIFIC_MAGNITUDE","3.0","2.7","3.3","BW","Normalized to participant bodyweight","Tested standing single-leg heel raise at study cadence; bodyweight; laboratory footwear and force plates; non-fatigued cohort.","3D motion capture and ground reaction force; plantarflexion moment divided by a fixed 5 cm moment arm; modeled Achilles tendon force normalized to participant bodyweight.","TABLE","Baxter et al. 2021, Table 1, standing heel raise (1-leg) row","TABLE","EXACT_PROTOCOL_MATCH","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","NOT_CROSS_STUDY_COMPARABLE","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_DIRECT","MODERATE","","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Codex","AI_AGENT","2026-07-14T00:00:00Z","Codex","AI_AGENT","2026-07-14T00:00:00Z","","","Technically re-audited claim candidate only; explicit human batch approval and formal final-claim promotion remain required. Healthy sample of eight; force was modeled with a fixed 5 cm moment arm and study cadence may differ from app prescriptions."
"CLAIM_C_F4E8375FB29EC165","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_ACH_PEAK_SINGLE_HOP","REAUDIT_C_1E9DCA6BA39B62C2","PREFLIGHT_32658037","ex_314df428","ACHILLES_TENDON","PEAK_TENSILE_LOAD","MODELED_ACHILLES_TENDON_PEAK_FORCE","Repeated single-leg forward and lateral hopping produced modeled peak Achilles tendon force group means of 7.3 BW; transfer to the app hop-and-stick exercise is a close variant.","CONDITION_SPECIFIC_MAGNITUDE","7.3","","","BW","Normalized to participant bodyweight","Tested repeated single-leg forward and lateral hopping; bodyweight; laboratory footwear and force plates; app target adds a stick landing.","3D motion capture and ground reaction force; plantarflexion moment divided by a fixed 5 cm moment arm; modeled Achilles tendon force normalized to participant bodyweight.","TABLE","Baxter et al. 2021, Table 1, lateral and forward hopping (1-leg) rows","TABLE","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","NOT_CROSS_STUDY_COMPARABLE","VERY_HIGH","CLOSE_VARIANT_TRANSFER","SUPPORTED_AS_CLOSE_VARIANT","LOW","USER_ADJUDICATION_ACHILLES_HOP_TRANSFER_V1","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Codex","AI_AGENT","2026-07-14T00:00:00Z","Codex","AI_AGENT","2026-07-14T00:00:00Z","","","Technically re-audited claim candidate only; explicit human batch approval and formal final-claim promotion remain required. The source tested repeated hopping rather than the exact hop-and-stick protocol; transfer is explicitly limited to a close variant."
"CLAIM_C_6319786B969495EC","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_ACH_RATE_SINGLE_CALF","REAUDIT_C_585ABB618BEB8271","PREFLIGHT_32658037","ex_5ca7133f","ACHILLES_TENDON","LOADING_RATE","MODELED_ACHILLES_TENDON_LOADING_RATE","During the tested standing single-leg heel raise, modeled Achilles tendon loading rate was 13.1 plus or minus 3.4 BW per second.","CONDITION_SPECIFIC_MAGNITUDE","13.1","9.7","16.5","BW/s","Normalized to participant bodyweight","Tested standing single-leg heel raise at study cadence; bodyweight; laboratory footwear and force plates; non-fatigued cohort.","3D motion capture and ground reaction force; plantarflexion moment divided by a fixed 5 cm moment arm; modeled Achilles tendon force normalized to participant bodyweight.","TABLE","Baxter et al. 2021, Table 1, standing heel raise (1-leg) row and loading-rate method","TABLE","EXACT_PROTOCOL_MATCH","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","NOT_CROSS_STUDY_COMPARABLE","","INSUFFICIENT_BASIS","SUPPORTED_AS_DIRECT","MODERATE","","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Codex","AI_AGENT","2026-07-14T00:00:00Z","Codex","AI_AGENT","2026-07-14T00:00:00Z","","","Technically re-audited claim candidate only; explicit human batch approval and formal final-claim promotion remain required. Loading rate is the peak change over a 5% moving window; no independent app-wide loading-rate band threshold is supported."
"CLAIM_C_ABC6C4B0ECA22AC2","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PAT_PEAK_FULL_SQUAT","REAUDIT_C_0D63311FA2BB289D","SRC_PMID_37847102","ex_cb3c4dc2","PATELLAR_TENDON","PEAK_TENSILE_LOAD","MODELED_PATELLAR_TENDON_PEAK_FORCE","During the tested double-leg full-depth squat, modeled peak patellar tendon force was 3.4 plus or minus 0.7 BW.","CONDITION_SPECIFIC_MAGNITUDE","3.4","2.7","4.1","BW","Normalized to participant bodyweight","Tested bodyweight double-leg full-depth squat at study-defined speed and range; laboratory force plates; non-fatigued cohort.","3D motion capture and force plates; knee extension moment divided by an angle-specific patellar tendon moment arm; modeled tendon force normalized to participant bodyweight.","TABLE","Scattone Silva et al. 2024, Table 1, 2-leg squat (full) row","TABLE","EXACT_PROTOCOL_MATCH","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","NOT_CROSS_STUDY_COMPARABLE","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_DIRECT","MODERATE","","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Codex","AI_AGENT","2026-07-14T00:00:00Z","Codex","AI_AGENT","2026-07-14T00:00:00Z","","","Technically re-audited claim candidate only; explicit human batch approval and formal final-claim promotion remain required. Healthy cohort; sagittal-plane constrained model omitted hamstring coactivation and the source tier is a within-study composite index."
"CLAIM_C_BD8915D6D39A0428","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PAT_PEAK_BULGARIAN","REAUDIT_C_84E95EB3E9FFEC7C","SRC_PMID_37847102","ex_bb728af2","PATELLAR_TENDON","PEAK_TENSILE_LOAD","MODELED_PATELLAR_TENDON_PEAK_FORCE","During the tested Bulgarian squat, modeled peak patellar tendon force was 3.0 plus or minus 0.5 BW.","CONDITION_SPECIFIC_MAGNITUDE","3.0","2.5","3.5","BW","Normalized to participant bodyweight","Tested bodyweight Bulgarian squat at study-defined speed and range; laboratory force plates; non-fatigued cohort.","3D motion capture and force plates; knee extension moment divided by an angle-specific patellar tendon moment arm; modeled tendon force normalized to participant bodyweight.","TABLE","Scattone Silva et al. 2024, Table 1, Bulgarian squat row","TABLE","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_VALIDATED_MODEL","NOT_CROSS_STUDY_COMPARABLE","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_CLOSE_VARIANT","LOW","","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Codex","AI_AGENT","2026-07-14T00:00:00Z","Codex","AI_AGENT","2026-07-14T00:00:00Z","","","Technically re-audited claim candidate only; explicit human batch approval and formal final-claim promotion remain required. The canonical rear-foot-elevated split squat lacks a fully specified protocol match; healthy-cohort force was model-estimated."
"CLAIM_C_8A2D37D94C1330F7","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PFJ_COMP_60_SQUAT","REAUDIT_C_70B64A446CEB76BF","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","COMPRESSION","MODELED_PFJ_FORCE_WITH_COMPOSITE_LOADING_INDEX_PROXY","For the tested Double-leg squat to 60 degrees, modeled peak patellofemoral joint force was 2.5 BW; the candidate band uses the source composite loading index of 50% normalized peak plus 50% normalized impulse, not a pure peak-force threshold.","CONDITION_SPECIFIC_MAGNITUDE","2.5","1.6","3.4","BW","Normalized to participant bodyweight","Tested Double-leg squat to 60 degrees; bodyweight; study-defined speed and range; laboratory force plates; non-fatigued healthy cohort.","3D motion capture and force plates; model-estimated quadriceps and patellofemoral joint force; loading index uses 50% normalized peak and 50% normalized impulse.","TABLE","Song et al. 2023, Table 1, double-leg squat (60 degrees) row","TABLE","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_EXPLICIT_PROXY","NOT_CROSS_STUDY_COMPARABLE","LOW","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_EXPLICIT_PROXY","LOW","USER_ADJUDICATION_PFJ_COMPOSITE_COMPRESSION_V1","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Codex","AI_AGENT","2026-07-14T00:00:00Z","Codex","AI_AGENT","2026-07-14T00:00:00Z","","","Technically re-audited claim candidate only; explicit human batch approval and formal final-claim promotion remain required. The compression rubric uses a source-defined composite loading index as an explicit proxy; peak force is model-estimated in healthy adults and is not itself the band threshold."
"CLAIM_C_084C0B3DCC597268","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PFJ_COMP_FULL_SQUAT","REAUDIT_C_510CBEF0C6626BC3","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","COMPRESSION","MODELED_PFJ_FORCE_WITH_COMPOSITE_LOADING_INDEX_PROXY","For the tested Double-leg full-depth squat, modeled peak patellofemoral joint force was 4.5 BW; the candidate band uses the source composite loading index of 50% normalized peak plus 50% normalized impulse, not a pure peak-force threshold.","CONDITION_SPECIFIC_MAGNITUDE","4.5","3.7","5.3","BW","Normalized to participant bodyweight","Tested Double-leg full-depth squat; bodyweight; study-defined speed and range; laboratory force plates; non-fatigued healthy cohort.","3D motion capture and force plates; model-estimated quadriceps and patellofemoral joint force; loading index uses 50% normalized peak and 50% normalized impulse.","TABLE","Song et al. 2023, Table 1, double-leg squat (full depth) row","TABLE","EXACT_PROTOCOL_MATCH","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_EXPLICIT_PROXY","NOT_CROSS_STUDY_COMPARABLE","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_EXPLICIT_PROXY","LOW","USER_ADJUDICATION_PFJ_COMPOSITE_COMPRESSION_V1","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Codex","AI_AGENT","2026-07-14T00:00:00Z","Codex","AI_AGENT","2026-07-14T00:00:00Z","","","Technically re-audited claim candidate only; explicit human batch approval and formal final-claim promotion remain required. The compression rubric uses a source-defined composite loading index as an explicit proxy; peak force is model-estimated in healthy adults and is not itself the band threshold."
"CLAIM_C_0777BA7A1FB88DF1","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PFJ_COMP_BULGARIAN","REAUDIT_C_E5B043920C36FBBB","SRC_PMID_37272685","ex_bb728af2","KNEE_PATELLOFEMORAL","COMPRESSION","MODELED_PFJ_FORCE_WITH_COMPOSITE_LOADING_INDEX_PROXY","For the tested Bulgarian squat, modeled peak patellofemoral joint force was 4.7 BW; the candidate band uses the source composite loading index of 50% normalized peak plus 50% normalized impulse, not a pure peak-force threshold.","CONDITION_SPECIFIC_MAGNITUDE","4.7","4.0","5.4","BW","Normalized to participant bodyweight","Tested Bulgarian squat; bodyweight; study-defined speed and range; laboratory force plates; non-fatigued healthy cohort.","3D motion capture and force plates; model-estimated quadriceps and patellofemoral joint force; loading index uses 50% normalized peak and 50% normalized impulse.","TABLE","Song et al. 2023, Table 1 and Results, Bulgarian squat row","TABLE","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_EXPLICIT_PROXY","NOT_CROSS_STUDY_COMPARABLE","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_EXPLICIT_PROXY","LOW","USER_ADJUDICATION_PFJ_COMPOSITE_COMPRESSION_V1","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Codex","AI_AGENT","2026-07-14T00:00:00Z","Codex","AI_AGENT","2026-07-14T00:00:00Z","","","Technically re-audited claim candidate only; explicit human batch approval and formal final-claim promotion remain required. The compression rubric uses a source-defined composite loading index as an explicit proxy; peak force is model-estimated in healthy adults and is not itself the band threshold."
"CLAIM_C_E09E28E71A401E8D","TISSUE_REAUDIT_C_LOWER_KNEE_ANKLE","DCLM_PFJ_COMP_LUNGE","REAUDIT_C_509E210BAB06EC51","SRC_PMID_37272685","ex_64644b5e","KNEE_PATELLOFEMORAL","COMPRESSION","MODELED_PFJ_FORCE_WITH_COMPOSITE_LOADING_INDEX_PROXY","For the tested Study-defined lunge, modeled peak patellofemoral joint force was 5.1 BW; the candidate band uses the source composite loading index of 50% normalized peak plus 50% normalized impulse, not a pure peak-force threshold.","CONDITION_SPECIFIC_MAGNITUDE","5.1","4.3","5.9","BW","Normalized to participant bodyweight","Tested Study-defined lunge; bodyweight; study-defined speed and range; laboratory force plates; non-fatigued healthy cohort.","3D motion capture and force plates; model-estimated quadriceps and patellofemoral joint force; loading index uses 50% normalized peak and 50% normalized impulse.","TABLE","Song et al. 2023, Table 1, lunge row","TABLE","CLOSE_VARIANT","TISSUE_SUPPORTED_BY_VALIDATED_MODEL","DIMENSION_SUPPORTED_BY_EXPLICIT_PROXY","NOT_CROSS_STUDY_COMPARABLE","MODERATE","WITHIN_STUDY_RELATIVE_ORDER","SUPPORTED_AS_EXPLICIT_PROXY","LOW","USER_ADJUDICATION_PFJ_COMPOSITE_COMPRESSION_V1","SAME_SESSION_EVIDENCE_REAUDIT","NOT_INDEPENDENT","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Codex","AI_AGENT","2026-07-14T00:00:00Z","Codex","AI_AGENT","2026-07-14T00:00:00Z","","","Technically re-audited claim candidate only; explicit human batch approval and formal final-claim promotion remain required. The compression rubric uses a source-defined composite loading index as an explicit proxy; peak force is model-estimated in healthy adults and is not itself the band threshold."
