"legacyField","legacyToken","candidateTissueIds","candidateDimensions","mappingSpecificity","reviewPriority","automaticBandAllowed","migrationStatus","migrationNotes"
"jointImpactStressTags","COURT_DECELERATION_IMPACT","HIP|KNEE_TIBIOFEMORAL|ANKLE_TALOCRURAL|KNEE_ACL|KNEE_PCL|KNEE_MCL|KNEE_LCL|ANKLE_LATERAL_LIGAMENT_COMPLEX","IMPACT_IMPULSE|DECELERATION_STABILIZATION|IMPACT_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Court deceleration candidate; no automatic allocation."
"jointImpactStressTags","DECELERATION_IMPACT","HIP|KNEE_TIBIOFEMORAL|ANKLE_TALOCRURAL|KNEE_ACL|KNEE_PCL|KNEE_MCL|KNEE_LCL","IMPACT_IMPULSE|DECELERATION_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Deceleration candidate; no automatic allocation."
"jointImpactStressTags","DIRECTION_CHANGE_IMPACT_STRESS","KNEE_TIBIOFEMORAL|ANKLE_SUBTALAR|ANKLE_TALOCRURAL|KNEE_ACL|KNEE_MCL|KNEE_LCL|ANKLE_DELTOID_LIGAMENT|ANKLE_LATERAL_LIGAMENT_COMPLEX","IMPACT_IMPULSE|DECELERATION_STABILIZATION|IMPACT_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Direction-change structures require evidence review."
"jointImpactStressTags","HIGH_AMPLITUDE_JUMP_LANDING_STRESS","HIP|KNEE_PATELLOFEMORAL|KNEE_TIBIOFEMORAL|ANKLE_TALOCRURAL|KNEE_ACL|KNEE_MCL|ANKLE_LATERAL_LIGAMENT_COMPLEX","IMPACT_IMPULSE|IMPACT_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Landing candidate; no automatic band."
"jointImpactStressTags","JUMP_LANDING_IMPACT_STRESS","HIP|KNEE_PATELLOFEMORAL|KNEE_TIBIOFEMORAL|ANKLE_TALOCRURAL|KNEE_ACL|KNEE_MCL|ANKLE_LATERAL_LIGAMENT_COMPLEX","IMPACT_IMPULSE|IMPACT_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Landing candidate; no automatic band."
"jointImpactStressTags","LOW_LEVEL_REACTIVE_IMPACT","KNEE_PATELLOFEMORAL|KNEE_TIBIOFEMORAL|ANKLE_TALOCRURAL|FIRST_MTP|MIDFOOT","IMPACT_IMPULSE|CYCLIC_MECHANICAL_EXPOSURE","BROAD_AMBIGUOUS","MEDIUM","false","LEGACY_SEEDED_NOT_EVALUATED","Low-level impact candidate remains unevaluated."
"jointImpactStressTags","REPEATED_LOW_AMPLITUDE_IMPACT_STRESS","KNEE_PATELLOFEMORAL|KNEE_TIBIOFEMORAL|ANKLE_TALOCRURAL|FIRST_MTP|MIDFOOT","IMPACT_IMPULSE|CYCLIC_MECHANICAL_EXPOSURE","BROAD_AMBIGUOUS","MEDIUM","false","LEGACY_SEEDED_NOT_EVALUATED","Repeated impact candidate remains unevaluated."
"jointImpactStressTags","REPETITIVE_LOCOMOTION_IMPACT","HIP|KNEE_PATELLOFEMORAL|KNEE_TIBIOFEMORAL|ANKLE_SUBTALAR|ANKLE_TALOCRURAL|FIRST_MTP|MIDFOOT","IMPACT_IMPULSE|CYCLIC_MECHANICAL_EXPOSURE","BROAD_AMBIGUOUS","MEDIUM","false","LEGACY_SEEDED_NOT_EVALUATED","Locomotion candidate remains unevaluated."
"ligamentJointStabilityStressTags","ANKLE_EVERSION_CONTROL_STRESS","ANKLE_SUBTALAR|ANKLE_DELTOID_LIGAMENT","STABILITY_DEMAND|EVERSION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Joint and ligament candidates remain separate."
"ligamentJointStabilityStressTags","ANKLE_INVERSION_LIGAMENT_STRESS","ANKLE_SUBTALAR|ANKLE_LATERAL_LIGAMENT_COMPLEX","STABILITY_DEMAND|INVERSION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Joint and ligament candidates remain separate."
