relationId,exerciseStableKey,qualityId,relationLevel,regionQualifier,modeQualifier,prescriptionDependent,provenance,evidenceRelationKeys,reviewStatus,notes
pq_002,barbell_back_squat,HYPERTROPHY,DIRECT_CAPABILITY,QUADS_GLUTE,BILATERAL,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:HYPERTROPHY_VOLUME,PASS,Direct hypertrophy capability under volume prescription.
pq_001,barbell_back_squat,STRENGTH,DIRECT_CAPABILITY,LOWER,BILATERAL,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:MAIN_LOWER_STRENGTH|runtime:STRENGTH_PROGRESS,PASS,Primary lower-body strength capability; load/reps/RPE determine realized stimulus.
pq_065,barbell_bench_press,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_003,barbell_bench_press,STRENGTH,DIRECT_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:UPPER_PUSH_STRENGTH|runtime:STRENGTH_PROGRESS,PASS,Primary upper-body pressing strength capability.
pq_066,barbell_deadlift,HYPERTROPHY,DIRECT_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:DEADLIFT_HINGE_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_004,barbell_deadlift,STRENGTH,DIRECT_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:MAIN_HINGE_STRENGTH|runtime:STRENGTH_PROGRESS,PASS,Primary hinge strength capability.
pq_067,barbell_reverse_curl,HYPERTROPHY,DIRECT_CAPABILITY,ARMS,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_025,barbell_reverse_wrist_curl,MUSCULAR_ENDURANCE,SUPPORTIVE_CAPABILITY,FOREARM_GRIP,WRIST_EXTENSION,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:GRIP_ENDURANCE|runtime:WRIST_CONTROL_LOAD,PASS,Supportive endurance capability only under high-repetition or time-based prescription.
pq_024,barbell_reverse_wrist_curl,STRENGTH,DIRECT_CAPABILITY,FOREARM_GRIP,WRIST_EXTENSION,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:FOREARM_GRIP_ACCESSORY|runtime:WRIST_CONTROL_LOAD,PASS,Local forearm/wrist strength capability; no GRIP_STRENGTH taxonomy token.
pq_068,barbell_romanian_deadlift,HYPERTROPHY,DIRECT_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:DEADLIFT_HINGE_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_005,barbell_romanian_deadlift,STRENGTH,DIRECT_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:STRENGTH_PROGRESS,PASS,Posterior-chain strength capability with hinge prescription.
