"tissueClass","tissueId","displayGroup","anatomicalRegion","anatomicalName","functionalDescription","isTrueJoint","supportsLaterality","supportedLoadDimensions","defaultScopePolicy","catalogVersion","catalogEvidenceType","catalogVerificationStatus","sourceRefs","catalogNotes"
"FASCIA","PLANTAR_FASCIA","AnkleFoot","ANKLE_FOOT","PLANTAR_FASCIA","","false","true","TENSILE_LOAD|CYCLIC_LOAD|ENERGY_STORAGE_RELEASE|COMPRESSIVE_LOAD|LOADING_RATE|STRETCH_UNDER_LOAD","REVIEW_REQUIRED","tissue_load_v1","STANDARD_TERMINOLOGY_SOURCE","UNVERIFIED","","Foundation anatomy identity only; no exercise-load claim."
"FASCIA","THORACOLUMBAR_FASCIA","Spine","TRUNK","THORACOLUMBAR_FASCIA","","false","false","TENSILE_LOAD|CYCLIC_LOAD|ENERGY_STORAGE_RELEASE|COMPRESSIVE_LOAD|LOADING_RATE|STRETCH_UNDER_LOAD","REVIEW_REQUIRED","tissue_load_v1","STANDARD_TERMINOLOGY_SOURCE","UNVERIFIED","","Foundation anatomy identity only; no exercise-load claim."
"JOINT","ACROMIOCLAVICULAR","Shoulder","SHOULDER","ACROMIOCLAVICULAR","","true","true","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|ROTATIONAL_SHEAR|IMPACT_IMPULSE|STABILITY_DEMAND|END_RANGE_STRESS|CYCLIC_MECHANICAL_EXPOSURE","REVIEW_REQUIRED","tissue_load_v1","STANDARD_TERMINOLOGY_SOURCE","UNVERIFIED","","Foundation anatomy identity only; no exercise-load claim."
"JOINT","ANKLE_SUBTALAR","AnkleFoot","ANKLE_FOOT","ANKLE_SUBTALAR","","true","true","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|ROTATIONAL_SHEAR|IMPACT_IMPULSE|STABILITY_DEMAND|END_RANGE_STRESS|CYCLIC_MECHANICAL_EXPOSURE","REVIEW_REQUIRED","tissue_load_v1","STANDARD_TERMINOLOGY_SOURCE","UNVERIFIED","","Foundation anatomy identity only; no exercise-load claim."
"JOINT","ANKLE_TALOCRURAL","AnkleFoot","ANKLE_FOOT","ANKLE_TALOCRURAL","","true","true","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|ROTATIONAL_SHEAR|IMPACT_IMPULSE|STABILITY_DEMAND|END_RANGE_STRESS|CYCLIC_MECHANICAL_EXPOSURE","REVIEW_REQUIRED","tissue_load_v1","STANDARD_TERMINOLOGY_SOURCE","UNVERIFIED","","Foundation anatomy identity only; no exercise-load claim."
"JOINT","CERVICAL_SPINE","Spine","SPINE","CERVICAL_SPINE","","false","false","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|ROTATIONAL_SHEAR|IMPACT_IMPULSE|STABILITY_DEMAND|END_RANGE_STRESS|CYCLIC_MECHANICAL_EXPOSURE","REVIEW_REQUIRED","tissue_load_v1","STANDARD_TERMINOLOGY_SOURCE","UNVERIFIED","","Foundation anatomy identity only; no exercise-load claim."
"JOINT","DISTAL_RADIOULNAR","ElbowWristHand","FOREARM_WRIST_HAND","DISTAL_RADIOULNAR","","true","true","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|ROTATIONAL_SHEAR|IMPACT_IMPULSE|STABILITY_DEMAND|END_RANGE_STRESS|CYCLIC_MECHANICAL_EXPOSURE","REVIEW_REQUIRED","tissue_load_v1","STANDARD_TERMINOLOGY_SOURCE","UNVERIFIED","","Foundation anatomy identity only; no exercise-load claim."
"JOINT","FIRST_MTP","AnkleFoot","ANKLE_FOOT","FIRST_MTP","","true","true","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|ROTATIONAL_SHEAR|IMPACT_IMPULSE|STABILITY_DEMAND|END_RANGE_STRESS|CYCLIC_MECHANICAL_EXPOSURE","REVIEW_REQUIRED","tissue_load_v1","STANDARD_TERMINOLOGY_SOURCE","UNVERIFIED","","Foundation anatomy identity only; no exercise-load claim."
"JOINT","GLENOHUMERAL","Shoulder","SHOULDER","GLENOHUMERAL","","true","true","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|ROTATIONAL_SHEAR|IMPACT_IMPULSE|STABILITY_DEMAND|END_RANGE_STRESS|CYCLIC_MECHANICAL_EXPOSURE","REVIEW_REQUIRED","tissue_load_v1","STANDARD_TERMINOLOGY_SOURCE","UNVERIFIED","","Foundation anatomy identity only; no exercise-load claim."
"JOINT","HAND_MCP_IP_COMPLEX","ElbowWristHand","HAND","HAND_MCP_IP_COMPLEX","","true","true","COMPRESSION|ANTERIOR_POSTERIOR_SHEAR|ROTATIONAL_SHEAR|IMPACT_IMPULSE|STABILITY_DEMAND|END_RANGE_STRESS|CYCLIC_MECHANICAL_EXPOSURE","REVIEW_REQUIRED","tissue_load_v1","STANDARD_TERMINOLOGY_SOURCE","UNVERIFIED","","Foundation anatomy identity only; no exercise-load claim."
