stableKey,name,category,detail1,detail2,mode,description,defaultRestSeconds,familyId,familyName,familyRole,familyE1rmMultiplier,movementPattern,movementCategory,primaryMuscles,secondaryMuscles,equipment,equipmentTags,compoundType,forceType,bodyRegion,plane,laterality,axialLoadLevel,stabilityRoles,sportTransferDirect,sportTransferSupportive,badmintonTransferRoles,fatigueCategories,adaptiveBaselineGroups,accessoryRoles,loadProfile,recoveryDecayProfile,systemicLoadWeight,neuralHeavyWeight,neuralSpeedWeight,localLoadWeight,decelerationWeight,elasticSscWeight,rotationPowerWeight,antiRotationWeight,overheadSwingWeight,gripLoadWeight,progressMetricType,strengthProgressionGroup,hypertrophyVolumeGroup,mainLiftGroup,accessoryContributionGroup,estimated1RmEligible,volumeLoadEligible,badmintonTransferStrength,courtMovementTypes,badmintonSkillTargets,jointStressTags,stabilityDemandLevel,mobilityDemandLevel,balanceContributionTags,analysisEligibility,activityKind,planningEligibility,metadataConfidence,imageAssetName,isActive,archivedAt,isCustom,needsReview
band_lift,밴드 리프트,기능성운동,복사근/코어,둔근/어깨/전완,"밴드, 횟수",밴드 장력을 유지하며 대각선 위 방향으로 몸통 회전을 제어한다.,60,밴드_리프트,밴드 리프트,PRIMARY,1,ROTATION,STABILITY,"SHOULDER,FOREARM,GLUTE,CORE,OBLIQUE",DEEP_CORE,BAND,BAND,HYBRID,ROTATE,WHOLE_BODY,TRANSVERSE,UNILATERAL,NONE,"CORE_STABILITY,ANTI_ROTATION,TRUNK_CONTROL,HIP_STABILITY",,"HIP_STABILITY_SUPPORT,TRUNK_CONTROL_SUPPORT,SHOULDER_STABILITY_SUPPORT,GRIP_FOREARM_SUPPORT","ROTATION_POWER,GRIP_FOREARM,SHOULDER_CARE","SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,ROTATION_POWER,OVERHEAD_REPETITION,GRIP_FOREARM","SHOULDER_OVERHEAD,GRIP_FOREARM,ROTATION_POWER","SHOULDER_ACCESSORY,ARM_ACCESSORY,POSTERIOR_CHAIN_ACCESSORY,HYPERTROPHY_ACCESSORY",SHOULDER_STRESS_LOW,SHORT,0.5,0.5,0,0.5,0,0,0.75,0,0.5,0.75,QUALITY_BASED,CORE,SHOULDERS,NONE,GRIP_FOREARM,NO,NO,SUPPORTIVE,NONE,"ROTATION_SEQUENCING,GRIP_ENDURANCE,SHOULDER_DURABILITY","SHOULDER,WRIST,HIP",HIGH,MODERATE,"ROTATION,UNILATERAL_LOWER,SHOULDER_CARE,GRIP_FOREARM,HIP_STABILITY","FATIGUE,BADMINTON_TRANSFER,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
band_pallof_press,밴드 팔로프 프레스,기능성운동,회전저항/코어안정성,케이블 또는 밴드,무게*횟수,몸 옆에서 당기는 밴드나 케이블을 가슴 앞에서 밀어낸다. 몸통이 돌아가지 않게 버티며 코어 안정성을 익힌다.,45,팔로프_프레스,팔로프 프레스,PRIMARY,1,TRUNK_BRACE,STABILITY,"CHEST,CORE,DEEP_CORE,OBLIQUE",DEEP_CORE,BAND,BAND,HYBRID,BRACE,UPPER,TRANSVERSE,BILATERAL,NONE,"CORE_STABILITY,ANTI_ROTATION,TRUNK_CONTROL",,TRUNK_CONTROL_SUPPORT,CORE_STABILITY_SUPPORTIVE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,ANTI_ROTATION",ANTI_ROTATION,"ARM_ACCESSORY,CHEST_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,SHORT,0.5,0.5,0,0.5,0,0,0,0.75,0,0,QUALITY_BASED,TRUNK_ANTI_MOVEMENT,CHEST,NONE,CORE_STABILITY,NO,NO,SUPPORTIVE,NONE,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE,,HIGH,LOW,ANTI_ROTATION,FATIGUE|BADMINTON_SUPPORTIVE|BALANCE,EXERCISE,PROGRAM_SELECTABLE,MEDIUM,,YES,,NO,NO
band_woodchop,밴드 우드찹,기능성운동,복사근/코어,둔근/어깨/전완,"밴드, 횟수",밴드 장력을 유지하며 대각선 아래 방향으로 몸통 회전을 제어한다.,60,밴드_우드찹,밴드 우드찹,PRIMARY,1,ROTATION,STABILITY,"SHOULDER,FOREARM,GLUTE,CORE,OBLIQUE",DEEP_CORE,BAND,BAND,HYBRID,ROTATE,WHOLE_BODY,TRANSVERSE,UNILATERAL,NONE,"CORE_STABILITY,ANTI_ROTATION,TRUNK_CONTROL,HIP_STABILITY",,"HIP_STABILITY_SUPPORT,TRUNK_CONTROL_SUPPORT,SHOULDER_STABILITY_SUPPORT,GRIP_FOREARM_SUPPORT","ROTATION_POWER,GRIP_FOREARM,SHOULDER_CARE","SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,ROTATION_POWER,OVERHEAD_REPETITION,GRIP_FOREARM","SHOULDER_OVERHEAD,GRIP_FOREARM,ROTATION_POWER","SHOULDER_ACCESSORY,ARM_ACCESSORY,POSTERIOR_CHAIN_ACCESSORY,HYPERTROPHY_ACCESSORY",SHOULDER_STRESS_LOW,SHORT,0.5,0.5,0,0.5,0,0,0.75,0,0.5,0.75,QUALITY_BASED,CORE,SHOULDERS,NONE,GRIP_FOREARM,NO,NO,SUPPORTIVE,NONE,"ROTATION_SEQUENCING,GRIP_ENDURANCE,SHOULDER_DURABILITY","SHOULDER,WRIST,HIP",HIGH,MODERATE,"ROTATION,UNILATERAL_LOWER,SHOULDER_CARE,GRIP_FOREARM,HIP_STABILITY","FATIGUE,BADMINTON_TRANSFER,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
barbell_back_squat,스쿼트,근력운동,대퇴사두근/둔근,햄스트링/코어,"바벨, 무게*횟수","스쿼트: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 대퇴사두근/둔근이고, 햄스트링/코어이 흔들리지 않게 보조한다.",120,squat,스쿼트,PRIMARY,1,SQUAT,STRENGTH,"QUADRICEPS,HAMSTRING,GLUTE,CORE",DEEP_CORE,"BARBELL,TRX_RING","BARBELL,TRX_RING",COMPOUND,SQUAT,LOWER,SAGITTAL,BILATERAL,HIGH,"CORE_STABILITY,ANTI_ROTATION,HIP_STABILITY",,"HIP_STABILITY_SUPPORT,TRUNK_CONTROL_SUPPORT",NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE","SYSTEMIC,HEAVY_LOWER,SQUAT_PATTERN","LEG_ACCESSORY,POSTERIOR_CHAIN_ACCESSORY,HYPERTROPHY_ACCESSORY",HIGH_AXIAL_LOAD,VERY_LONG,0.75,0.75,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,SQUAT,QUADS,SQUAT,LOWER_ACCESSORY,YES,YES,NONE,NONE,NONE,"HIP,KNEE",LOW,LOW,"LOWER_PUSH,SQUAT_PATTERN,ANTERIOR_CHAIN,HIP_STABILITY,KNEE_CONTROL","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,exercise_images/local_downloads/back_squat.png,YES,,NO,NO
barbell_bench_press,벤치프레스,근력운동,대흉근,삼두근/전면삼각근,"바벨, 무게*횟수","벤치프레스: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 대흉근이고, 삼두근/전면삼각근이 흔들리지 않게 보조한다.",120,bench_press,벤치프레스,PRIMARY,1,PUSH_HORIZONTAL,STRENGTH,"CHEST,ANTERIOR_DELTOID,TRICEPS",CORE,"BARBELL,BENCH","BARBELL,BENCH",COMPOUND,PUSH,UPPER,TRANSVERSE,BILATERAL,HIGH,,,,NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE","SYSTEMIC,UPPER_PUSH","ARM_ACCESSORY,TRICEPS_ACCESSORY,TRICEPS_ISOLATION,CHEST_ACCESSORY,HYPERTROPHY_ACCESSORY",HIGH_AXIAL_LOAD,SHORT,0.5,0.5,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,UPPER_PUSH_HORIZONTAL,CHEST,BENCH_PRESS,UPPER_PUSH_ACCESSORY,YES,YES,NONE,NONE,NONE,"SHOULDER,ELBOW",LOW,LOW,UPPER_PUSH,"FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,exercise_images/local_downloads/bench_press.png,YES,,NO,NO
barbell_deadlift,데드리프트,근력운동,햄스트링/둔근/척추기립근,광배근/코어,"바벨, 무게*횟수","데드리프트: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 햄스트링/둔근/척추기립근이고, 광배근/코어이 흔들리지 않게 보조한다.",150,deadlift,데드리프트,PRIMARY,1,HINGE,STRENGTH,"LAT,HAMSTRING,GLUTE,CORE,ERECTOR_SPINAE",DEEP_CORE,"BARBELL,TRX_RING","BARBELL,TRX_RING",COMPOUND,HINGE,WHOLE_BODY,SAGITTAL,BILATERAL,HIGH,"CORE_STABILITY,ANTI_ROTATION,HIP_STABILITY",,"HIP_STABILITY_SUPPORT,TRUNK_CONTROL_SUPPORT",NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE","SYSTEMIC,HEAVY_LOWER,HINGE","BACK_ACCESSORY,POSTERIOR_CHAIN_ACCESSORY,HYPERTROPHY_ACCESSORY",HIGH_AXIAL_LOAD,VERY_LONG,0.75,0.75,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,HINGE,BACK,DEADLIFT,POSTERIOR_CHAIN_ACCESSORY,YES,YES,NONE,NONE,NONE,"LOW_BACK,HIP",LOW,LOW,"LOWER_PULL,HINGE,POSTERIOR_CHAIN,HIP_STABILITY","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,exercise_images/local_downloads/deadlift.png,YES,,NO,NO
barbell_reverse_curl,바벨 리버스 컬,근력운동,상완요골근/전완근,이두근,"바벨 또는 EZ바, 무게*횟수",손등이 위를 향하게 잡고 컬을 수행한다. 라켓 스포츠에 필요한 전완 버티는 힘을 보강한다.,60,리버스_컬,리버스 컬,PRIMARY,1,ISOLATION,HYPERTROPHY,"BACK,BICEPS,FOREARM",CORE,BARBELL,BARBELL,ISOLATION,BRACE,UPPER,SAGITTAL,BILATERAL,HIGH,,,GRIP_FOREARM_SUPPORT,GENERAL_STRENGTH_SUPPORTIVE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,GRIP_FOREARM","SYSTEMIC,GRIP_FOREARM","ARM_ACCESSORY,BICEPS_ACCESSORY,BACK_ACCESSORY,HYPERTROPHY_ACCESSORY",HIGH_AXIAL_LOAD,SHORT,0.25,0.25,0,0.75,0,0,0,0,0,0.75,VOLUME_LOAD,ELBOW_FLEXION_NEUTRAL_PRONATED_CURL,BACK,NONE,GRIP_FOREARM,NO,YES,GENERAL,NONE,NONE,"ELBOW,WRIST",LOW,LOW,GRIP_FOREARM,FATIGUE|HYPERTROPHY_VOLUME|BALANCE,EXERCISE,PROGRAM_SELECTABLE,MEDIUM,,YES,,NO,NO
barbell_reverse_wrist_curl,바벨 리버스 리스트 컬,근력운동,손목신전근/전완근,그립,"덤벨 또는 바벨, 무게*횟수",손등이 위를 향한 상태에서 손목을 들어 올린다. 손목 굴곡 운동과 균형을 맞춰 전완을 보강한다.,45,리버스_리스트_컬,리버스 리스트 컬,PRIMARY,1,ISOLATION,HYPERTROPHY,"BACK,FOREARM,GRIP",CORE,BARBELL,BARBELL,ISOLATION,BRACE,UPPER,SAGITTAL,BILATERAL,HIGH,,,GRIP_FOREARM_SUPPORT,GRIP_WRIST_SUPPORTIVE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,GRIP_FOREARM","SYSTEMIC,GRIP_FOREARM","ARM_ACCESSORY,BICEPS_ACCESSORY,BACK_ACCESSORY,HYPERTROPHY_ACCESSORY",HIGH_AXIAL_LOAD,SHORT,0.25,0.25,0,0.75,0,0,0,0,0,0.75,LOAD_REPS_OR_TIME,FOREARM_WRIST_GRIP_ACCESSORY,BACK,NONE,GRIP_FOREARM,NO,YES,SUPPORTIVE,NONE,DRIVE|NET_PLAY,WRIST,LOW,LOW,GRIP_FOREARM,ACCESSORY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE,EXERCISE,PROGRAM_SELECTABLE,MEDIUM,,YES,,NO,NO
barbell_romanian_deadlift,루마니안 바벨 데드리프트,근력운동,햄스트링/둔근,척추기립근/코어,"바벨 또는 덤벨, 무게*횟수",바벨을 허벅지 가까이에 유지하고 엉덩이를 뒤로 보내며 내려간다. 햄스트링이 늘어나는 범위에서 척추 정렬과 바벨 경로를 유지한다.,120,deadlift,데드리프트,PRIMARY,1.18,HINGE,STRENGTH,"HAMSTRING,GLUTE","ERECTOR_SPINAE,CORE,LAT",BARBELL,BARBELL,COMPOUND,HINGE,WHOLE_BODY,SAGITTAL,BILATERAL,HIGH,"CORE_STABILITY,ANTI_ROTATION,HIP_STABILITY",,HIP_STABILITY_SUPPORT|TRUNK_CONTROL_SUPPORT,NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE","SYSTEMIC,HEAVY_LOWER,HINGE","POSTERIOR_CHAIN_ACCESSORY,HYPERTROPHY_ACCESSORY",HIGH_AXIAL_LOAD|LUMBAR_STRESS_HIGH,VERY_LONG,0.75,0.75,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,HINGE,POSTERIOR_CHAIN,DEADLIFT,POSTERIOR_CHAIN_ACCESSORY,YES,YES,NONE,NONE,NONE,"LOW_BACK,HIP",LOW,LOW,"LOWER_PULL,HINGE,POSTERIOR_CHAIN,HIP_STABILITY","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
cable_hip_adduction,케이블 힙 어덕션,근력운동,내전근,골반안정근/코어,"머신 또는 케이블, 무게*횟수",다리를 안쪽으로 모아 내전근을 훈련한다. 사이드 런지와 코트 감속에서 필요한 안쪽 허벅지 힘을 보강한다.,60,힙_어덕션,힙 어덕션,PRIMARY,1,BOUND,PLYOMETRIC,"GLUTE_MEDIUS,HIP_ADDUCTOR,CORE",DEEP_CORE,CABLE,CABLE,DRILL,DECELERATE,LOWER,FRONTAL,BILATERAL,NONE,"CORE_STABILITY,HIP_STABILITY,PELVIC_STABILITY",,"DECELERATION_SUPPORT,COD_SUPPORT,BADMINTON_SUPPORT_LIGHT,HIP_STABILITY_SUPPORT,TRUNK_CONTROL_SUPPORT",LOWER_BODY_SUPPORTIVE,"SYSTEMIC,NEURAL_HEAVY,NEURAL_SPEED,LOCAL_MUSCLE,DECELERATION,ELASTIC_SSC","BADMINTON_COURT,DECELERATION,ELASTIC_SSC","LEG_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,SHORT,0.5,0.5,0.5,0.5,0.75,0.75,0,0,0,0,LOAD_REPS,HIP_ADDUCTION_ACCESSORY,GLUTES,NONE,BADMINTON_SUPPORT,NO,YES,SUPPORTIVE,"JUMP_LANDING,RECOVERY_STEP",FIRST_STEP|CHANGE_OF_DIRECTION,"HIP,ANKLE_ACHILLES",LOW,MODERATE,"HIP_STABILITY,ANKLE_STIFFNESS",HYPERTROPHY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE,EXERCISE,PROGRAM_SELECTABLE,LOW,,YES,,NO,NO
