legacyField,legacyToken,currentRuntimeConsumer,currentBehavior,canonicalReplacementSource,replacementIsLossless,replacementGap,implementationRisk,recommendedFuturePhase,notes
movementPattern,FOOTWORK|LOCOMOTION,BadmintonTransferMetadataMapper.transferAxes,Adds LATERAL_MOVEMENT and may support AEROBIC_FOOTWORK.,MovementEvent + explicit court movement and transfer relations,NO,No single canonical leaf fully captures all legacy court semantics.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Keep legacy consumer until parity fixtures exist.
movementPattern,ROTATION|ANTI_ROTATION,BadmintonTransferMetadataMapper.transferAxes,Adds ROTATION_CONTROL.,MovementPattern.TRUNK_ROTATION/TRUNK_BRACE + JointAction + explicit transfer relations,NO,TRUNK_BRACE is broader than anti-rotation and needs relation-level disambiguation.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Do not substitute codes mechanically.
plane,FRONTAL,BadmintonTransferMetadataMapper.transferAxes,Adds LATERAL_MOVEMENT.,JointAction + MovementEvent + court movement relation,NO,Plane alone is not equivalent to lateral court transfer.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Preserve as compatibility signal.
forceType,LAND|DECELERATE,BadmintonTransferMetadataMapper.transferAxes,Adds DECELERATION_LANDING.,MovementEvent + explicit skill target,YES_WITH_RELATION,Lossless only when explicit DECELERATION/JUMP_LANDING relation is populated.,LOW,FUTURE_PARITY_CLEANUP,Use relation evidence before removing fallback.
forceType,ROTATE|BRACE,BadmintonTransferMetadataMapper.transferAxes,Adds ROTATION_CONTROL.,MovementPattern + JointAction + transfer relation,NO,BRACE does not uniquely imply rotation control.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Requires exercise-level parity review.
laterality,UNILATERAL|ALTERNATING|ASYMMETRIC,BadmintonTransferMetadataMapper.transferAxes,Adds UNILATERAL_STABILITY.,Laterality + StabilityDemandLevel,NO,Laterality does not always imply a material stability demand.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Retain both signals until reviewed.
balanceContributionTags,UNILATERAL_LOWER|UNILATERAL_UPPER|HIP_STABILITY|KNEE_CONTROL,BadmintonTransferMetadataMapper.transferAxes,Adds UNILATERAL_STABILITY.,Laterality + StabilityDemandLevel + explicit skill/quality relation,NO,Canonical demand level does not retain each legacy contribution reason.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Needs a reviewed relation crosswalk.
balanceContributionTags,ROTATION|ANTI_ROTATION,BadmintonTransferMetadataMapper.transferAxes,Adds ROTATION_CONTROL.,MovementPattern + JointAction,NO,Current canonical fields do not preserve every balance tag role.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Keep compatibility path.
trainingRole,CONDITIONING|SKILL,BadmintonTransferMetadataMapper.transferAxes,Adds AEROBIC_FOOTWORK.,ActivityKind + explicit transfer type/skill relation,NO,Training role is broader than badminton-specific aerobic footwork.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Prefer explicit badminton relation in a future phase.
trainingRole,PREHAB|STABILITY|MOBILITY|RECOVERY,BadmintonTransferMetadataMapper.transferAxes,Adds LOW_FATIGUE_CONTROL.,ActivityKind + load/stability/mobility levels,NO,Display axis combines intent and low-load behavior.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Requires parity against fatigue-cost output.
movementCategory,CONDITIONING|SKILL_DRILL,BadmintonTransferMetadataMapper.transferAxes,Adds AEROBIC_FOOTWORK.,ActivityKind + explicit transfer relation,NO,Category does not establish court-specific transfer by itself.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Do not infer a new relation from category alone.
movementCategory,STABILITY|MOBILITY|PREHAB|RECOVERY,BadmintonTransferMetadataMapper.transferAxes,Adds LOW_FATIGUE_CONTROL.,ActivityKind + canonical demand levels,NO,Low fatigue is also derived from runtime weights.,MEDIUM,FUTURE_RUNTIME_MIGRATION,Preserve current branch order.
badmintonTransferRoles,legacy role set,BadmintonTransferMetadataMapper.transferAxes,Supplies transferTokens alongside canonical source types and qualities.,Explicit transfer type/skill/quality relations,PARTIAL,Legacy roles include concepts not represented one-to-one in source transfer types.,HIGH,FUTURE_RUNTIME_MIGRATION,Migrate only with row-level parity evidence.
courtMovementTypes,all court codes,BadmintonTransferMetadataMapper.transferAxes,"Supplies lateral, reaction, lunge, recovery, and landing signals.",ExerciseCourtMovementTypeRelation,YES,Artifact relation is ready; production registry is not implemented.,LOW,FUTURE_NORMALIZED_RELATIONS,Current Room string field remains unchanged.
fatigueCategories,DECELERATION|ELASTIC_SSC|ROTATION_POWER|ANTI_ROTATION|OVERHEAD_REPETITION|GRIP_FOREARM|LOW_FATIGUE_REHAB,BadmintonTransferMetadataMapper.transferAxes,Backfills display axes from fatigue metadata.,Explicit badminton relations plus canonical OFI/fatigue metadata,NO,Fatigue stress and badminton transfer are separate semantics.,HIGH,FUTURE_RUNTIME_MIGRATION,Do not collapse fatigue and transfer taxonomies.
primaryMuscles|secondaryMuscles,SHOULDERS|ROTATOR_CUFF|FOREARM_GRIP|LATS_UPPER_BACK,BadmintonTransferMetadataMapper.transferAxes,Backfills RACKET_SUPPORT.,Muscle relations + explicit badminton relation,NO,Muscle participation does not necessarily establish racket transfer.,HIGH,FUTURE_RUNTIME_MIGRATION,Retain fallback until explicit relation coverage is complete.
load/recovery fields,recoveryDecayProfile|axialLoadLevel|runtime load weights,BadmintonTransferMetadataMapper.fatigueCost,Derives LOW through VERY_HIGH fatigue cost.,Existing OFI/fatigue metadata,YES,No replacement required; this is a separate runtime-derived layer.,LOW,NO_CHANGE,Do not copy fatigue cost into source transfer relations.
