"stableKey","scope","displayNameKo","anatomicalLocationKo","primaryFunctionsKo","commonLoadContextsKo","shortDescriptionKo","metadataVersion"
"jc_bb531a278d","JOINT_COMPLEX","경추 복합체","경추 추간판·후관절·후방 인대의 운동 및 안정화 부하를 묶는 상위 단위.","압박 부하를 전달|전단 부하에 대응|굽힘 부하에 대응|관절 접촉 압력을 분산","오버헤드 트라이셉스 익스텐션|원암 덤벨 오버헤드 트라이셉스 익스텐션|30초 반복 스매시 테스트|메디신볼 슬램","경추 추간판·후관절·후방 인대의 운동 및 안정화 부하를 묶는 상위 단위.","RCV-ALL-0.6-EDU-1"
"jc_5c5aab6f67","JOINT_COMPLEX","흉추·흉곽 복합체","흉추 굽힘·신전·회전과 흉곽을 통한 견갑·상지 힘 전달을 포함.","압박 부하를 전달|전단 부하에 대응|비틀림 부하를 제어|관절 접촉 압력을 분산","Yates Row|네거티브 풀업|덤벨 숄더프레스|등받이 없는 덤벨 시티드 숄더프레스","흉추 굽힘·신전·회전과 흉곽을 통한 견갑·상지 힘 전달을 포함.","RCV-ALL-0.6-EDU-1"
"jc_209871f411","JOINT_COMPLEX","요추 복합체","요추 추간판·종판, 후관절, 후방 인대의 압박·전단·굽힘 부하.","압박 부하를 전달|전단 부하에 대응|굽힘 부하에 대응|관절 접촉 압력을 분산","B-스탠스 RDL|V업|덤벨 루마니안 데드리프트|데드리프트","요추 추간판·종판, 후관절, 후방 인대의 압박·전단·굽힘 부하.","RCV-ALL-0.6-EDU-1"
"jc_864898a64c","JOINT_COMPLEX","골반환·천장 복합체","천장관절·치골결합 및 편측 운동의 골반 안정화와 힘 전달.","압박 부하를 전달|전단 부하에 대응|비틀림 부하를 제어|힘을 인접 부위로 전달","B-스탠스 RDL|덤벨 스텝업|래터럴 런지|런지","천장관절·치골결합 및 편측 운동의 골반 안정화와 힘 전달.","RCV-ALL-0.6-EDU-1"
"jc_ae763d5994","JOINT_COMPLEX","고관절 복합체","대퇴골두-비구 관절과 주위 건·관절낭의 굴곡·신전·외전·내전·회전 부하.","관절 접촉 압력을 분산|압박 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","B-스탠스 RDL|글루트 브릿지|덤벨 루마니안 데드리프트|덤벨 스텝업","대퇴골두-비구 관절과 주위 건·관절낭의 굴곡·신전·외전·내전·회전 부하.","RCV-ALL-0.6-EDU-1"
"jc_ad7382e4b2","JOINT_COMPLEX","경골대퇴 복합체","경골대퇴 접촉, 반월상연골, 십자인대·측부인대 및 원위 건 부하.","관절 접촉 압력을 분산|압박 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","덤벨 스텝업|래터럴 런지|런지|레그 익스텐션","경골대퇴 접촉, 반월상연골, 십자인대·측부인대 및 원위 건 부하.","RCV-ALL-0.6-EDU-1"
"jc_4201fb72f3","JOINT_COMPLEX","슬개대퇴 복합체","슬개대퇴 접촉과 대퇴사두근건-슬개건 신전기전 부하.","관절 접촉 압력을 분산|압박 부하를 전달|인장 부하를 전달|빠른 신장 부하에 대응","덤벨 스텝업|래터럴 런지|런지|레그 익스텐션","슬개대퇴 접촉과 대퇴사두근건-슬개건 신전기전 부하.","RCV-ALL-0.6-EDU-1"
"jc_6326ea19a8","JOINT_COMPLEX","발목·후족부 복합체","거퇴·거골하 관절과 발목 건·외측/내측 인대·원위 경비인대 부하.","관절 접촉 압력을 분산|압박 부하를 전달|전단 부하에 대응|발목 안팎번짐을 제어","스탠딩 카프 레이즈|시티드 카프 레이즈|싱글 레그 카프 레이즈|카프 레이즈","거퇴·거골하 관절과 발목 건·외측/내측 인대·원위 경비인대 부하.","RCV-ALL-0.6-EDU-1"
"jc_f6f64cf984","JOINT_COMPLEX","중족·전족부 복합체","중족부·전족부 관절, 족저근막, 중족지 안정구조의 추진·착지 부하.","관절 접촉 압력을 분산|굽힘 부하에 대응|비틀림 부하를 제어|인장 부하를 전달","스탠딩 카프 레이즈|시티드 카프 레이즈|싱글 레그 카프 레이즈|카프 레이즈","중족부·전족부 관절, 족저근막, 중족지 안정구조의 추진·착지 부하.","RCV-ALL-0.6-EDU-1"
"jc_9caf42a031","JOINT_COMPLEX","견관절와상완 복합체","상완골두-관절와 관절, 회전근개·상완이두근 장두·관절와순 및 관절낭 부하.","관절 접촉 압력을 분산|전단 부하에 대응|당겨지는 부하에 대응|비틀림 부하를 제어","Yates Row|네거티브 풀업|다이아몬드 푸시업|덤벨 래터럴 레이즈","상완골두-관절와 관절, 회전근개·상완이두근 장두·관절와순 및 관절낭 부하.","RCV-ALL-0.6-EDU-1"
"jc_ffd0b0e192","JOINT_COMPLEX","견갑·쇄골 복합체","견갑흉곽 기능관절, 견봉쇄골·흉쇄관절과 견갑 상방회전·전인·후인 힘 전달.","관절 접촉 압력을 분산|전단 부하에 대응|압박 부하를 전달|힘을 인접 부위로 전달","Yates Row|네거티브 풀업|다이아몬드 푸시업|덤벨 래터럴 레이즈","견갑흉곽 기능관절, 견봉쇄골·흉쇄관절과 견갑 상방회전·전인·후인 힘 전달.","RCV-ALL-0.6-EDU-1"
"jc_eadfb381fa","JOINT_COMPLEX","팔꿈치 굴신 복합체","상완척골·상완요골 관절과 원위 이두근·삼두근건 및 측부인대 부하.","관절 접촉 압력을 분산|압박 부하를 전달|전단 부하에 대응|인장 부하를 전달","EZ바 컬|Yates Row|네거티브 풀업|다이아몬드 푸시업","상완척골·상완요골 관절과 원위 이두근·삼두근건 및 측부인대 부하.","RCV-ALL-0.6-EDU-1"
"jc_7ac0533b9d","JOINT_COMPLEX","요척 회전 복합체","근위·원위 요척관절과 회내·회외, 환상인대 및 원위 척측 안정구조 부하.","관절 접촉 압력을 분산|비틀림 부하를 제어|회전 부하를 제어|인장 부하를 전달","EZ바 컬|Yates Row|덤벨 리스트 컬|덤벨 컬","근위·원위 요척관절과 회내·회외, 환상인대 및 원위 척측 안정구조 부하.","RCV-ALL-0.6-EDU-1"
"jc_6e7ae18e56","JOINT_COMPLEX","손목 복합체","요수근·중수근 관절, TFCC, 수근간 인대와 손목 굴곡·신전건 부하.","관절 접촉 압력을 분산|압박 부하를 전달|전단 부하에 대응|굽힘 부하에 대응","B-스탠스 RDL|EZ바 컬|Yates Row|네거티브 풀업","요수근·중수근 관절, TFCC, 수근간 인대와 손목 굴곡·신전건 부하.","RCV-ALL-0.6-EDU-1"
"jc_0876f954f2","JOINT_COMPLEX","손·그립 복합체","손가락·엄지 관절과 굴곡건·건초·활차를 통한 그립 및 라켓·중량 지지 부하.","인장 부하를 전달|그립 부하를 지지|반복 활주를 지지|집기 동작을 지지","B-스탠스 RDL|EZ바 컬|Yates Row|네거티브 풀업","손가락·엄지 관절과 굴곡건·건초·활차를 통한 그립 및 라켓·중량 지지 부하.","RCV-ALL-0.6-EDU-1"
"lu_547a239ed2","LOAD_UNIT","경추 추간판·종판 복합체","경추 복합체 안의 경추 추간판·종판 복합체","압박 부하를 전달|전단 부하에 대응|굽힘 부하에 대응","오버헤드 트라이셉스 익스텐션|원암 덤벨 오버헤드 트라이셉스 익스텐션|30초 반복 스매시 테스트|메디신볼 슬램","경추 추간판·종판 복합체: 압박 부하를 전달, 전단 부하에 대응, 굽힘 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_97bee42c4e","LOAD_UNIT","경추 후관절 복합체","경추 복합체 안의 경추 후관절 복합체","관절 접촉 압력을 분산|전단 부하에 대응|회전 부하를 제어","오버헤드 트라이셉스 익스텐션|원암 덤벨 오버헤드 트라이셉스 익스텐션|30초 반복 스매시 테스트|메디신볼 슬램","경추 후관절 복합체: 관절 접촉 압력을 분산, 전단 부하에 대응, 회전 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_c865eaa9a6","LOAD_UNIT","경추 후방 인대 복합체","경추 복합체 안의 경추 후방 인대 복합체","인장 부하를 전달|굽힘 부하에 대응","메디신볼 슬램|수영|메디신볼 오버헤드 슬램|케틀벨 헤일로","경추 후방 인대 복합체: 인장 부하를 전달, 굽힘 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_6e950505da","LOAD_UNIT","흉추 추간판·종판 복합체","흉추·흉곽 복합체 안의 흉추 추간판·종판 복합체","압박 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","Yates Row|네거티브 풀업|덤벨 숄더프레스|등받이 없는 덤벨 시티드 숄더프레스","흉추 추간판·종판 복합체: 압박 부하를 전달, 전단 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_3f748b96b1","LOAD_UNIT","흉추 후관절·늑골관절 복합체","흉추·흉곽 복합체 안의 흉추 후관절·늑골관절 복합체","관절 접촉 압력을 분산|비틀림 부하를 제어|굽힘 부하에 대응","Yates Row|네거티브 풀업|덤벨 숄더프레스|등받이 없는 덤벨 시티드 숄더프레스","흉추 후관절·늑골관절 복합체: 관절 접촉 압력을 분산, 비틀림 부하를 제어, 굽힘 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_f037b5f8ea","LOAD_UNIT","흉요근막 부하 단위","흉추·흉곽 복합체 안의 흉요근막 부하 단위","인장 부하를 전달|힘을 인접 부위로 전달|비틀림 부하를 제어","B-스탠스 RDL|Yates Row|덤벨 루마니안 데드리프트|덤벨 숄더프레스","흉요근막 부하 단위: 인장 부하를 전달, 힘을 인접 부위로 전달, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_d967354bce","LOAD_UNIT","요추 추간판·종판 복합체(L4–S1)","요추 복합체 안의 요추 추간판·종판 복합체(L4–S1)","압박 부하를 전달|전단 부하에 대응|굽힘 부하에 대응","B-스탠스 RDL|V업|덤벨 루마니안 데드리프트|데드리프트","요추 추간판·종판 복합체(L4–S1): 압박 부하를 전달, 전단 부하에 대응, 굽힘 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_ff559f42cd","LOAD_UNIT","요추 후관절","요추 복합체 안의 요추 후관절","관절 접촉 압력을 분산|전단 부하에 대응|신전 부하에 대응","B-스탠스 RDL|V업|덤벨 루마니안 데드리프트|데드리프트","요추 후관절: 관절 접촉 압력을 분산, 전단 부하에 대응, 신전 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_a18a644473","LOAD_UNIT","요추 후방 인대 복합체","요추 복합체 안의 요추 후방 인대 복합체","인장 부하를 전달|굽힘 부하에 대응|전단 부하에 대응","B-스탠스 RDL|V업|덤벨 루마니안 데드리프트|데드리프트","요추 후방 인대 복합체: 인장 부하를 전달, 굽힘 부하에 대응, 전단 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
