"MetadataField","CurrentAppUsage","IntendedUsage","Gap","RecommendedVersion"
"stableKey","Unique Exercise index; seed upsert; analysis feature; exercise backup row","Canonical resolver across seed, records, restore, analysis","WorkoutEntry and set backup rows do not carry stableKey","v0.3.5.0 metadata integration / recommendation mapping"
"movementFamily","No direct field; familyId/movementPattern approximate it","Primary taxonomy family for grouping and selection","Needs deterministic mapping or schema field","v0.3.5.0 metadata integration / recommendation mapping"
"movementSubtype","Not stored","Variant-specific progression and source caveats","Schema/model missing; 67 unresolved placeholder values","v0.3.5.0 metadata integration / recommendation mapping"
"programSlot","trainingRole is a coarser approximation","Program placement and selection","No direct slot model","v0.3.5.0 metadata integration / recommendation mapping"
"redundancyGroup","Generator penalizes same movementPattern","Fine-grained duplicate suppression","No field; current grouping is too coarse","v0.3.5.0 metadata integration / recommendation mapping"
"progressMetricType","Stored and used for e1RM/volume analysis decisions","Select valid progression metric","Five placeholder values need normalization","v0.3.5.0 seed patch candidate"
"strengthProgressionGroup","Stored and exposed to analysis features","Cross-variant progression grouping","Mostly blank in sidecar; generator similarity still uses movementPattern/muscles","v0.3.5.0 metadata integration / recommendation mapping"
"analysisEligibility","Stored and parsed into analysis features","Gate strength, fatigue, balance and transfer calculations","Review tokens need canonicalization; usage is not consistently enforced by every calculator","v0.3.5.0 metadata integration / recommendation mapping"
"primaryStressProfile","No direct field; fatigue categories and numeric weights exist","Single primary stress classification","Compression/mapping layer missing","v0.3.5.0 metadata integration / recommendation mapping"
"secondaryStressTags","Partially represented by fatigueCategories","Detailed secondary stress routing","Direct storage/mapping absent","v0.3.5.0 metadata integration / recommendation mapping"
"tendonStressTags","Only coarse jointStressTags","Tendon-specific load/recovery interpretation","Not separated in current model","v0.3.6.0 analysis graphs"
"ligamentJointStabilityStressTags","Only coarse jointStressTags/stabilityDemandLevel","Joint-stability analysis and caution","Not separated in current model","v0.3.6.0 analysis graphs"
"jointImpactStressTags","Indirect deceleration/elastic weights","Impact-specific fatigue aggregation","No direct tag set","v0.3.6.0 analysis graphs"
"recoveryDecayProfile","Stored and used by readiness load aggregation","Category-specific fatigue decay","146 sidecar blanks need deterministic fallback","v0.3.5.0 seed patch candidate"
"stressMagnitudeHint","Numeric load weights are used instead","Generate calibrated internal weights","Adapter from hint to weights missing","v0.3.5.0 metadata integration / recommendation mapping"
"badmintonTransferLevel","Equivalent badmintonTransferStrength is stored and used","DIRECT/SUPPORTIVE/GENERAL/NONE selection","Enum/blank mapping required","v0.3.5.0 seed patch candidate"
"badmintonTransferType","Partially represented by badmintonTransferRoles","Transfer-axis classification","Mapping between taxonomies required","v0.3.5.0 metadata integration / recommendation mapping"
"badmintonSkillTargets","Stored and exposed to analysis features","Skill-target analysis and recommendation","Most non-badminton rows need explicit NONE normalization","v0.3.5.0 seed patch candidate"
"badmintonPhysicalQualities","Partly represented by courtMovementTypes and balance tags","Physical-quality transfer scoring","No direct field or adapter","v0.3.5.0 metadata integration / recommendation mapping"
"sourceConfidenceLevel","metadataConfidence exists with a different enum","Runtime gating and audit confidence","56 blanks and enum translation required","v0.3.5.0 seed patch candidate"
"finalSourceStatus","Not stored","Candidate provenance and optional runtime gating","56 blanks; should not imply seed safety","v0.3.5.0 seed patch candidate"
