"jointComplexStableKey","canonicalCode","canonicalNameKo","canonicalNameEn","bodyRegion","complexType","description","status","metadataVersion"
"jc_bb531a278d","jc_cervical_spine","경추 복합체","Cervical spine complex","SPINE","ANATOMICAL_COMPLEX","경추 추간판·후관절·후방 인대의 운동 및 안정화 부하를 묶는 상위 단위.","ACTIVE","CTM-0.1"
"jc_5c5aab6f67","jc_thoracic_spine_ribcage","흉추·흉곽 복합체","Thoracic spine and ribcage complex","SPINE","ANATOMICAL_COMPLEX","흉추 굽힘·신전·회전과 흉곽을 통한 견갑·상지 힘 전달을 포함.","ACTIVE","CTM-0.1"
"jc_209871f411","jc_lumbar_spine","요추 복합체","Lumbar spine complex","SPINE","ANATOMICAL_COMPLEX","요추 추간판·종판, 후관절, 후방 인대의 압박·전단·굽힘 부하.","ACTIVE","CTM-0.1"
"jc_864898a64c","jc_pelvic_ring_sacroiliac","골반환·천장 복합체","Pelvic ring and sacroiliac complex","PELVIS","FUNCTIONAL_COMPLEX","천장관절·치골결합 및 편측 운동의 골반 안정화와 힘 전달.","ACTIVE","CTM-0.1"
"jc_ae763d5994","jc_hip","고관절 복합체","Hip complex","HIP","ANATOMICAL_COMPLEX","대퇴골두-비구 관절과 주위 건·관절낭의 굴곡·신전·외전·내전·회전 부하.","ACTIVE","CTM-0.1"
"jc_ad7382e4b2","jc_knee_tibiofemoral","경골대퇴 복합체","Tibiofemoral complex","KNEE","ANATOMICAL_COMPLEX","경골대퇴 접촉, 반월상연골, 십자인대·측부인대 및 원위 건 부하.","ACTIVE","CTM-0.1"
"jc_4201fb72f3","jc_knee_patellofemoral","슬개대퇴 복합체","Patellofemoral complex","KNEE","ANATOMICAL_COMPLEX","슬개대퇴 접촉과 대퇴사두근건-슬개건 신전기전 부하.","ACTIVE","CTM-0.1"
"jc_6326ea19a8","jc_ankle_hindfoot","발목·후족부 복합체","Ankle and hindfoot complex","ANKLE","ANATOMICAL_COMPLEX","거퇴·거골하 관절과 발목 건·외측/내측 인대·원위 경비인대 부하.","ACTIVE","CTM-0.1"
"jc_f6f64cf984","jc_foot_mid_forefoot","중족·전족부 복합체","Midfoot and forefoot complex","FOOT","ANATOMICAL_COMPLEX","중족부·전족부 관절, 족저근막, 중족지 안정구조의 추진·착지 부하.","ACTIVE","CTM-0.1"
"jc_9caf42a031","jc_shoulder_glenohumeral","견관절와상완 복합체","Glenohumeral complex","SHOULDER","ANATOMICAL_COMPLEX","상완골두-관절와 관절, 회전근개·상완이두근 장두·관절와순 및 관절낭 부하.","ACTIVE","CTM-0.1"
"jc_ffd0b0e192","jc_shoulder_scapuloclavicular","견갑·쇄골 복합체","Scapuloclavicular complex","SHOULDER_GIRDLE","FUNCTIONAL_COMPLEX","견갑흉곽 기능관절, 견봉쇄골·흉쇄관절과 견갑 상방회전·전인·후인 힘 전달.","ACTIVE","CTM-0.1"
"jc_eadfb381fa","jc_elbow_flexion_extension","팔꿈치 굴신 복합체","Elbow flexion-extension complex","ELBOW","ANATOMICAL_COMPLEX","상완척골·상완요골 관절과 원위 이두근·삼두근건 및 측부인대 부하.","ACTIVE","CTM-0.1"
"jc_7ac0533b9d","jc_forearm_radioulnar","요척 회전 복합체","Radioulnar rotation complex","FOREARM","ANATOMICAL_COMPLEX","근위·원위 요척관절과 회내·회외, 환상인대 및 원위 척측 안정구조 부하.","ACTIVE","CTM-0.1"
"jc_6e7ae18e56","jc_wrist_carpal","손목 복합체","Wrist and carpal complex","WRIST","ANATOMICAL_COMPLEX","요수근·중수근 관절, TFCC, 수근간 인대와 손목 굴곡·신전건 부하.","ACTIVE","CTM-0.1"
"jc_0876f954f2","jc_hand_grip","손·그립 복합체","Hand and grip complex","HAND","FUNCTIONAL_COMPLEX","손가락·엄지 관절과 굴곡건·건초·활차를 통한 그립 및 라켓·중량 지지 부하.","ACTIVE","CTM-0.1"
