"candidateId","oldDimension","newMechanicalLoadMode","newTemporalMetric","newMeasurementMetric","disposition","replacementCandidateIds","preservedScientificPayload","removedInterpretation","blockingReason","preparedBy","preparedByType","preparedAt"
"R1C_01_ACH_SEATED_PEAK","PEAK_TENSILE_LOAD","TENSION","PEAK","MODELED_TENDON_FORCE","RETAIN_WITH_NARROWER_CONDITION","C3_R1C_01_ACH_SEATED_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_02_ACH_SINGLE_CALF_PEAK","PEAK_TENSILE_LOAD","TENSION","PEAK","MODELED_TENDON_FORCE","RECLASSIFY_EXACTLY","C3_R1C_02_ACH_SINGLE_CALF_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","No interpretation beyond the retained condition-specific partial Achilles rubric.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_03_ACH_REPEATED_HOP_PEAK","PEAK_TENSILE_LOAD","TENSION","PEAK","MODELED_TENDON_FORCE","RETAIN_WITH_NARROWER_CONDITION","C3_R1C_03_ACH_REPEATED_HOP_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","No interpretation beyond the retained condition-specific partial Achilles rubric.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_04_ACH_SINGLE_CALF_RATE","LOADING_RATE","TENSION","LOADING_RATE","MODELED_TENDON_FORCE_LOADING_RATE","RECLASSIFY_EXACTLY","C3_R1C_04_ACH_SINGLE_CALF_RATE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_05_PAT_BW_SQUAT_PEAK","PEAK_TENSILE_LOAD","TENSION","PEAK","MODELED_TENDON_FORCE","RETAIN_WITH_NARROWER_CONDITION","C3_R1C_05_PAT_BW_SQUAT_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_06_PAT_BULGARIAN_PEAK","PEAK_TENSILE_LOAD","TENSION","PEAK","MODELED_TENDON_FORCE","RETAIN_WITH_NARROWER_CONDITION","C3_R1C_06_PAT_BULGARIAN_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_07A_PFJ_60_SQUAT_PEAK","PEAK_COMPRESSION","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","RETAIN_WITH_NARROWER_CONDITION","C3_R1C_07A_PFJ_60_SQUAT_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_07B_PFJ_60_SQUAT_IMPULSE","COMPRESSION_IMPULSE","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","RETAIN_WITH_NARROWER_CONDITION","C3_R1C_07B_PFJ_60_SQUAT_IMPULSE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_07C_PFJ_60_SQUAT_RATE","COMPRESSION_LOADING_RATE","COMPRESSION","LOADING_RATE","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","RETAIN_WITH_NARROWER_CONDITION","C3_R1C_07C_PFJ_60_SQUAT_RATE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_08A_PFJ_FULL_SQUAT_PEAK","PEAK_COMPRESSION","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","RECLASSIFY_EXACTLY","C3_R1C_08A_PFJ_FULL_SQUAT_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_08B_PFJ_FULL_SQUAT_IMPULSE","COMPRESSION_IMPULSE","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","RECLASSIFY_EXACTLY","C3_R1C_08B_PFJ_FULL_SQUAT_IMPULSE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_08C_PFJ_FULL_SQUAT_RATE","COMPRESSION_LOADING_RATE","COMPRESSION","LOADING_RATE","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","RECLASSIFY_EXACTLY","C3_R1C_08C_PFJ_FULL_SQUAT_RATE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_09A_PFJ_BULGARIAN_PEAK","PEAK_COMPRESSION","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","RECLASSIFY_EXACTLY","C3_R1C_09A_PFJ_BULGARIAN_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_09B_PFJ_BULGARIAN_IMPULSE","COMPRESSION_IMPULSE","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","RECLASSIFY_EXACTLY","C3_R1C_09B_PFJ_BULGARIAN_IMPULSE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_09C_PFJ_BULGARIAN_RATE","COMPRESSION_LOADING_RATE","COMPRESSION","LOADING_RATE","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","RECLASSIFY_EXACTLY","C3_R1C_09C_PFJ_BULGARIAN_RATE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_10A_PFJ_LUNGE_PEAK","PEAK_COMPRESSION","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","RECLASSIFY_EXACTLY","C3_R1C_10A_PFJ_LUNGE_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_10B_PFJ_LUNGE_IMPULSE","COMPRESSION_IMPULSE","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","RECLASSIFY_EXACTLY","C3_R1C_10B_PFJ_LUNGE_IMPULSE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_10C_PFJ_LUNGE_RATE","COMPRESSION_LOADING_RATE","COMPRESSION","LOADING_RATE","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","RECLASSIFY_EXACTLY","C3_R1C_10C_PFJ_LUNGE_RATE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_11A_PFJ_DROP_JUMP_PEAK","PEAK_COMPRESSION","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","RECLASSIFY_EXACTLY","C3_R1C_11A_PFJ_DROP_JUMP_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_11B_PFJ_DROP_JUMP_IMPULSE","COMPRESSION_IMPULSE","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","RECLASSIFY_EXACTLY","C3_R1C_11B_PFJ_DROP_JUMP_IMPULSE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_11C_PFJ_DROP_JUMP_RATE","COMPRESSION_LOADING_RATE","COMPRESSION","LOADING_RATE","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","RECLASSIFY_EXACTLY","C3_R1C_11C_PFJ_DROP_JUMP_RATE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_12A_PFJ_MAX_HOP_PEAK","PEAK_COMPRESSION","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","RECLASSIFY_EXACTLY","C3_R1C_12A_PFJ_MAX_HOP_PEAK","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_12B_PFJ_MAX_HOP_IMPULSE","COMPRESSION_IMPULSE","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","RECLASSIFY_EXACTLY","C3_R1C_12B_PFJ_MAX_HOP_IMPULSE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
"R1C_12C_PFJ_MAX_HOP_RATE","COMPRESSION_LOADING_RATE","COMPRESSION","LOADING_RATE","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","RECLASSIFY_EXACTLY","C3_R1C_12C_PFJ_MAX_HOP_RATE","Source value, unit, tested exercise, method, and exact source conditions are preserved.","Generic band and cross-condition interpretation remain absent.","","Codex","AI_AGENT","2026-07-14T01:00:03Z"
