"sourceFile","line","function","analysisModule","inputField","inferredOutput","replacementRelationRequired","riskLevel"
"app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferColorPalette.kt","26","colorForKey","badminton analysis","context-dependent string/token collection","return colorsByKey[canonical] ?: fallbackColor(canonical)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferColorPalette.kt","29","fallbackColor","badminton analysis","context-dependent string/token collection","private fun fallbackColor(key: String): Long {","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferColorPalette.kt","30","fallbackColor","badminton analysis","context-dependent string/token collection","val fallback = listOf(","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferColorPalette.kt","37","fallbackColor","badminton analysis","context-dependent string/token collection","return fallback[(key.hashCode() and Int.MAX_VALUE) % fallback.size]","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/coach/CourtDurationRecoveryAnalyzer.kt","113","RuntimeExerciseMetadata","shared metadata/data","context-dependent string/token collection","(transfer == ""DIRECT"" || context.contains(""BADMINTON"") || context.contains(""COURT""))","ExerciseBadmintonTransferPoint / ExercisePhysicalQualityPoint","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/coach/JointTendonWarningAnalyzer.kt","90","RuntimeExerciseMetadata","shared metadata/data","jointTendonImpactStressLevel",".ifEmpty { listOf(jointTendonImpactStressLevel) }","ExerciseOfiAxisContribution / ExerciseOfiDoseProfile","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/coach/SleepRecoverySignalAnalyzer.kt","65","canonicalSleepByDate","shared metadata/data","context-dependent string/token collection","val checkInFallback = checkIns.mapNotNull { checkIn ->","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/coach/SleepRecoverySignalAnalyzer.kt","75","canonicalSleepByDate","shared metadata/data","context-dependent string/token collection","return checkInFallback + metricSleep","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/core/AnalysisInputCollector.kt","189","DailyMetric","shared metadata/data","context-dependent string/token collection","val parsedDate = date.toLocalDateOrNull() ?: return null","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/core/CoreMetadataAuthority.kt","34","resolve","shared metadata/data","context-dependent string/token collection","?: historySourceByStableKey[normalized]?.let(profiles::get)","movement/anatomy typed relation or explicit compatibility mapping","HIGH"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","166","RecordContext","OFI/readiness","recoveryDurationClass","val baseDuration = metadata.recoveryDurationClass.ifBlank { ""MEDIUM"" }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","437","from","OFI/readiness","recoveryDecayProfile",".ifBlank { runtime.recoveryDecayProfile }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt","438","from","OFI/readiness","context-dependent string/token collection",".ifBlank { ""NOT_APPLICABLE"" }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueAnalysisMapper.kt","22","map","OFI/readiness","context-dependent string/token collection","val effectiveContributionTarget = contributionTarget.takeIf { it in FatigueTarget.displayed } ?: FatigueTarget.OVERALL","ExerciseOfiAxisContribution / ExerciseOfiDoseProfile","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueAnalysisMapper.kt","43","map","OFI/readiness","context-dependent string/token collection","?: return emptyState(period, selectedTargets, contributionTarget, grouping)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueAnalysisMapper.kt","166","emptyState","OFI/readiness","context-dependent string/token collection","selectedFatigueTargets = selectedTargets.ifEmpty { setOf(FatigueTarget.OVERALL) },","ExerciseOfiAxisContribution / ExerciseOfiDoseProfile","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueAnalysisMapper.kt","224","sanitizeTargets","OFI/readiness","context-dependent string/token collection",".ifEmpty { setOf(FatigueTarget.OVERALL) }","ExerciseOfiAxisContribution / ExerciseOfiDoseProfile","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueAnalysisMapper.kt","254","String","OFI/readiness","context-dependent string/token collection","lowercase().split('_').joinToString("" "") { token -> token.replaceFirstChar(Char::uppercase) }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueMath.kt","175","workloadBaseline","OFI/readiness","context-dependent string/token collection","fun workloadBaseline(values: List<Double>, fallback: Double): Pair<Double, FatigueConfidence> =","ExerciseOfiAxisContribution / ExerciseOfiDoseProfile","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/FatigueMath.kt","177","workloadBaseline","OFI/readiness","context-dependent string/token collection","fallback.coerceAtLeast(1.0) to FatigueConfidence.LOW","ExerciseOfiAxisContribution / ExerciseOfiDoseProfile","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/ui/FatigueSourceMultiSelect.kt","45","FatigueSourceMultiSelect","OFI/readiness","context-dependent string/token collection","source.sourceLabel.contains(normalizedQuery, ignoreCase = true) ||","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/fatigue/ui/FatigueSourceMultiSelect.kt","46","FatigueSourceMultiSelect","OFI/readiness","context-dependent string/token collection","source.sourceKey.contains(normalizedQuery, ignoreCase = true)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/features/AnalysisExerciseDisplayNameResolver.kt","18","resolve","shared metadata/data","stableKey",") ?: ""운동 ${exercise.stableKey}""","movement/anatomy typed relation or explicit compatibility mapping","HIGH"
"app/src/main/java/com/training/trackplanner/analysis/features/AnalysisExerciseDisplayNameResolver.kt","21","firstUsable","shared metadata/data","context-dependent string/token collection","candidates.firstOrNull { candidate -> candidate != null && !candidate.isFallbackName() }?.trim()","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/features/AnalysisExerciseDisplayNameResolver.kt","23","String","shared metadata/data","context-dependent string/token collection","private fun String.isFallbackName(): Boolean {","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
