"exerciseName","stableKey","movementFamily","decision","decisionBasis","decisionReason","changedFields","badmintonTransferLevel","badmintonTransferType","badmintonSkillTargets","badmintonPhysicalQualities","transferConfidence","previousPlaceholder","safeForSeedMutation"
"B-스탠스 RDL","ex_201f6426","DEADLIFT_HINGE_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","NONE","NO"
"EZ바 컬","ex_8633d8db","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"V업","ex_644e0f9d","CORE_FLEXION_ANTERIOR_CORE","DERIVED_GENERAL_STRENGTH","movementFamily","Broad capacity only; no direct or specific supportive claim is made.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","CORE_BRACING","LOW","NONE","NO"
"Yates Row","ex_8e4bf08e","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"글루트 브릿지","ex_389920ab","HIP_THRUST_GLUTE_BRIDGE_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"네거티브 풀업","ex_e4f911bb","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"다이아몬드 푸시업","ex_debf6a8b","PUSH_UP_VARIANTS","DERIVED_GENERAL_STRENGTH","movementFamily","General upper-body strength without a specific badminton transfer pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","NONE","LOW","NONE","NO"
"덤벨 래터럴 레이즈","ex_93538692","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"덤벨 루마니안 데드리프트","ex_9523db82","DEADLIFT_HINGE_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"덤벨 리스트 익스텐션","ex_72f11dc5","FOREARM_GRIP_ACCESSORY","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"덤벨 리스트 컬","ex_95028bfe","FOREARM_GRIP_ACCESSORY","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"덤벨 벤치프레스","ex_3a7d3eda","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","DERIVED_GENERAL_STRENGTH","movementFamily","General upper-body strength without a specific badminton transfer pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","NONE","LOW","NONE","NO"
"덤벨 숄더프레스","ex_79f3bdbe","OVERHEAD_PRESS_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"덤벨 스텝업","ex_704cbf1a","STEP_UP_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","NONE","NO"
"덤벨 컬","ex_281347da","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"덤벨 킥백","ex_da56a4fe","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"덤벨 풀오버","ex_708e64ce","PULLOVER_LAT_CHEST_ACCESSORY_REVIEW","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"덤벨 프로네이션/수피네이션","ex_f6703b06","FOREARM_GRIP_ACCESSORY","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"데드리프트","barbell_deadlift","DEADLIFT_HINGE_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"등받이 없는 덤벨 시티드 숄더프레스","ex_bb4b4276","OVERHEAD_PRESS_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"디클라인 푸시업","ex_fb67af37","PUSH_UP_VARIANTS","DERIVED_GENERAL_STRENGTH","movementFamily","General upper-body strength without a specific badminton transfer pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","NONE","LOW","NONE","NO"
"딥스","ex_6463edad","DIP_COMPOUND_PUSH_VARIANTS","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"라잉 트라이셉스 익스텐션","ex_d20b7487","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"래터럴 런지","ex_b4b198de","LUNGE_SPLIT_SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","NONE","NO"
"랫풀다운","ex_dc9e5953","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
