file,symbol,legacyUse,semanticClassification,replacementSource,implementationStatus,parityRisk,notes
app/src/main/java/com/training/trackplanner/data/ProgramBuilder.kt,ProgramBuilder.build,candidate role lookup,PROGRAM_PLACEMENT,ExerciseRoleRelationCatalog.programSlotCapabilities,IMPLEMENTED,LOW,Exact stableKey relation; selection policy unchanged.
app/src/main/java/com/training/trackplanner/data/ProgramCandidateInventory.kt,ProgramCandidateInventory.collect,candidate metadata assembly,PROGRAM_PLACEMENT,ProgramSlotCapability,IMPLEMENTED,LOW,TrainingRole is carried separately and does not grant placement.
app/src/main/java/com/training/trackplanner/data/ProgramCandidate.kt,ProgramCandidate.allowedForRole,main/secondary/accessory eligibility,PROGRAM_PLACEMENT,ProgramSlotCapability,IMPLEMENTED,MEDIUM,Legacy compatibility tokens preserve the approved 26-row behavior.
app/src/main/java/com/training/trackplanner/data/ProgramCandidateClassificationPolicy.kt,ProgramCandidateClassificationPolicy.classify,candidate tier classification,PROGRAM_PLACEMENT,ProgramSlotCapability,IMPLEMENTED,LOW,No capability expansion.
app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt,SlotCapabilityResolver.resolve,legacy slot hint,PROGRAM_PLACEMENT,ProgramSlotCapability,IMPLEMENTED,MEDIUM,Only typed capability is translated to the existing compatibility token.
app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt,ExerciseMetadataMapper,derived fatigue/progress/accessory semantics,LEGACY_DERIVATION,movementCategory/movementPattern/compoundType,IMPLEMENTED,MEDIUM,Explicit owners replace the ambiguous field.
app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt,DailyFatigueCalculator,high-force and low-fatigue fallback,LEGACY_DERIVATION,movementCategory/movementPattern,IMPLEMENTED,MEDIUM,OFI coefficients unchanged.
app/src/main/java/com/training/trackplanner/analysis/trends/PerformanceTrendConstants.kt,PerformanceTrendConstants,progress contribution weight,LEGACY_DERIVATION,movementCategory/movementPattern/compoundType,IMPLEMENTED,MEDIUM,Existing weighting branches preserved explicitly.
app/src/main/java/com/training/trackplanner/analysis/trends/StrengthPerformanceIndexCalculator.kt,StrengthPerformanceIndexCalculator,performance index contribution,LEGACY_DERIVATION,movementCategory/movementPattern/compoundType,IMPLEMENTED,MEDIUM,No ProgramSlotCapability dependency.
app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferMetadataMapper.kt,BadmintonTransferMetadataMapper,low-fatigue support classification,LEGACY_DERIVATION,movementCategory/movementPattern,IMPLEMENTED,LOW,Badminton transfer relations unchanged.
app/src/main/java/com/training/trackplanner/data/MetadataSanityChecker.kt,MetadataSanityChecker,role consistency warning,LEGACY_DERIVATION,movementCategory/movementPattern,IMPLEMENTED,LOW,Canonical relation validation is handled by the relation loader.
app/src/main/java/com/training/trackplanner/data/SeedData.kt,SeedData.exerciseFromCsv,seed analysis-purpose hint and legacy CSV field,LEGACY_DERIVATION,typed MovementCategory hint and canonical relation assets,IMPLEMENTED,LOW,Existing seed analysis classification is preserved without creating TrainingRole relations; training_role column removed.
app/src/main/java/com/training/trackplanner/CommonUi.kt,ExerciseMetadataEditor,editor display/edit field,INVALID_MIXED_USE,none,REMOVED,LOW,Canonical relations are not free-form editor text.
app/src/main/java/com/training/trackplanner/data/BackupExportService.kt,BackupExportService.export,mixed backup column,LEGACY_DERIVATION,normalized relation columns,IMPLEMENTED,MEDIUM,New backups export no training_role field.
app/src/main/java/com/training/trackplanner/data/BackupRestoreImportService.kt,BackupRestoreImportService.import,old backup compatibility,LEGACY_DERIVATION,LegacyTrainingRoleImportMapper,IMPLEMENTED,MEDIUM,Compatibility mapping is import-only.
app/src/main/java/com/training/trackplanner/data/ExerciseMetadataTaxonomy.kt,FatigueTrainingRole,mixed taxonomy enum,INVALID_MIXED_USE,TrainingRole and ProgramSlotCapability,REMOVED,LOW,Mixed enum removed.
