"exerciseName","stableKey","proposedMovementFamily","proposedMovementSubtype","proposalStatus","reviewDebtDecision","humanReviewQuestion","reviewDebtReason","sourceReviewKind","recommendedResolution","seedPatchReadiness","safeForSeedMutation"
"V업","ex_644e0f9d","CORE_FLEXION_ANTERIOR_CORE_REVIEW","V_UP","NEEDS_ROW_REVIEW","TEMPLATE_DEFINITION_REQUIRED","NONE","Family 또는 slot에 review template가 남아 있어 근육 기여와 중복 그룹을 확정할 템플릿 정의가 필요합니다.","SOURCE_PLUS_TEMPLATE_DEFINITION","DEFINE_TEMPLATE_BEFORE_SEED_PATCH","READY_AFTER_TEMPLATE_DEFINITION","NO"
"덤벨 리스트 익스텐션","ex_72f11dc5","FOREARM_GRIP_ACCESSORY_REVIEW","WRIST_EXTENSION","NEEDS_TEMPLATE_DEFINITION","TEMPLATE_DEFINITION_REQUIRED","NONE","Family 또는 slot에 review template가 남아 있어 근육 기여와 중복 그룹을 확정할 템플릿 정의가 필요합니다.","SOURCE_PLUS_TEMPLATE_DEFINITION","DEFINE_TEMPLATE_BEFORE_SEED_PATCH","READY_AFTER_TEMPLATE_DEFINITION","NO"
"덤벨 리스트 컬","ex_95028bfe","FOREARM_GRIP_ACCESSORY_REVIEW","WRIST_CURL","NEEDS_TEMPLATE_DEFINITION","TEMPLATE_DEFINITION_REQUIRED","NONE","Family 또는 slot에 review template가 남아 있어 근육 기여와 중복 그룹을 확정할 템플릿 정의가 필요합니다.","SOURCE_PLUS_TEMPLATE_DEFINITION","DEFINE_TEMPLATE_BEFORE_SEED_PATCH","READY_AFTER_TEMPLATE_DEFINITION","NO"
"덤벨 벤치프레스","ex_3a7d3eda","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_ROW_REVIEW","TEMPLATE_DEFINITION_REQUIRED","NONE","Family 또는 slot에 review template가 남아 있어 근육 기여와 중복 그룹을 확정할 템플릿 정의가 필요합니다.","NONE","DEFINE_TEMPLATE_BEFORE_SEED_PATCH","READY_AFTER_TEMPLATE_DEFINITION","NO"
"덤벨 숄더프레스","ex_79f3bdbe","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_SOURCE_REVIEW","TEMPLATE_DEFINITION_REQUIRED","NONE","Family 또는 slot에 review template가 남아 있어 근육 기여와 중복 그룹을 확정할 템플릿 정의가 필요합니다.","SOURCE_PLUS_TEMPLATE_DEFINITION","DEFINE_TEMPLATE_BEFORE_SEED_PATCH","READY_AFTER_TEMPLATE_DEFINITION","NO"
"덤벨 스텝업","ex_704cbf1a","STEP_UP_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_SOURCE_REVIEW","TEMPLATE_DEFINITION_REQUIRED","NONE","Family 또는 slot에 review template가 남아 있어 근육 기여와 중복 그룹을 확정할 템플릿 정의가 필요합니다.","SOURCE_PLUS_TEMPLATE_DEFINITION","DEFINE_TEMPLATE_BEFORE_SEED_PATCH","READY_AFTER_TEMPLATE_DEFINITION","NO"
"덤벨 프로네이션/수피네이션","ex_f6703b06","FOREARM_GRIP_ACCESSORY_REVIEW","PRONATION_SUPINATION","NEEDS_TEMPLATE_DEFINITION","TEMPLATE_DEFINITION_REQUIRED","NONE","Family 또는 slot에 review template가 남아 있어 근육 기여와 중복 그룹을 확정할 템플릿 정의가 필요합니다.","SOURCE_PLUS_TEMPLATE_DEFINITION","DEFINE_TEMPLATE_BEFORE_SEED_PATCH","READY_AFTER_TEMPLATE_DEFINITION","NO"
"등받이 없는 덤벨 시티드 숄더프레스","ex_bb4b4276","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_SOURCE_REVIEW","TEMPLATE_DEFINITION_REQUIRED","NONE","Family 또는 slot에 review template가 남아 있어 근육 기여와 중복 그룹을 확정할 템플릿 정의가 필요합니다.","SOURCE_PLUS_TEMPLATE_DEFINITION","DEFINE_TEMPLATE_BEFORE_SEED_PATCH","READY_AFTER_TEMPLATE_DEFINITION","NO"
"레그 익스텐션","ex_b78a8f95","KNEE_EXTENSION_QUAD_ISOLATION_REVIEW","LEG_EXTENSION","NEEDS_ROW_REVIEW","TEMPLATE_DEFINITION_REQUIRED","NONE","Family 또는 slot에 review template가 남아 있어 근육 기여와 중복 그룹을 확정할 템플릿 정의가 필요합니다.","NONE","DEFINE_TEMPLATE_BEFORE_SEED_PATCH","READY_AFTER_TEMPLATE_DEFINITION","NO"
"레그 컬","ex_2822ec2e","HAMSTRING_CURL_VARIANTS","NEEDS_SUBTYPE_REVIEW","NEEDS_ROW_REVIEW","TEMPLATE_DEFINITION_REQUIRED","NONE","Family 또는 slot에 review template가 남아 있어 근육 기여와 중복 그룹을 확정할 템플릿 정의가 필요합니다.","NONE","DEFINE_TEMPLATE_BEFORE_SEED_PATCH","READY_AFTER_TEMPLATE_DEFINITION","NO"
