"draftClaimId","sourceId","stableKey","tissueId","loadDimension","proposedBand","claimType","claimParaphrase","claimDirection","claimValue","claimLowerBound","claimUpperBound","claimUnit","comparatorExercise","population","exerciseCondition","loadCondition","romCondition","velocityCondition","surfaceCondition","anticipatedCondition","fatigueCondition","evidenceLocatorType","evidenceLocator","evidenceAccessLevel","preparedBy","preparedByType","preparedAt","draftNotes"
"DCLM_ACH_PEAK_SEATED_CALF","PREFLIGHT_32658037","ex_5c8751d2","ACHILLES_TENDON","PEAK_TENSILE_LOAD","LOW","CONDITION_BOUNDED_MECHANICAL_ESTIMATE","Under the tested seated heel-raise conditions, modeled peak Achilles tendon force was reported in the 0.5 to 0.7 BW range.","REPORTED_CONDITION_VALUE","0.6","0.5","0.7","BW","","Healthy adults","Tested seated heel raises","Bodyweight condition","Task-defined","Study protocol","Laboratory force plate","Anticipated","Non-fatigued","TABLE","Results text and Figure 4 condition summary","FULL_TEXT","Codex","AI_AGENT","2026-07-14T00:00:00Z","Draft only; pending independent blind review and human approval."
"DCLM_ACH_PEAK_SINGLE_CALF","PREFLIGHT_32658037","ex_5ca7133f","ACHILLES_TENDON","PEAK_TENSILE_LOAD","MODERATE","CONDITION_BOUNDED_MECHANICAL_ESTIMATE","Under the tested single-leg heel-raise condition, modeled peak Achilles tendon force was 3.0 plus or minus 0.3 BW.","REPORTED_CONDITION_VALUE","3.0","2.7","3.3","BW","","Healthy adults","Tested single-leg heel raise","Bodyweight condition","Task-defined","Study protocol","Laboratory force plate","Anticipated","Non-fatigued","TABLE","Results text and Figure 4","FULL_TEXT","Codex","AI_AGENT","2026-07-14T00:00:00Z","Draft only; pending independent blind review and human approval."
"DCLM_ACH_PEAK_SINGLE_HOP","PREFLIGHT_32658037","ex_314df428","ACHILLES_TENDON","PEAK_TENSILE_LOAD","VERY_HIGH","CONDITION_BOUNDED_MECHANICAL_ESTIMATE","The studied single-leg forward and lateral hopping tasks produced modeled peak Achilles tendon force above 7.3 BW; transfer to hop-and-stick is limited by landing protocol.","GREATER_THAN_REPORTED_VALUE","7.3","","","BW","","Healthy adults","Tested repeated single-leg forward/lateral hopping; app target adds a stick landing","Bodyweight condition","Task-defined","Study protocol","Laboratory force plate","Anticipated","Non-fatigued","TABLE","Results text and Figure 4","FULL_TEXT","Codex","AI_AGENT","2026-07-14T00:00:00Z","Draft only; pending independent blind review and human approval."
"DCLM_ACH_RATE_SINGLE_CALF","PREFLIGHT_32658037","ex_5ca7133f","ACHILLES_TENDON","LOADING_RATE","","CONDITION_BOUNDED_MECHANICAL_ESTIMATE","Under the tested single-leg heel-raise condition, modeled Achilles tendon loading rate was 13.1 plus or minus 3.4 BW per second.","REPORTED_CONDITION_VALUE","13.1","9.7","16.5","BW/s","","Healthy adults","Tested single-leg heel raise","Bodyweight condition","Task-defined","Study protocol","Laboratory force plate","Anticipated","Non-fatigued","TABLE","Results text and Figure 4","FULL_TEXT","Codex","AI_AGENT","2026-07-14T00:00:00Z","Draft only; pending independent blind review and human approval."
"DCLM_PAT_PEAK_FULL_SQUAT","SRC_PMID_37847102","ex_cb3c4dc2","PATELLAR_TENDON","PEAK_TENSILE_LOAD","MODERATE","CONDITION_BOUNDED_MECHANICAL_ESTIMATE","Under the tested bodyweight full double-leg squat condition, modeled peak patellar tendon load was 3.4 plus or minus 0.7 BW.","REPORTED_CONDITION_VALUE","3.4","2.7","4.1","BW","","Healthy adults","Full double-leg squat","Bodyweight condition","Task-defined","Study protocol","Laboratory force plate","Anticipated","Non-fatigued","TABLE","Table 1","FULL_TEXT","Codex","AI_AGENT","2026-07-14T00:00:00Z","Draft only; pending independent blind review and human approval."
"DCLM_PAT_PEAK_BULGARIAN","SRC_PMID_37847102","ex_bb728af2","PATELLAR_TENDON","PEAK_TENSILE_LOAD","MODERATE","CONDITION_BOUNDED_MECHANICAL_ESTIMATE","Under the tested bodyweight Bulgarian squat condition, modeled peak patellar tendon load was 3.0 plus or minus 0.5 BW.","REPORTED_CONDITION_VALUE","3.0","2.5","3.5","BW","","Healthy adults","Bulgarian squat","Bodyweight condition","Task-defined","Study protocol","Laboratory force plate","Anticipated","Non-fatigued","TABLE","Table 1","FULL_TEXT","Codex","AI_AGENT","2026-07-14T00:00:00Z","Draft only; pending independent blind review and human approval."
"DCLM_PFJ_COMP_60_SQUAT","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","COMPRESSION","LOW","CONDITION_BOUNDED_MECHANICAL_ESTIMATE","Under the tested 60-degree double-leg squat condition, modeled peak patellofemoral joint force was 2.5 plus or minus 0.9 BW and the source classified the composite loading index in tier 1.","REPORTED_CONDITION_VALUE","2.5","1.6","3.4","BW","","Healthy adults","60-degree double-leg squat; partial-ROM transfer to canonical bodyweight squat","Bodyweight condition","Task-defined","Study protocol","Laboratory force plate","Anticipated","Non-fatigued","TABLE","Table 1 and source loading-tier definition","FULL_TEXT","Codex","AI_AGENT","2026-07-14T00:00:00Z","Draft only; pending independent blind review and human approval."
"DCLM_PFJ_COMP_FULL_SQUAT","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","COMPRESSION","MODERATE","CONDITION_BOUNDED_MECHANICAL_ESTIMATE","Under the tested full double-leg squat condition, modeled peak patellofemoral joint force was 4.5 plus or minus 0.8 BW and the source classified the composite loading index in tier 2.","REPORTED_CONDITION_VALUE","4.5","3.7","5.3","BW","","Healthy adults","Full double-leg squat","Bodyweight condition","Task-defined","Study protocol","Laboratory force plate","Anticipated","Non-fatigued","TABLE","Table 1 and source loading-tier definition","FULL_TEXT","Codex","AI_AGENT","2026-07-14T00:00:00Z","Draft only; pending independent blind review and human approval."
"DCLM_PFJ_COMP_BULGARIAN","SRC_PMID_37272685","ex_bb728af2","KNEE_PATELLOFEMORAL","COMPRESSION","MODERATE","CONDITION_BOUNDED_MECHANICAL_ESTIMATE","Under the tested Bulgarian squat condition, modeled peak patellofemoral joint force was 4.7 plus or minus 0.7 BW and the source loading index was 0.460.","REPORTED_CONDITION_VALUE","4.7","4.0","5.4","BW","","Healthy adults","Bulgarian squat","Bodyweight condition","Task-defined","Study protocol","Laboratory force plate","Anticipated","Non-fatigued","TABLE","Table 1 and Results","FULL_TEXT","Codex","AI_AGENT","2026-07-14T00:00:00Z","Draft only; pending independent blind review and human approval."
"DCLM_PFJ_COMP_LUNGE","SRC_PMID_37272685","ex_64644b5e","KNEE_PATELLOFEMORAL","COMPRESSION","MODERATE","CONDITION_BOUNDED_MECHANICAL_ESTIMATE","Under the tested lunge condition, modeled peak patellofemoral joint force was 5.1 plus or minus 0.8 BW and the source classified the composite loading index in tier 2.","REPORTED_CONDITION_VALUE","5.1","4.3","5.9","BW","","Healthy adults","Study-defined lunge","Bodyweight condition","Task-defined","Study protocol","Laboratory force plate","Anticipated","Non-fatigued","TABLE","Table 1 and source loading-tier definition","FULL_TEXT","Codex","AI_AGENT","2026-07-14T00:00:00Z","Draft only; pending independent blind review and human approval."
